scenario,role,player_id,player_name,world_cup_team,score,conservative_score,covered,provider_structural_missingness_confirmed
strict_low,LCB,624,N. Otamendi,Argentina,0.7100013786997497,0.6383553006518449,True,False
strict_low,LB,263482,N. Mendes,Portugal,0.7103090167412799,0.6301661187091787,True,False
strict_low,DM,44,Rodri,Spain,0.6861275926502921,0.598104116592785,True,False
strict_low,CM,19617,M. Olise,France,0.8102143473077419,0.7411715531901322,True,False
strict_low,AM,6005,J. Quintero,Colombia,0.7829120220261333,0.6782423778763674,True,False
strict_low,RW,154,L. Messi,Argentina,0.8327019832961582,0.7573312252151297,True,False
strict_low,LW,909,M. Rashford,England,0.683823961586197,0.5959410607731312,True,False
strict_low,ST,153,O. Dembele,France,0.7411214479612049,0.6523527359858712,True,False
strict_high,GK,269349,L. Hornicek,Czech Republic,0.8093157362073218,0.737474679416944,True,False
strict_high,RB,271539,J. Hadjam,Algeria,0.7670816955389056,0.660960849710491,True,False
strict_high,RCB,69,B. Mechele,Belgium,0.7073087044532894,0.6430216348010012,True,False
strict_high,LCB,624,N. Otamendi,Argentina,0.7100013786997497,0.6383553006518449,True,False
strict_high,LB,263482,N. Mendes,Portugal,0.7103090167412799,0.6301661187091787,True,False
strict_high,DM,44,Rodri,Spain,0.6861275926502921,0.598104116592785,True,False
strict_high,CM,19617,M. Olise,France,0.8102143473077419,0.7411715531901322,True,False
strict_high,AM,113580,W. Semedo,Cape Verde Islands,0.7991933643030724,0.6798816125028116,False,True
strict_high,RW,154,L. Messi,Argentina,0.8327019832961582,0.7573312252151297,True,False
strict_high,LW,909,M. Rashford,England,0.683823961586197,0.5959410607731312,True,False
strict_high,ST,153,O. Dembele,France,0.7411214479612049,0.6523527359858712,True,False
