scenario,combination_id,scoreline,size,probability
sensitivity_ability_high,real_xi_set_02,4-0,5,0.005
sensitivity_ability_high,real_xi_set_02,4-3,5,0.005
sensitivity_ability_high,real_xi_set_02,0-5,4,0.004
sensitivity_ability_high,real_xi_set_02,3-5,4,0.004
sensitivity_ability_high,real_xi_set_02,4-2,4,0.004
sensitivity_ability_high,real_xi_set_02,0-6,3,0.003
sensitivity_ability_high,real_xi_set_02,1-6,3,0.003
sensitivity_ability_high,real_xi_set_02,3-4,3,0.003
sensitivity_ability_high,real_xi_set_02,4-1,3,0.003
sensitivity_ability_high,real_xi_set_02,4-4,3,0.003
sensitivity_ability_high,real_xi_set_02,0-7,2,0.002
sensitivity_ability_high,real_xi_set_02,3-6,2,0.002
sensitivity_ability_high,real_xi_set_02,5-1,2,0.002
sensitivity_ability_high,real_xi_set_02,5-2,2,0.002
sensitivity_ability_high,real_xi_set_02,1-7,1,0.001
sensitivity_ability_high,real_xi_set_02,3-7,1,0.001
sensitivity_ability_high,real_xi_set_02,3-8,1,0.001
sensitivity_ability_high,real_xi_set_02,5-3,1,0.001
sensitivity_ability_high,real_xi_set_02,5-6,1,0.001
sensitivity_ability_high,real_xi_set_02,6-1,1,0.001
sensitivity_ability_high,real_xi_set_02,6-2,1,0.001
sensitivity_ability_high,real_xi_set_03,1-1,110,0.11
sensitivity_ability_high,real_xi_set_03,0-2,103,0.103
