scenario,combination_id,world_id,matches,synthetic_win_probability,draw_probability,real_win_probability,mean_synthetic_goals,mean_real_goals,mean_goal_difference,mean_synthetic_xg,mean_real_xg,mean_xg_difference,mean_synthetic_possession,win_probability_margin
primary_top20_pooled,real_xi_set_02,14,80,0.275,0.2125,0.5125,1.05,1.6125,-0.5625,1.1939424023517504,1.789260960376072,-0.5953185580243219,0.4804697637352618,-0.23749999999999993
primary_top20_pooled,real_xi_set_02,15,80,0.25,0.3125,0.4375,1.1375,1.4125,-0.275,1.0391194633793728,1.5193763509248037,-0.480256887545431,0.4826356729383698,-0.1875
primary_top20_pooled,real_xi_set_02,16,80,0.3,0.15,0.55,1.325,2.0625,-0.7375,1.3121874573419634,1.9590639624020803,-0.646876505060117,0.480892211917781,-0.25000000000000006
primary_top20_pooled,real_xi_set_02,17,80,0.2,0.1375,0.6625,1.1625,2.025,-0.8625,1.1741152229682732,1.7715575532614156,-0.5974423302931424,0.47414521933100273,-0.46249999999999997
primary_top20_pooled,real_xi_set_02,18,80,0.225,0.3,0.475,0.9875,1.475,-0.4875,1.1554744364081777,1.794793653220888,-0.63931921681271,0.478596582030391,-0.24999999999999997
primary_top20_pooled,real_xi_set_02,19,80,0.2375,0.2125,0.55,1.325,1.9,-0.575,1.2298788574773052,1.8092317418409976,-0.5793528843636924,0.4865750689823994,-0.31250000000000006
primary_top20_pooled,real_xi_set_02,20,80,0.25,0.25,0.5,1.1625,1.9,-0.7375,1.2044510583114676,1.850292850096801,-0.6458417917853336,0.482380975737274,-0.25
primary_top20_pooled,real_xi_set_02,21,80,0.275,0.175,0.55,0.95,1.5,-0.55,1.212534764523117,1.777203796816273,-0.5646690322931558,0.48343000643686673,-0.275
primary_top20_pooled,real_xi_set_02,22,80,0.275,0.1875,0.5375,1.025,1.575,-0.55,1.1708988482780143,1.7452824486134713,-0.5743836003354571,0.48254397076607847,-0.26249999999999996
primary_top20_pooled,real_xi_set_02,23,80,0.3,0.175,0.525,1.1625,1.7125,-0.55,1.1490573864351847,1.783089955696708,-0.634032569261523,0.4780886772816735,-0.22500000000000003
primary_top20_pooled,real_xi_set_02,24,80,0.3,0.225,0.475,1.0375,1.6125,-0.575,1.1550397200353182,1.7171675498171244,-0.562127829781806,0.4808230065173477,-0.175
primary_top20_pooled,real_xi_set_02,25,80,0.2,0.275,0.525,1.1125,1.675,-0.5625,1.0130235346836618,1.6533551870045116,-0.6403316523208498,0.4800126009305661,-0.325
primary_top20_pooled,real_xi_set_02,26,80,0.3125,0.2875,0.4,0.875,1.125,-0.25,0.9242937670781177,1.348374746645249,-0.42408097956713126,0.485815792677122,-0.08750000000000002
primary_top20_pooled,real_xi_set_02,27,80,0.2125,0.2375,0.55,1.15,1.875,-0.725,1.1591085197403026,1.7854929140896634,-0.6263843943493606,0.4789621901548319,-0.3375
primary_top20_pooled,real_xi_set_02,28,80,0.25,0.25,0.5,1.2625,1.65,-0.3875,1.1355124981531608,1.6717343704145076,-0.5362218722613468,0.48127504090681184,-0.25
primary_top20_pooled,real_xi_set_02,29,80,0.275,0.175,0.55,1.15,1.7375,-0.5875,1.1334728513151198,1.7464992571691422,-0.6130264058540225,0.4859903227050372,-0.275
primary_top20_pooled,real_xi_set_02,30,80,0.2875,0.1625,0.55,1.4625,2.1625,-0.7,1.3513989269566626,2.01716106233388,-0.6657621353772174,0.4821518149655608,-0.26250000000000007
primary_top20_pooled,real_xi_set_02,31,80,0.275,0.25,0.475,1.075,1.5125,-0.4375,1.1699567628642045,1.6178123150440975,-0.4478555521798929,0.481658486289472,-0.19999999999999996
primary_top20_pooled,real_xi_set_02,32,80,0.2125,0.2625,0.525,1.2875,1.95,-0.6625,1.2951753984806438,1.8911030729040448,-0.5959276744234008,0.48091480950311666,-0.3125
primary_top20_pooled,real_xi_set_02,33,80,0.2125,0.35,0.4375,0.8875,1.4625,-0.575,1.0836087013486038,1.6053496881582565,-0.5217409868096526,0.47593085487784476,-0.225
primary_top20_pooled,real_xi_set_02,34,80,0.275,0.175,0.55,1.1125,1.75,-0.6375,1.1333391234782348,1.8001691622083116,-0.6668300387300767,0.4827234435418745,-0.275
primary_top20_pooled,real_xi_set_02,35,80,0.1875,0.3625,0.45,1.1,1.7,-0.6,1.1252153257671347,1.7782052348676203,-0.6529899091004855,0.4746258296595155,-0.2625
primary_top20_pooled,real_xi_set_02,36,80,0.2375,0.2625,0.5,0.95,1.575,-0.625,1.1875416632033238,1.8153608993363162,-0.6278192361329922,0.4811745165429146,-0.2625
primary_top20_pooled,real_xi_set_02,37,80,0.275,0.175,0.55,1.0375,1.675,-0.6375,1.2030905069212343,1.7669669051280454,-0.5638763982068112,0.47585187613958224,-0.275
primary_top20_pooled,real_xi_set_02,38,80,0.2375,0.225,0.5375,1.1,1.7125,-0.6125,1.1540799108505413,1.778191521952753,-0.6241116111022116,0.48491010202295703,-0.3
primary_top20_pooled,real_xi_set_02,39,80,0.275,0.1625,0.5625,1.15,1.8875,-0.7375,1.1641262750675976,1.7162635649212963,-0.5521372898536987,0.4842303043152409,-0.2875
primary_top20_pooled,real_xi_set_03,0,80,0.25,0.2625,0.4875,1.175,1.825,-0.65,1.1133228535832729,1.853365069717929,-0.740042216134656,0.4826109059029501,-0.2375
primary_top20_pooled,real_xi_set_03,1,80,0.325,0.15,0.525,1.25,1.75,-0.5,1.2100446810734784,1.8010021656847512,-0.5909574846112727,0.4871782190294035,-0.2
primary_top20_pooled,real_xi_set_03,2,80,0.275,0.2,0.525,1.45,2.025,-0.575,1.346452922334564,2.0049989318365142,-0.6585460095019504,0.47915722462636123,-0.25
primary_top20_pooled,real_xi_set_03,3,80,0.2125,0.3375,0.45,1.15,1.6375,-0.4875,1.0422680886703026,1.6622756917756196,-0.620007603105317,0.48163525532398255,-0.23750000000000002
primary_top20_pooled,real_xi_set_03,4,80,0.225,0.325,0.45,1.05,1.6375,-0.5875,1.0318187522331972,1.7239146746639409,-0.6920959224307439,0.48333260081197754,-0.225
primary_top20_pooled,real_xi_set_03,5,80,0.2625,0.25,0.4875,1.175,1.7375,-0.5625,1.1056772097172702,1.7521998034339894,-0.6465225937167189,0.4804273629081151,-0.22499999999999998
primary_top20_pooled,real_xi_set_03,6,80,0.2,0.2375,0.5625,1.225,2.05,-0.825,1.2103679859391945,1.8429647088281569,-0.6325967228889628,0.48698702300370267,-0.3625
primary_top20_pooled,real_xi_set_03,7,80,0.225,0.275,0.5,1.2875,1.975,-0.6875,1.1586498422272353,1.843502563403749,-0.6848527211765139,0.4800489193183421,-0.275
primary_top20_pooled,real_xi_set_03,8,80,0.2125,0.2375,0.55,1.0375,1.7875,-0.75,1.192595767945944,1.8216984793858484,-0.6291027114399041,0.4843250525993216,-0.3375
primary_top20_pooled,real_xi_set_03,9,80,0.25,0.2125,0.5375,1.1125,1.625,-0.5125,1.0566673710227605,1.5195902134561454,-0.462922842433385,0.4848625361250461,-0.2875
primary_top20_pooled,real_xi_set_03,10,80,0.2375,0.25,0.5125,1.1625,1.7875,-0.625,1.116615833248146,1.804197090226141,-0.6875812569779952,0.4854919564247588,-0.27499999999999997
primary_top20_pooled,real_xi_set_03,11,80,0.275,0.325,0.4,1.3375,1.7,-0.3625,1.1346059413430283,1.7449992654590758,-0.6103933241160475,0.49016093008967665,-0.125
primary_top20_pooled,real_xi_set_03,12,80,0.25,0.2,0.55,1.1875,1.9375,-0.75,1.219045424030107,1.887911864933417,-0.6688664409033104,0.4784985714171154,-0.30000000000000004
primary_top20_pooled,real_xi_set_03,13,80,0.2,0.275,0.525,1.1,1.8375,-0.7375,1.0990946416994716,1.7955361029245105,-0.6964414612250389,0.4802238209650963,-0.325
primary_top20_pooled,real_xi_set_03,14,80,0.325,0.1875,0.4875,0.9875,1.5125,-0.525,1.0943637923643459,1.71188950249391,-0.617525710129564,0.4789331629360457,-0.16249999999999998
primary_top20_pooled,real_xi_set_03,15,80,0.25,0.3625,0.3875,1.1375,1.35,-0.2125,0.9819992564530468,1.4820543249639382,-0.5000550685108915,0.48570342811401873,-0.1375
primary_top20_pooled,real_xi_set_03,16,80,0.2875,0.2,0.5125,1.3,1.95,-0.65,1.2445930487291028,1.8553465739237853,-0.6107535251946825,0.48644808482773766,-0.22499999999999998
primary_top20_pooled,real_xi_set_03,17,80,0.2,0.1375,0.6625,1.1,1.95,-0.85,1.1395612776004227,1.760062208300359,-0.6205009306999364,0.4794520896499813,-0.46249999999999997
primary_top20_pooled,real_xi_set_03,18,80,0.225,0.3,0.475,0.95,1.5,-0.55,1.0839161138501485,1.7602077242781273,-0.6762916104279787,0.48504602295865656,-0.24999999999999997
primary_top20_pooled,real_xi_set_03,19,80,0.2,0.2625,0.5375,1.325,1.975,-0.65,1.1983624466862028,1.8106723983385868,-0.612309951652384,0.48797221311449207,-0.33749999999999997
primary_top20_pooled,real_xi_set_03,20,80,0.25,0.275,0.475,1.1375,1.8,-0.6625,1.1948402154480886,1.813162414828971,-0.6183221993808823,0.4904449560294478,-0.22499999999999998
primary_top20_pooled,real_xi_set_03,21,80,0.2375,0.25,0.5125,0.8875,1.425,-0.5375,1.1601198063577305,1.77683998940822,-0.6167201830504894,0.4839891934662341,-0.27499999999999997
primary_top20_pooled,real_xi_set_03,22,80,0.2625,0.2125,0.525,1.0,1.6125,-0.6125,1.0916197409602109,1.7580889490429776,-0.6664692080827666,0.48328175179847077,-0.2625
primary_top20_pooled,real_xi_set_03,23,80,0.2625,0.275,0.4625,1.1625,1.6125,-0.45,1.1014875613734192,1.7021432175534041,-0.600655656179985,0.48444286969098,-0.2
primary_top20_pooled,real_xi_set_03,24,80,0.275,0.2125,0.5125,0.975,1.575,-0.6,1.0975397733631949,1.6663043539089237,-0.5687645805457288,0.4824777794100944,-0.23749999999999993
primary_top20_pooled,real_xi_set_03,25,80,0.175,0.2625,0.5625,0.925,1.625,-0.7,0.9395253080083885,1.6544096074976231,-0.7148842994892346,0.48255664058621467,-0.3875
primary_top20_pooled,real_xi_set_03,26,80,0.275,0.3375,0.3875,0.8875,1.15,-0.2625,0.8966367566223876,1.3476002307575465,-0.45096347413515875,0.48700764983284267,-0.11249999999999999
primary_top20_pooled,real_xi_set_03,27,80,0.2,0.25,0.55,1.0625,1.8125,-0.75,1.0668453664285729,1.7403796862407053,-0.6735343198121326,0.4862844517408827,-0.35000000000000003
primary_top20_pooled,real_xi_set_03,28,80,0.2375,0.3125,0.45,1.175,1.575,-0.4,1.112740212666449,1.6299548422613388,-0.5172146295948898,0.4833385084779847,-0.21250000000000002
primary_top20_pooled,real_xi_set_03,29,80,0.3,0.15,0.55,1.0875,1.7,-0.6125,1.0743464065012482,1.6865420406731346,-0.6121956341718863,0.4899030209437124,-0.25000000000000006
primary_top20_pooled,real_xi_set_03,30,80,0.3,0.175,0.525,1.4625,2.0875,-0.625,1.254293587220409,1.9822999058391244,-0.7280063186187153,0.4812363590547551,-0.22500000000000003
primary_top20_pooled,real_xi_set_03,31,80,0.2625,0.2125,0.525,1.0375,1.5125,-0.475,1.0858907090885026,1.5728962322423854,-0.4870055231538829,0.48302201898360775,-0.2625
primary_top20_pooled,real_xi_set_03,32,80,0.1875,0.2875,0.525,1.1625,1.9,-0.7375,1.1909913292971803,1.8808168271081331,-0.6898254978109529,0.48552339479497536,-0.3375
primary_top20_pooled,real_xi_set_03,33,80,0.2125,0.325,0.4625,0.8625,1.4625,-0.6,1.0642082843894134,1.6088143014768377,-0.5446060170874243,0.4808901163378252,-0.25
primary_top20_pooled,real_xi_set_03,34,80,0.25,0.2,0.55,1.0625,1.6875,-0.625,1.0912938209536522,1.7704630051019106,-0.6791691841482583,0.4861407770113074,-0.30000000000000004
primary_top20_pooled,real_xi_set_03,35,80,0.225,0.3375,0.4375,1.0875,1.6375,-0.55,1.1126651236394522,1.7449618898388102,-0.6322967661993579,0.47861465834225847,-0.2125
primary_top20_pooled,real_xi_set_03,36,80,0.2625,0.2,0.5375,0.975,1.55,-0.575,1.1529827467365812,1.7693600657009534,-0.6163773189643722,0.48526145547746935,-0.27499999999999997
primary_top20_pooled,real_xi_set_03,37,80,0.1875,0.3,0.5125,0.975,1.625,-0.65,1.1204020143924747,1.7759809368160702,-0.6555789224235954,0.47688169426683774,-0.32499999999999996
primary_top20_pooled,real_xi_set_03,38,80,0.175,0.3875,0.4375,1.0625,1.65,-0.5875,1.0962488081609971,1.7206765621766142,-0.6244277540156171,0.4852097176406772,-0.2625
primary_top20_pooled,real_xi_set_03,39,80,0.2625,0.1625,0.575,1.125,1.9,-0.775,1.0847549992803427,1.6911228935929679,-0.606367894312625,0.48591336198207796,-0.31249999999999994
primary_top20_pooled,real_xi_set_04,0,80,0.2375,0.2875,0.475,1.1625,1.825,-0.6625,1.1046530786058724,1.8869033310368963,-0.7822502524310238,0.48112009887735174,-0.2375
primary_top20_pooled,real_xi_set_04,1,80,0.3125,0.1625,0.525,1.25,1.75,-0.5,1.1908921975467204,1.8710781088389994,-0.6801859112922789,0.48394315748846967,-0.21250000000000002
primary_top20_pooled,real_xi_set_04,2,80,0.25,0.2,0.55,1.4125,2.125,-0.7125,1.3091742200740302,2.0555741889163897,-0.7463999688423596,0.4735013805805659,-0.30000000000000004
primary_top20_pooled,real_xi_set_04,3,80,0.225,0.35,0.425,1.1875,1.625,-0.4375,1.030515754587598,1.6923015254583444,-0.6617857708707462,0.4783623192690317,-0.19999999999999998
primary_top20_pooled,real_xi_set_04,4,80,0.225,0.325,0.45,1.025,1.675,-0.65,1.0228221592406168,1.7676029745973683,-0.7447808153567516,0.48044040570795427,-0.225
primary_top20_pooled,real_xi_set_04,5,80,0.25,0.2375,0.5125,1.175,1.825,-0.65,1.118574382648894,1.8262184836175042,-0.7076441009686099,0.4777364851426357,-0.26249999999999996
primary_top20_pooled,real_xi_set_04,6,80,0.1875,0.225,0.5875,1.2375,2.1125,-0.875,1.2036213261812814,1.9058101821594704,-0.702188855978189,0.48336232834738635,-0.4
primary_top20_pooled,real_xi_set_04,7,80,0.25,0.225,0.525,1.3,2.0125,-0.7125,1.1631313442069011,1.875792041943767,-0.7126606977368658,0.47789291694665315,-0.275
primary_top20_pooled,real_xi_set_04,8,80,0.1875,0.25,0.5625,1.0375,1.85,-0.8125,1.1883133925057563,1.8742106872119944,-0.6858972947062382,0.48014261821696236,-0.375
primary_top20_pooled,real_xi_set_04,9,80,0.25,0.175,0.575,1.125,1.75,-0.625,1.0497768248105543,1.584681141147201,-0.5349043163366469,0.47994087954640985,-0.32499999999999996
primary_top20_pooled,real_xi_set_04,10,80,0.2375,0.275,0.4875,1.2,1.825,-0.625,1.0990829735967962,1.852960321757023,-0.7538773481602269,0.48219049734720504,-0.25
primary_top20_pooled,real_xi_set_04,11,80,0.25,0.3125,0.4375,1.3,1.75,-0.45,1.1218623286054294,1.7815931781593608,-0.6597308495539316,0.48567800019811413,-0.1875
primary_top20_pooled,real_xi_set_04,12,80,0.25,0.175,0.575,1.1875,2.0375,-0.85,1.2058870227790282,1.960146213324864,-0.7542591905458358,0.47352256715283697,-0.32499999999999996
primary_top20_pooled,real_xi_set_04,13,80,0.1875,0.2625,0.55,1.0625,1.925,-0.8625,1.088661135069122,1.8832290828074545,-0.7945679477383325,0.47544237030679193,-0.36250000000000004
primary_top20_pooled,real_xi_set_04,14,80,0.2875,0.2,0.5125,0.975,1.5875,-0.6125,1.0996298784583844,1.7800256463741906,-0.6803957679158062,0.4741383441511148,-0.22499999999999998
primary_top20_pooled,real_xi_set_04,15,80,0.225,0.375,0.4,1.1125,1.3875,-0.275,0.9794888501051032,1.5085724834182133,-0.52908363331311,0.4816307518701068,-0.17500000000000002
primary_top20_pooled,real_xi_set_04,16,80,0.275,0.1875,0.5375,1.2625,2.0125,-0.75,1.2285036417029986,1.9143796399979547,-0.685875998294956,0.4801122019192044,-0.26249999999999996
primary_top20_pooled,real_xi_set_04,17,80,0.2,0.15,0.65,1.0875,1.95,-0.8625,1.127845486638711,1.808645716779586,-0.680800230140875,0.4756702243899481,-0.45
primary_top20_pooled,real_xi_set_04,18,80,0.2,0.2875,0.5125,0.925,1.575,-0.65,1.0719566533077598,1.8262917339245803,-0.7543350806168205,0.47970685094624627,-0.31249999999999994
primary_top20_pooled,real_xi_set_04,19,80,0.2,0.25,0.55,1.325,1.975,-0.65,1.202790633826365,1.8539557652860104,-0.6511651314596454,0.4854432971454693,-0.35000000000000003
primary_top20_pooled,real_xi_set_04,20,80,0.25,0.2375,0.5125,1.1,1.8625,-0.7625,1.1682378191470035,1.8468725769467358,-0.6786347577997324,0.48398497383986505,-0.26249999999999996
primary_top20_pooled,real_xi_set_04,21,80,0.2125,0.25,0.5375,0.8625,1.4875,-0.625,1.14897967501399,1.8248239707065927,-0.6758442956926027,0.4796970575039385,-0.32499999999999996
primary_top20_pooled,real_xi_set_04,22,80,0.2625,0.2,0.5375,1.0125,1.675,-0.6625,1.10240101340055,1.8201897411626824,-0.7177887277621325,0.47938660215094925,-0.27499999999999997
primary_top20_pooled,real_xi_set_04,23,80,0.2625,0.2625,0.475,1.1875,1.6875,-0.5,1.098118373872928,1.7419394644669535,-0.6438210905940253,0.4804221631613337,-0.21249999999999997
primary_top20_pooled,real_xi_set_04,24,80,0.275,0.2,0.525,0.925,1.5875,-0.6625,1.0859971275950273,1.7041387855037335,-0.618141657908706,0.47934783644209566,-0.25
