top_n_requested,uncertainty_mode,role,slot,actual_n,member_rank,player_id,player_name,world_cup_team,minutes_num,overall,conservative_score,member_uncertainty,avatar_uncertainty
20,pooled,GK,GK,20,15,1142,Y. Mvogo,Switzerland,2790.0,0.8003909004483396,0.7120367742690648,0.0883541261792748,0.025
20,pooled,GK,GK,20,16,702,O. Baumann,Germany,3270.0,0.7856029576210763,0.7039907620942092,0.0816121955268671,0.025
20,pooled,GK,GK,20,17,2482,C. Vargas,Colombia,3655.0,0.7791729254367645,0.7019786230024697,0.0771943024342948,0.025
20,pooled,GK,GK,20,18,2892,Kim Seung-Gyu,South Korea,2886.0,0.7837728645536489,0.6969006736823606,0.0868721908712883,0.025
20,pooled,GK,GK,20,19,119853,M. Diaw,Senegal,2892.0,0.7836560654192987,0.6968740377179928,0.0867820277013058,0.025
20,pooled,GK,GK,20,20,20566,Y. Diouf,Senegal,3420.0,0.7750350522966997,0.6952326647845983,0.0798023875121013,0.025
20,pooled,RCB,CB1,20,1,69,B. Mechele,Belgium,5270.0,0.7073087044532894,0.643021634801001,0.0642870696522883,0.025
20,pooled,RCB,CB1,20,2,265595,G. Inacio,Portugal,3802.0,0.6644132185360311,0.5887259414431827,0.0756872770928484,0.025
20,pooled,RCB,CB1,20,3,318,K. Koulibaly,Senegal,2476.0,0.649132594771255,0.5553432250087262,0.0937893697625287,0.025
20,pooled,RCB,CB1,20,4,20995,M. Lacroix,France,4992.0,0.6155900193065074,0.5495371558619089,0.0660528634445984,0.025
20,pooled,RCB,CB1,20,5,2897,Kim Min-Jae,South Korea,2324.0,0.6453752055480908,0.5485672884880293,0.0968079170600614,0.025
20,pooled,RCB,CB1,20,6,61837,A. Bardakci,Türkiye,3960.0,0.6149303561311228,0.5407683712601662,0.0741619848709566,0.025
20,pooled,RCB,CB1,20,7,22224,Gabriel,Brazil,4750.0,0.6064702238433384,0.5387556526057182,0.0677145712376201,0.025
20,pooled,RCB,CB1,20,8,290,V. van Dijk,Netherlands,5331.0,0.5628584489440945,0.4989402400938584,0.063918208850236,0.025
20,pooled,RCB,CB1,20,9,266345,E. Lira,Mexico,4139.0,0.5680626788655354,0.4955220653192274,0.0725406135463079,0.025
20,pooled,RCB,CB1,20,10,30776,C. Romero,Argentina,3294.0,0.5734513172832274,0.4921369774782244,0.081314339805003,0.025
20,pooled,RCB,CB1,20,11,1149,D. Upamecano,France,3956.0,0.5478303158216311,0.4736308470034386,0.0741994688181925,0.025
20,pooled,RCB,CB1,20,12,38695,J. P. van Hecke,Netherlands,3801.0,0.5414076411371815,0.465710408466902,0.0756972326702795,0.025
20,pooled,RCB,CB1,20,13,295793,M. Pubill,Spain,2783.0,0.5235081554659583,0.43504298177302,0.0884651736929382,0.025
20,pooled,RCB,CB1,20,14,2532,B. Khoukhi,Qatar,1869.0,0.5409302468211495,0.4329798390882696,0.1079504077328799,0.025
20,pooled,RCB,CB1,20,15,25287,K. Danso,Austria,2590.0,0.520314776614948,0.4286127242427878,0.0917020523721601,0.025
20,pooled,RCB,CB1,20,16,396623,P. Cubarsi,Spain,4615.0,0.4819442893876294,0.4132464489355921,0.0686978404520372,0.025
20,pooled,RCB,CB1,20,17,161939,T. Araujo,Portugal,2708.0,0.4960239292903743,0.4063420691325981,0.0896818601577762,0.025
20,pooled,RCB,CB1,20,18,31,J. M. Gimenez,Uruguay,1537.0,0.5221013966778815,0.4030616472710472,0.1190397494068342,0.025
20,pooled,RCB,CB1,20,19,16804,Y. Ibrahim,Egypt,3267.0,0.4771225872731757,0.3954729291804031,0.0816496580927726,0.025
20,pooled,RCB,CB1,20,20,312964,N. Ngoy,Belgium,3448.0,0.4728148895680587,0.3933371861763092,0.0794777033917495,0.025
20,pooled,LCB,CB2,11,1,624,N. Otamendi,Argentina,4243.0,0.7100013786997497,0.6383553006518448,0.0716460780479048,0.027000821182140623
20,pooled,LCB,CB2,11,2,2194,R. Bensebaini,Algeria,3155.0,0.6806070792593201,0.5975208105338974,0.0830862687254227,0.027000821182140623
20,pooled,LCB,CB2,11,3,16367,W. Pacho,Ecuador,4396.0,0.64026956828892,0.5698813299629647,0.0703882383259553,0.027000821182140623
20,pooled,LCB,CB2,11,4,529,N. Tagliafico,Argentina,2565.0,0.6183784858596825,0.5262306260355094,0.092147859824173,0.027000821182140623
20,pooled,LCB,CB2,11,5,2467,L. Martinez,Argentina,1898.0,0.6212814487712786,0.5141589156996813,0.1071225330715972,0.027000821182140623
20,pooled,LCB,CB2,11,6,30424,Ibanez,Brazil,3476.0,0.591706244413968,0.5125492940886167,0.0791569503253512,0.027000821182140623
20,pooled,LCB,CB2,11,7,972,J. Tah,Germany,4147.0,0.5777380200889916,0.5052674095636177,0.0724706105253738,0.027000821182140623
20,pooled,LCB,CB2,11,8,152849,M. van de Ven,Netherlands,4216.0,0.538281639187354,0.4664065102789637,0.0718751289083903,0.027000821182140623
20,pooled,LCB,CB2,11,9,129033,J. Gvardiol,Croatia,2028.0,0.5676681857016129,0.4640359273530938,0.103632258348519,0.027000821182140623
20,pooled,LCB,CB2,11,10,20836,C. Operi,Ivory Coast,2444.0,0.5368469412944208,0.4424455626254679,0.0944013786689528,0.027000821182140623
20,pooled,LCB,CB2,11,11,278898,C. Riad,Morocco,1125.0,0.5600077960722593,0.4208675790248506,0.1391402170474086,0.027000821182140623
20,pooled,RB,FB1,20,1,271539,J. Hadjam,Algeria,1934.0,0.745403673407056,0.6392828275786413,0.1061208458284146,0.025
20,pooled,RB,FB1,20,2,25158,D. Raum,Germany,3030.0,0.6677485732012052,0.5829657989373184,0.0847827742638868,0.025
20,pooled,RB,FB1,20,3,6002,E. Palacios,Argentina,1686.0,0.6944075536179698,0.5807495162154519,0.1136580374025179,0.025
20,pooled,RB,FB1,20,4,2869,E. Alvarez,Mexico,1333.0,0.7073064725034203,0.5794820430261376,0.1278244294772826,0.025
20,pooled,RB,FB1,20,5,41552,P. Ciss,Senegal,3307.0,0.6532749553885828,0.5721205985486111,0.0811543568399717,0.025
20,pooled,RB,FB1,20,6,9,A. Hakimi,Morocco,3641.0,0.6166255062180419,0.5392829363629972,0.0773425698550447,0.025
20,pooled,RB,FB1,20,7,390002,M. Chavez Garcia,Mexico,1814.0,0.646333513164076,0.5367588116358742,0.1095747015282016,0.025
20,pooled,RB,FB1,20,8,38735,S. Dest,USA,3217.0,0.6160936758977216,0.5338119472318675,0.082281728665854,0.025
20,pooled,RB,FB1,20,9,355994,A. Freeman,USA,1752.0,0.6425064349952756,0.5310097675593605,0.1114966674359151,0.025
20,pooled,RB,FB1,20,10,359561,K. Sebelebele,South Africa,1797.0,0.6325457241126848,0.5224539427033089,0.1100917814093759,0.025
20,pooled,RB,FB1,20,11,502,J. Kimmich,Germany,4423.0,0.5906843413603334,0.5205112727916864,0.070173068568647,0.025
20,pooled,RB,FB1,20,12,47519,P. Porro,Spain,4374.0,0.5909745814819972,0.5204095485810429,0.0705650329009542,0.025
20,pooled,RB,FB1,20,13,1257,J. Kounde,France,4139.0,0.5925302850872165,0.5199896715409085,0.0725406135463079,0.025
20,pooled,RB,FB1,20,14,195992,J. Caceres,Paraguay,2624.0,0.6110445193089531,0.5199385102972047,0.0911060090117484,0.025
20,pooled,RB,FB1,20,15,1231,V. Coufal,Czech Republic,3377.0,0.5985124249805085,0.5182035749037488,0.0803088500767597,0.025
20,pooled,RB,FB1,20,16,81,K. Diatta,Senegal,2180.0,0.6156527392907735,0.5156986213762353,0.0999541179145381,0.025
20,pooled,RB,FB1,20,17,1117,K. Tierney,Scotland,3486.0,0.5936742946444555,0.5146309613581804,0.0790433332862751,0.025
20,pooled,RB,FB1,20,18,153622,K. Trewin,Australia,2949.0,0.594503617353159,0.5085643688968868,0.0859392484562722,0.025
20,pooled,RB,FB1,20,19,19545,R. James,England,2979.0,0.5934173293070042,0.5079119011299923,0.0855054281770118,0.025
20,pooled,RB,FB1,20,20,39058,F. Bjorkan,Norway,3086.0,0.590602994868002,0.5065929963888993,0.0840099984791027,0.025
20,pooled,LB,FB2,20,1,263482,N. Mendes,Portugal,3391.0,0.7103090167412799,0.6301661187091786,0.0801428980321012,0.025
20,pooled,LB,FB2,20,2,21138,R. Ait-Nouri,Algeria,2260.0,0.7083504348243373,0.610181355468397,0.0981690793559403,0.025
20,pooled,LB,FB2,20,3,46334,A. Modiba,South Africa,3194.0,0.6328777804279491,0.5503003277430766,0.0825774526848724,0.025
20,pooled,LB,FB2,20,4,51776,M. Araujo,Uruguay,3756.0,0.6250482946141893,0.5488989542051718,0.0761493404090175,0.025
20,pooled,LB,FB2,20,5,21098,J. Kayembe,Congo DR,3120.0,0.5940774368005702,0.5105264390161678,0.0835509977844024,0.025
20,pooled,LB,FB2,20,6,19549,A. Robinson,USA,2136.0,0.6069481816886906,0.5059698215639433,0.1009783601247472,0.025
20,pooled,LB,FB2,20,7,307123,N. O'Reilly,England,4505.0,0.5486408084685045,0.4791093178265011,0.0695314906420033,0.025
20,pooled,LB,FB2,20,8,375974,J. Seys,Belgium,4020.0,0.5371009834157603,0.4634945268527576,0.0736064565630026,0.025
20,pooled,LB,FB2,20,9,162451,A. Salah-Eddine,Morocco,2066.0,0.560653566451181,0.4579787868888169,0.102674779562364,0.025
20,pooled,LB,FB2,20,10,47300,T. Hernandez,France,3696.0,0.534466307008325,0.4577013596504511,0.0767649473578738,0.025
20,pooled,LB,FB2,20,11,51466,J. Piquerez,Uruguay,3341.0,0.5352585435249992,0.4545181801028344,0.0807403634221648,0.025
20,pooled,LB,FB2,20,12,127817,P. Hincapie,Ecuador,3442.0,0.5284313551324166,0.4488844102261038,0.0795469449063127,0.025
20,pooled,LB,FB2,20,13,47380,M. Cucurella,Spain,4501.0,0.5148500069846494,0.4452876271849065,0.0695623797997429,0.025
20,pooled,LB,FB2,20,14,162007,M. De Cuyper,Belgium,1953.0,0.5490422974814484,0.4434389181192381,0.1056033793622102,0.025
20,pooled,LB,FB2,20,15,50057,E. Elmali,Türkiye,2176.0,0.5427936777617773,0.44274773243429,0.1000459453274873,0.025
20,pooled,LB,FB2,20,16,19235,D. Spence,England,3384.0,0.5156151057728047,0.4353893604489626,0.080225745323842,0.025
20,pooled,LB,FB2,20,17,7578,G. Mensah,Ghana,2783.0,0.5228821316288677,0.4344169579359294,0.0884651736929382,0.025
20,pooled,LB,FB2,20,18,409303,M. Diouf,Senegal,3496.0,0.5100566427927168,0.4311264387089517,0.078930204083765,0.025
20,pooled,LB,FB2,20,19,33,L. Hernandez,France,2084.0,0.5237758918229206,0.4215454870394703,0.1022304047834503,0.025
20,pooled,LB,FB2,20,20,51572,M. Vina,Uruguay,1293.0,0.5509979323652343,0.4212113862065314,0.1297865461587028,0.025
20,pooled,DM,DM,12,1,44,Rodri,Spain,2811.0,0.6861275926502921,0.598104116592785,0.0880234760575071,0.025778933351619154
20,pooled,DM,DM,12,2,137210,A. Stiller,Germany,4303.0,0.655807569438277,0.5846627527561109,0.0711448166821661,0.025778933351619154
20,pooled,DM,DM,12,3,374058,L. Camara,Senegal,2949.0,0.6525763565838736,0.5666371081276014,0.0859392484562722,0.025778933351619154
20,pooled,DM,DM,12,4,162714,A. Onana,Belgium,2755.0,0.6446414237282015,0.5557278357098268,0.0889135880183747,0.025778933351619154
20,pooled,DM,DM,12,5,2926,Y. Tielemans,Belgium,3059.0,0.627375779658962,0.5429958421876493,0.0843799374713126,0.025778933351619154
20,pooled,DM,DM,12,6,511,L. Goretzka,Germany,2459.0,0.6073104846858794,0.5131974725760035,0.0941130121098759,0.025778933351619154
20,pooled,DM,DM,12,7,328033,A. Pavlovic,Germany,3356.0,0.5924445432992002,0.51188482078517,0.0805597225140302,0.025778933351619154
20,pooled,DM,DM,12,8,96512,K. Lenini,Cape Verde Islands,1562.0,0.6103424870947867,0.4922592030456419,0.1180832840491446,0.025778933351619154
20,pooled,DM,DM,12,9,1464,G. Xhaka,Switzerland,3637.0,0.5593242833958889,0.481939194257888,0.0773850891380008,0.025778933351619154
20,pooled,DM,DM,12,10,1934,S. Berge,Norway,3499.0,0.5352682004357189,0.4563718405059075,0.0788963599298113,0.025778933351619154
20,pooled,DM,DM,12,11,269172,Z. Al Johani,Saudi Arabia,2074.0,0.5207755632553077,0.4182989977379591,0.1024765655173485,0.025778933351619154
20,pooled,DM,DM,12,12,292,J. Henderson,England,2106.0,0.4550099778188806,0.3533149418442552,0.1016950359746253,0.025778933351619154
20,pooled,CM,CM,20,1,19617,M. Olise,France,4569.0,0.8102143473077419,0.7411715531901322,0.0690427941176097,0.025
20,pooled,CM,CM,20,2,156477,R. Cherki,France,2970.0,0.7879956845002423,0.7023608006424747,0.0856348838577675,0.025
20,pooled,CM,CM,20,3,2489,L. Diaz,Colombia,4720.0,0.7521635370401455,0.6842341120487545,0.067929424991391,0.025
20,pooled,CM,CM,20,4,1422,J. Doku,Belgium,3271.0,0.7602722023267787,0.6786724828674807,0.081599719459298,0.025
20,pooled,CM,CM,20,5,214463,I. Yuksek,Türkiye,2742.0,0.7326909935459869,0.6435668822123721,0.0891241113336148,0.025
20,pooled,CM,CM,20,6,2676,R. Neves,Portugal,3476.0,0.7013674446873982,0.6222104943620469,0.0791569503253512,0.025
20,pooled,CM,CM,20,7,635,R. Mahrez,Algeria,3761.0,0.6926627326388162,0.6165640268124364,0.0760987058263797,0.025
20,pooled,CM,CM,20,8,41112,Trincao,Portugal,4194.0,0.6877401579409548,0.6156767619121087,0.072063396028846,0.025
20,pooled,CM,CM,20,9,116117,M. Caicedo,Ecuador,4587.0,0.6786519157182012,0.6097447213271296,0.0689071943910715,0.025
20,pooled,CM,CM,20,10,538,F. de Jong,Netherlands,2906.0,0.6885209136413053,0.6019481796792936,0.0865727339620117,0.025
20,pooled,CM,CM,20,11,319572,V. Barco,Argentina,3378.0,0.6771341212159933,0.5968371590602634,0.0802969621557299,0.025
20,pooled,CM,CM,20,12,128384,Vitinha,Portugal,4450.0,0.6617941383723814,0.5918342782919617,0.0699598600804197,0.025
20,pooled,CM,CM,20,13,129718,J. Bellingham,England,3335.0,0.6683896059962172,0.5875766451997976,0.0808129607964196,0.025
20,pooled,CM,CM,20,14,1271,A. Tchouameni,France,4300.0,0.657686962436472,0.5865173321222026,0.0711696303142693,0.025
20,pooled,CM,CM,20,15,39064,P. Berg,Norway,3911.0,0.6570063383773185,0.5823812205709155,0.074625117806403,0.025
20,pooled,CM,CM,20,16,1323,D. Olmo,Spain,3265.0,0.6613343212836322,0.5796596594670786,0.0816746618165535,0.025
20,pooled,CM,CM,20,17,2472,R. de Paul,Argentina,3650.0,0.6467079451770643,0.5694607880276181,0.0772471571494461,0.025
20,pooled,CM,CM,20,18,6067,T. Almada,Argentina,2028.0,0.6723503137974188,0.5687180554488998,0.103632258348519,0.025
20,pooled,CM,CM,20,19,37127,M. Odegaard,Norway,2454.0,0.661647463877579,0.5674386234034925,0.0942088404740865,0.025
20,pooled,CM,CM,20,20,1578,G. Lo Celso,Argentina,1858.0,0.665064490960579,0.5567950029979891,0.1082694879625898,0.025
20,pooled,AM,AM,20,1,6005,J. Quintero,Colombia,1988.0,0.7829120220261333,0.6782423778763673,0.1046696441497659,0.025
20,pooled,AM,AM,20,2,414149,R. Mofokeng,South Africa,2398.0,0.7518178702671031,0.6565153581945483,0.0953025120725547,0.025
20,pooled,AM,AM,20,3,271,L. Paredes,Argentina,3687.0,0.7297198287208823,0.6528612465072733,0.0768585822136089,0.025
20,pooled,AM,AM,20,4,37155,O. Kokcu,Türkiye,3163.0,0.7331049327120694,0.6501238032489155,0.0829811294631539,0.025
20,pooled,AM,AM,20,5,129678,A. Ounahi,Morocco,2428.0,0.7160795688806967,0.6213676585221986,0.094711910358498,0.025
20,pooled,AM,AM,20,6,350850,B. Zeneli,Sweden,1991.0,0.7191686004146396,0.6145778430823733,0.1045907573322662,0.025
20,pooled,AM,AM,20,7,395559,K. Alajbegovic,Bosnia & Herzegovina,2637.0,0.6897745512259403,0.5988933889010173,0.090881162324923,0.025
20,pooled,AM,AM,20,8,78,H. Vanaken,Belgium,4957.0,0.6599597617822015,0.5936741180540585,0.066285643728143,0.025
20,pooled,AM,AM,20,9,441269,P. Okon-Engstler,Australia,2529.0,0.6840424137834775,0.591241014849366,0.0928013989341115,0.025
20,pooled,AM,AM,20,10,474591,C. Inao Oulai,Ivory Coast,2727.0,0.6789827251586308,0.5896138341513681,0.0893688910072626,0.025
20,pooled,AM,AM,20,11,263228,P. Guiagon,Ivory Coast,2555.0,0.6799189471106666,0.5875909348958986,0.0923280122147679,0.025
20,pooled,AM,AM,20,12,1864,P. Neto,Portugal,4123.0,0.6535586505189871,0.5808774201922087,0.0726812303267784,0.025
20,pooled,AM,AM,20,13,454,Y. Akgun,Türkiye,2553.0,0.6676777398749114,0.5753135702229968,0.0923641696519146,0.025
20,pooled,AM,AM,20,14,644,L. Sane,Germany,3580.0,0.6513114231247826,0.5733127123490168,0.0779987107757658,0.025
20,pooled,AM,AM,20,15,362400,M. Arfsten,USA,2845.0,0.6604873611876053,0.5729914411220416,0.0874959200655636,0.025
20,pooled,AM,AM,20,16,51114,C. Roldan,USA,2618.0,0.6559702687337261,0.564759919917967,0.091210348815759,0.025
20,pooled,AM,AM,20,17,295977,T. Moremi,South Africa,1799.0,0.6730198132776142,0.5629892449846801,0.1100305682929341,0.025
20,pooled,AM,AM,20,18,7562,R. Schmid,Austria,3254.0,0.6438127593701295,0.5620001652713886,0.0818125940987409,0.025
20,pooled,AM,AM,20,19,35576,O. Pineda,Mexico,3543.0,0.6361978982875494,0.5577929700697392,0.0784049282178101,0.025
20,pooled,AM,AM,20,20,339887,C. Y. Uzun,Türkiye,1567.0,0.6722452975589366,0.5543505547190675,0.1178947428398691,0.025
20,pooled,RW,W1,20,1,154,L. Messi,Argentina,3834.0,0.8327019832961582,0.7573312252151297,0.0753707580810284,0.025
20,pooled,RW,W1,20,2,513776,Y. Diomande,Ivory Coast,3400.0,0.7845734829412211,0.7045367266792312,0.0800367562619898,0.025
20,pooled,RW,W1,20,3,278,K. Mbappe,France,4228.0,0.7652669971779251,0.6934939395100165,0.0717730576679086,0.025
20,pooled,RW,W1,20,4,583,Joao Felix,Portugal,3478.0,0.7638941735890096,0.6847599858666668,0.0791341877223427,0.025
20,pooled,RW,W1,20,5,25414,J. Yeboah,Ecuador,3079.0,0.7642427332816594,0.6801372921053237,0.0841054411763356,0.025
20,pooled,RW,W1,20,6,343027,D. Doue,France,2918.0,0.7616891029943358,0.6752945635278682,0.0863945394664676,0.025
20,pooled,RW,W1,20,7,2889,A. Vega,Mexico,1826.0,0.780484039637745,0.6712699799046984,0.1092140597330467,0.025
20,pooled,RW,W1,20,8,276,Neymar,Brazil,2566.0,0.7555341996354499,0.663404297106551,0.0921299025288989,0.025
20,pooled,RW,W1,20,9,927,Lee Kang-In,South Korea,2119.0,0.7556150931765999,0.654232485086166,0.1013826080904338,0.025
20,pooled,RW,W1,20,10,186,Son Heung-Min,South Korea,2965.0,0.7372220122216853,0.6515149539862871,0.0857070582353981,0.025
20,pooled,RW,W1,20,11,108563,R. Zalazar,Uruguay,2638.0,0.7377173718986458,0.6468534365973493,0.0908639353012965,0.025
20,pooled,RW,W1,20,12,1460,B. Saka,England,3522.0,0.7243643272539229,0.6457260009023282,0.0786383263515946,0.025
20,pooled,RW,W1,20,13,326067,A. Hadj Moussa,Algeria,3632.0,0.7110584490265185,0.6336201120399697,0.0774383369865488,0.025
20,pooled,RW,W1,20,14,350037,N. Paz,Argentina,3370.0,0.7104835681855739,0.6300913545584481,0.0803922136271258,0.025
20,pooled,RW,W1,20,15,350799,Jeremy Arevalo,Ecuador,1033.0,0.7733768794147706,0.6281728136440075,0.1452040657707631,0.025
20,pooled,RW,W1,20,16,3246,N. Pepe,Ivory Coast,3426.0,0.706224294672378,0.6264918172810212,0.0797324773913568,0.025
20,pooled,RW,W1,20,17,2544,A. Afif,Qatar,2306.0,0.7224112981621962,0.6252262875933257,0.0971850105688704,0.025
20,pooled,RW,W1,20,18,517,J. Rodriguez,Colombia,1855.0,0.7321858518105184,0.6238288497655039,0.1083570020450145,0.025
20,pooled,RW,W1,20,19,147859,C. De Ketelaere,Belgium,3389.0,0.6984314747459723,0.6182649322531023,0.08016654249287,0.025
20,pooled,RW,W1,20,20,377122,Endrick,Brazil,1841.0,0.7232756819583477,0.6145074564163213,0.1087682255420263,0.025
20,pooled,LW,W2,8,1,909,M. Rashford,England,2820.0,0.683823961586197,0.5959410607731312,0.0878829008130657,0.03199119925197039
20,pooled,LW,W2,8,2,314511,A. Nusa,Norway,2645.0,0.666551703749747,0.5758080839362196,0.0907436198135274,0.03199119925197039
20,pooled,LW,W2,8,3,127769,G. Martinelli,Brazil,2608.0,0.6517366636486723,0.5603516156710899,0.0913850479775823,0.03199119925197039
20,pooled,LW,W2,8,4,247,C. Gakpo,Netherlands,3972.0,0.6241604122740908,0.5501105393113328,0.074049872962758,0.03199119925197039
20,pooled,LW,W2,8,5,1946,L. Trossard,Belgium,3436.0,0.629068337810408,0.5494519701026002,0.0796163677078078,0.03199119925197039
20,pooled,LW,W2,8,6,387643,B. Toure,Ivory Coast,2642.0,0.6299725396905859,0.5391774146492919,0.0907951250412939,0.03199119925197039
20,pooled,LW,W2,8,7,26315,N. Gonzalez,Argentina,2275.0,0.5908667186894603,0.4930218088901949,0.0978449097992653,0.03199119925197039
20,pooled,LW,W2,8,8,301771,S. Adingra,Ivory Coast,1750.0,0.5379237556675205,0.4263633940433563,0.1115603616241641,0.03199119925197039
20,pooled,ST,ST,3,1,153,O. Dembele,France,2764.0,0.7411214479612049,0.6523527359858712,0.0887687119753338,0.055751332974669145
20,pooled,ST,ST,3,2,181812,J. Musiala,Germany,1452.0,0.7529505796318369,0.630476092492678,0.1224744871391589,0.055751332974669145
20,pooled,ST,ST,3,3,2601,D. Kamada,Japan,3539.0,0.528463835858335,0.4500146110673764,0.0784492247909585,0.055751332974669145
10,pooled,GK,GK,10,1,182718,J. Garcia,Spain,4049.0,0.809506995311787,0.7361646068035925,0.0733423885081944,0.025
10,pooled,GK,GK,10,2,49866,U. Cakir,Türkiye,4058.0,0.7998039513134133,0.7265429388392247,0.0732610124741886,0.025
10,pooled,GK,GK,10,3,129058,B. Verbruggen,Netherlands,3810.0,0.8006378638794533,0.7250300902508716,0.0756077736285817,0.025
10,pooled,GK,GK,10,4,732,L. Zidane,Algeria,3089.0,0.8089233825886204,0.7249541887740211,0.0839691938145993,0.025
10,pooled,GK,GK,10,5,138804,M. Kovar,Czech Republic,4140.0,0.7958974094435404,0.7233655573700037,0.0725318520735365,0.025
10,pooled,GK,GK,10,6,22221,M. Maignan,France,4291.0,0.7941353127292504,0.7228910854489691,0.0712442272802813,0.025
10,pooled,GK,GK,10,7,369,D. Costa,Portugal,4730.0,0.7902106868754002,0.7223531068803053,0.0678575799950948,0.025
10,pooled,GK,GK,10,8,497,M. Neuer,Germany,3600.0,0.7997975980415335,0.7220158521110133,0.0777817459305202,0.025
10,pooled,GK,GK,10,9,46417,S. Chaine,South Africa,2700.0,0.8098014669222335,0.7199868430201837,0.0898146239020498,0.025
10,pooled,GK,GK,10,10,47296,G. Rulli,Argentina,3517.0,0.7968209004092849,0.718126695185897,0.0786942052233878,0.025
10,pooled,RCB,CB1,10,1,69,B. Mechele,Belgium,5270.0,0.7073087044532894,0.643021634801001,0.0642870696522883,0.025
10,pooled,RCB,CB1,10,2,265595,G. Inacio,Portugal,3802.0,0.6644132185360311,0.5887259414431827,0.0756872770928484,0.025
10,pooled,RCB,CB1,10,3,318,K. Koulibaly,Senegal,2476.0,0.649132594771255,0.5553432250087262,0.0937893697625287,0.025
10,pooled,RCB,CB1,10,4,20995,M. Lacroix,France,4992.0,0.6155900193065074,0.5495371558619089,0.0660528634445984,0.025
10,pooled,RCB,CB1,10,5,2897,Kim Min-Jae,South Korea,2324.0,0.6453752055480908,0.5485672884880293,0.0968079170600614,0.025
10,pooled,RCB,CB1,10,6,61837,A. Bardakci,Türkiye,3960.0,0.6149303561311228,0.5407683712601662,0.0741619848709566,0.025
10,pooled,RCB,CB1,10,7,22224,Gabriel,Brazil,4750.0,0.6064702238433384,0.5387556526057182,0.0677145712376201,0.025
10,pooled,RCB,CB1,10,8,290,V. van Dijk,Netherlands,5331.0,0.5628584489440945,0.4989402400938584,0.063918208850236,0.025
10,pooled,RCB,CB1,10,9,266345,E. Lira,Mexico,4139.0,0.5680626788655354,0.4955220653192274,0.0725406135463079,0.025
10,pooled,RCB,CB1,10,10,30776,C. Romero,Argentina,3294.0,0.5734513172832274,0.4921369774782244,0.081314339805003,0.025
10,pooled,LCB,CB2,10,1,624,N. Otamendi,Argentina,4243.0,0.7100013786997497,0.6383553006518448,0.0716460780479048,0.026750570180058053
10,pooled,LCB,CB2,10,2,2194,R. Bensebaini,Algeria,3155.0,0.6806070792593201,0.5975208105338974,0.0830862687254227,0.026750570180058053
10,pooled,LCB,CB2,10,3,16367,W. Pacho,Ecuador,4396.0,0.64026956828892,0.5698813299629647,0.0703882383259553,0.026750570180058053
10,pooled,LCB,CB2,10,4,529,N. Tagliafico,Argentina,2565.0,0.6183784858596825,0.5262306260355094,0.092147859824173,0.026750570180058053
10,pooled,LCB,CB2,10,5,2467,L. Martinez,Argentina,1898.0,0.6212814487712786,0.5141589156996813,0.1071225330715972,0.026750570180058053
10,pooled,LCB,CB2,10,6,30424,Ibanez,Brazil,3476.0,0.591706244413968,0.5125492940886167,0.0791569503253512,0.026750570180058053
10,pooled,LCB,CB2,10,7,972,J. Tah,Germany,4147.0,0.5777380200889916,0.5052674095636177,0.0724706105253738,0.026750570180058053
