scenario,combination_id,calibration_worlds,simulated_matches,synthetic_win_probability,synthetic_win_q025,synthetic_win_q975,draw_probability,real_win_probability,real_win_q025,real_win_q975,win_margin,win_margin_q025,win_margin_q975,mean_synthetic_goals,mean_real_goals,goal_difference,goal_difference_q025,goal_difference_q975,mean_synthetic_xg,mean_real_xg,xg_difference,xg_difference_q025,xg_difference_q975,synthetic_possession_share
sensitivity_ability_low,real_xi_set_02,20,1000,0.281,0.198,0.3305,0.207,0.512,0.40850000000000003,0.6104999999999999,-0.231,-0.3505,-0.0780000000000001,1.232,1.7469999999999999,-0.515,-0.8505,-0.2695000000000001,1.2113030935910207,1.7170637171345855,-0.5057606235435648,-0.6248231682612021,-0.4333273434475292,0.4829698578226814
sensitivity_ability_low,real_xi_set_03,20,1000,0.262,0.16,0.36,0.217,0.521,0.40950000000000003,0.6305,-0.259,-0.4305,-0.08850000000000008,1.1560000000000001,1.72,-0.564,-0.9525,-0.22950000000000004,1.1565704732069793,1.692751318538885,-0.5361808453319059,-0.6520782875347128,-0.448555445059068,0.48529926823982183
sensitivity_ability_low,real_xi_set_04,20,1000,0.25,0.159,0.3305,0.217,0.533,0.42850000000000005,0.641,-0.28300000000000003,-0.441,-0.1295,1.1560000000000001,1.768,-0.612,-0.9535,-0.2790000000000001,1.1442907371397129,1.7340575340246343,-0.5897667968849216,-0.7264602617809497,-0.4899571524976023,0.4823613448206146
sensitivity_ability_low,real_xi_set_05,20,1000,0.292,0.219,0.36,0.21400000000000002,0.49400000000000005,0.3885,0.5904999999999999,-0.202,-0.33049999999999996,-0.04750000000000013,1.247,1.6940000000000002,-0.44699999999999995,-0.7905,-0.18950000000000003,1.227164697674546,1.6727410083337755,-0.4455763106592294,-0.5874030095219003,-0.3702609338611176,0.486477136494847
sensitivity_ability_low,real_xi_set_06,20,1000,0.28200000000000003,0.198,0.3305,0.207,0.511,0.40850000000000003,0.6104999999999999,-0.229,-0.3505,-0.0780000000000001,1.236,1.7469999999999999,-0.511,-0.8505,-0.2695000000000001,1.2149161088312357,1.7172679272612306,-0.502351818429995,-0.6228993295685668,-0.42929113538314656,0.4829964747895663
sensitivity_ability_low,real_xi_set_07,20,1000,0.262,0.16,0.36,0.21800000000000003,0.52,0.40950000000000003,0.6305,-0.258,-0.4305,-0.08850000000000008,1.16,1.72,-0.5599999999999999,-0.943,-0.22950000000000004,1.1604008907955403,1.6924804451363105,-0.5320795543407701,-0.6482745251393665,-0.4417850784802051,0.4852900089805626
sensitivity_ability_low,real_xi_set_08,20,1000,0.24900000000000003,0.1485,0.3305,0.217,0.534,0.42850000000000005,0.6515,-0.28500000000000003,-0.4515,-0.1295,1.1560000000000001,1.77,-0.614,-0.9545,-0.2790000000000001,1.1470886759788521,1.7343955853801707,-0.5873069094013186,-0.7225844276974728,-0.4861090338531118,0.4822950335290465
sensitivity_no_uncertainty_pooling,real_xi_set_01,20,1000,0.276,0.20950000000000002,0.3505,0.209,0.515,0.4495,0.6019999999999999,-0.23900000000000002,-0.383,-0.11800000000000013,1.201,1.765,-0.564,-0.9355,-0.36,1.2325832976352058,1.8190848488117446,-0.5865015511765389,-0.692997547746527,-0.4633714416301317,0.48396385676412257
sensitivity_no_uncertainty_pooling,real_xi_set_02,20,1000,0.268,0.1895,0.3409999999999999,0.21100000000000002,0.521,0.4495,0.6419999999999999,-0.253,-0.42300000000000004,-0.11900000000000008,1.2,1.8030000000000002,-0.603,-0.966,-0.36,1.2261556327444985,1.8658320391712366,-0.6396764064267381,-0.7518752816491259,-0.516710655239003,0.48006388438024017
sensitivity_no_uncertainty_pooling,real_xi_set_03,20,1000,0.256,0.1695,0.3505,0.217,0.527,0.46,0.6305,-0.271,-0.441,-0.12950000000000003,1.127,1.782,-0.655,-0.882,-0.36950000000000005,1.162896417948053,1.8291609878022892,-0.6662645698542364,-0.7926899907138608,-0.5744809135572433,0.4841815572329957
sensitivity_no_uncertainty_pooling,real_xi_set_04,20,1000,0.24300000000000002,0.14950000000000002,0.3305,0.217,0.54,0.459,0.6315,-0.297,-0.4715,-0.1695,1.1179999999999999,1.8350000000000002,-0.717,-0.9315,-0.42,1.1545819100613253,1.8794208075712788,-0.7248388975099538,-0.8408579896828129,-0.640023735929589,0.48013962575879576
sensitivity_no_uncertainty_pooling,real_xi_set_05,20,1000,0.277,0.20950000000000002,0.3505,0.21200000000000002,0.511,0.44,0.6019999999999999,-0.23399999999999999,-0.383,-0.1085000000000001,1.207,1.764,-0.557,-0.9355,-0.36,1.2373969055252536,1.8193516884543648,-0.5819547829291114,-0.6879271228791449,-0.45864131669053937,0.48396326806710527
sensitivity_no_uncertainty_pooling,real_xi_set_06,20,1000,0.269,0.1895,0.3409999999999999,0.21400000000000002,0.517,0.4495,0.6419999999999999,-0.248,-0.42300000000000004,-0.11900000000000008,1.206,1.802,-0.596,-0.966,-0.34950000000000003,1.2308631303685256,1.8660882081497903,-0.6352250777812648,-0.7467602638267149,-0.5119838215541088,0.48005428667421385
sensitivity_no_uncertainty_pooling,real_xi_set_07,20,1000,0.256,0.1695,0.3505,0.21800000000000003,0.526,0.46,0.6305,-0.27,-0.441,-0.12950000000000003,1.131,1.781,-0.65,-0.882,-0.36950000000000005,1.1677794630055771,1.8285613402559506,-0.6607818772503735,-0.7879277033896704,-0.5655643763578542,0.4842308884261472
sensitivity_no_uncertainty_pooling,real_xi_set_08,20,1000,0.24300000000000002,0.14950000000000002,0.3305,0.21800000000000003,0.5389999999999999,0.459,0.6315,-0.296,-0.4715,-0.1695,1.121,1.834,-0.713,-0.9315,-0.42,1.1591300509786278,1.879039523489284,-0.7199094725106563,-0.8360682118722388,-0.633474376840242,0.4801413966675939
sensitivity_top10,real_xi_set_01,20,1000,0.294,0.22,0.36,0.22000000000000003,0.48600000000000004,0.378,0.5705,-0.192,-0.34,-0.0695,1.3050000000000002,1.719,-0.414,-0.601,-0.22,1.242322989289103,1.6863652614127536,-0.4440422721236505,-0.5525438522370854,-0.32211050051397344,0.48839887520024633
sensitivity_top10,real_xi_set_02,20,1000,0.286,0.2,0.36,0.21800000000000003,0.496,0.378,0.6104999999999999,-0.21000000000000002,-0.38,-0.06,1.303,1.7690000000000001,-0.466,-0.6705000000000001,-0.24950000000000003,1.2333465920634408,1.7310142809608116,-0.497667688897371,-0.6023506088341427,-0.3650968964048073,0.4843590002732589
sensitivity_top10,real_xi_set_03,20,1000,0.275,0.199,0.37149999999999994,0.22400000000000003,0.501,0.3885,0.58,-0.22600000000000003,-0.37050000000000005,-0.049500000000000016,1.234,1.72,-0.48600000000000004,-0.7925,-0.2285000000000001,1.1807822050630246,1.7087530960940138,-0.5279708910309895,-0.6482646174671303,-0.3841288481103432,0.48722695996557014
sensitivity_top10,real_xi_set_04,20,1000,0.264,0.199,0.34199999999999986,0.22400000000000003,0.512,0.40950000000000003,0.6104999999999999,-0.248,-0.3905,-0.08850000000000008,1.222,1.77,-0.548,-0.905,-0.2990000000000001,1.1743064620625692,1.7524363295334318,-0.5781298674708626,-0.7156520883007756,-0.441825104832994,0.4833878031434747
sensitivity_top10,real_xi_set_05,20,1000,0.294,0.22,0.36,0.22200000000000003,0.484,0.36850000000000005,0.5705,-0.19,-0.34,-0.0695,1.309,1.719,-0.41,-0.601,-0.20950000000000005,1.2470115992050084,1.685637813579366,-0.43862621437435767,-0.5472724543161511,-0.31719044167574384,0.4883683393452424
sensitivity_top10,real_xi_set_06,20,1000,0.286,0.2,0.36,0.22000000000000003,0.49400000000000005,0.378,0.6104999999999999,-0.20800000000000002,-0.38,-0.06,1.307,1.7690000000000001,-0.462,-0.66,-0.24950000000000003,1.2380001470671234,1.7302774122461535,-0.4922772651790301,-0.5970721962433212,-0.3602048079090099,0.48433731397577706
sensitivity_top10,real_xi_set_07,20,1000,0.279,0.199,0.38099999999999995,0.22200000000000003,0.499,0.378,0.58,-0.22000000000000003,-0.37050000000000005,-0.04000000000000001,1.239,1.719,-0.48,-0.7925,-0.21900000000000006,1.1855720197490807,1.7089889807535918,-0.523416961004511,-0.643368361741104,-0.3792157764333353,0.4872186266322368
sensitivity_top10,real_xi_set_08,20,1000,0.268,0.199,0.3514999999999999,0.221,0.511,0.399,0.6104999999999999,-0.24300000000000002,-0.3905,-0.07900000000000004,1.2269999999999999,1.77,-0.5429999999999999,-0.905,-0.28950000000000004,1.1788932390396254,1.751917688684875,-0.5730244496452499,-0.7112546412887275,-0.4370624362954268,0.48341366521244017
sensitivity_top30,real_xi_set_01,20,1000,0.259,0.17900000000000002,0.3305,0.236,0.505,0.399,0.6104999999999999,-0.246,-0.4115,-0.12850000000000006,1.174,1.768,-0.5940000000000001,-0.8514999999999999,-0.3295,1.2030830011051339,1.7806803707425225,-0.5775973696373884,-0.7254973728714025,-0.4513459210146878,0.48474470793927527
sensitivity_top30,real_xi_set_02,20,1000,0.25,0.1685,0.3105,0.23200000000000004,0.518,0.41900000000000004,0.6305,-0.268,-0.46199999999999997,-0.12950000000000003,1.169,1.8170000000000002,-0.648,-0.9,-0.3970000000000002,1.1911539524382344,1.8277411240456232,-0.6365871716073888,-0.7676584116916781,-0.4951234140439475,0.4807841744401449
sensitivity_top30,real_xi_set_03,20,1000,0.246,0.1695,0.3305,0.225,0.529,0.41900000000000004,0.661,-0.28300000000000003,-0.47250000000000003,-0.10950000000000001,1.114,1.799,-0.6849999999999999,-1.02,-0.3465000000000002,1.1247378671875692,1.801138199996324,-0.6764003328087547,-0.8741450500647472,-0.5394462776532466,0.48427704177823194
sensitivity_top30,real_xi_set_04,20,1000,0.22999999999999998,0.12,0.3105,0.22800000000000004,0.542,0.44,0.661,-0.312,-0.49350000000000005,-0.14950000000000002,1.109,1.857,-0.748,-1.083,-0.40750000000000014,1.1133651824204023,1.8530299767953082,-0.7396647943749061,-0.9398689870330621,-0.5996482327471777,0.4802533733977509
sensitivity_top30,real_xi_set_05,20,1000,0.26,0.17900000000000002,0.3305,0.238,0.502,0.399,0.6,-0.242,-0.4114999999999999,-0.11900000000000002,1.181,1.768,-0.587,-0.8514999999999999,-0.3295,1.207589532640347,1.7805873112014978,-0.572997778561151,-0.7201836948551429,-0.4469832084259696,0.48473553362734867
sensitivity_top30,real_xi_set_06,20,1000,0.251,0.1685,0.3105,0.233,0.516,0.41900000000000004,0.621,-0.265,-0.45249999999999996,-0.12950000000000003,1.176,1.8170000000000002,-0.641,-0.8905000000000001,-0.3875000000000002,1.1958425015263772,1.8279007042159456,-0.6320582026895687,-0.7623501681584667,-0.490804793610961,0.4807841744401449
sensitivity_top30,real_xi_set_07,20,1000,0.246,0.1695,0.3305,0.229,0.525,0.40950000000000003,0.6419999999999999,-0.279,-0.4535,-0.09900000000000003,1.1179999999999999,1.8,-0.682,-1.0105,-0.3370000000000002,1.1290229675672223,1.80141327675813,-0.6723903091909075,-0.869458104792313,-0.5347018513779022,0.4842581738537037
sensitivity_top30,real_xi_set_08,20,1000,0.22999999999999998,0.12,0.3105,0.23200000000000004,0.538,0.4295,0.6419999999999999,-0.308,-0.49350000000000005,-0.13900000000000004,1.114,1.857,-0.743,-1.0725,-0.40750000000000014,1.1176804691479933,1.8532329183581475,-0.7355524492101542,-0.938094388933187,-0.5951621660107411,0.4802097645424833
