match_id,competition,season,home_team,away_team,home_score,away_score,shots,goals,passes,possessions
3788743,UEFA Euro,2020,Belgium,Russia,3,0,14,3,1164,169
3788744,UEFA Euro,2020,Wales,Switzerland,1,1,27,2,892,151
3788745,UEFA Euro,2020,England,Croatia,1,0,16,1,953,149
3788746,UEFA Euro,2020,Netherlands,Ukraine,3,2,22,5,1154,161
3788747,UEFA Euro,2020,Austria,North Macedonia,3,1,17,4,956,194
3788748,UEFA Euro,2020,Scotland,Czech Republic,0,2,29,2,889,206
3788749,UEFA Euro,2020,Poland,Slovakia,1,2,29,2,1022,163
3788750,UEFA Euro,2020,Spain,Sweden,0,0,21,0,1119,136
3788751,UEFA Euro,2020,France,Germany,1,0,14,0,1196,163
3788752,UEFA Euro,2020,Hungary,Portugal,0,3,16,3,1037,207
3788753,UEFA Euro,2020,Finland,Russia,0,1,25,1,1038,179
3788754,UEFA Euro,2020,Italy,Switzerland,3,0,19,3,1117,164
3788755,UEFA Euro,2020,Turkey,Wales,0,2,34,2,903,166
3788756,UEFA Euro,2020,Netherlands,Austria,2,0,23,2,1042,173
3788757,UEFA Euro,2020,Denmark,Belgium,1,2,27,3,1121,194
3788758,UEFA Euro,2020,Ukraine,North Macedonia,2,1,30,3,925,167
3788759,UEFA Euro,2020,England,Scotland,0,0,20,0,963,136
3788760,UEFA Euro,2020,Croatia,Czech Republic,1,1,22,2,934,175
3788761,UEFA Euro,2020,Sweden,Slovakia,1,0,23,1,1095,139
3788762,UEFA Euro,2020,Spain,Poland,1,1,17,2,996,164
3788763,UEFA Euro,2020,Hungary,France,1,1,22,2,1050,165
3788764,UEFA Euro,2020,Portugal,Germany,2,4,20,4,1038,164
3788765,UEFA Euro,2020,Switzerland,Turkey,3,1,43,4,1026,186
3788766,UEFA Euro,2020,Italy,Wales,1,0,26,1,903,157
3788767,UEFA Euro,2020,Ukraine,Austria,0,1,23,1,1006,196
3788768,UEFA Euro,2020,Finland,Belgium,0,2,24,1,1174,149
3788769,UEFA Euro,2020,Russia,Denmark,1,4,22,5,831,179
3788770,UEFA Euro,2020,North Macedonia,Netherlands,0,3,30,3,1058,170
3788771,UEFA Euro,2020,Croatia,Scotland,3,1,22,4,1024,180
3788772,UEFA Euro,2020,Czech Republic,England,0,1,13,1,984,145
3788773,UEFA Euro,2020,Portugal,France,2,2,21,4,1173,123
3788774,UEFA Euro,2020,Germany,Hungary,2,2,27,4,1038,175
3788775,UEFA Euro,2020,Slovakia,Spain,0,5,22,3,1070,161
3788776,UEFA Euro,2020,Sweden,Poland,3,2,29,5,835,174
3794685,UEFA Euro,2020,Italy,Austria,2,1,42,3,1364,234
3794686,UEFA Euro,2020,Croatia,Spain,3,5,35,7,1412,225
3794687,UEFA Euro,2020,Belgium,Portugal,1,0,29,1,1101,153
3794688,UEFA Euro,2020,England,Germany,2,0,14,2,1034,183
3794689,UEFA Euro,2020,Wales,Denmark,0,4,27,4,885,151
3794690,UEFA Euro,2020,Netherlands,Czech Republic,0,2,18,2,855,163
3794691,UEFA Euro,2020,France,Switzerland,3,3,49,15,1246,226
3794692,UEFA Euro,2020,Sweden,Ukraine,1,2,28,3,1477,177
3795107,UEFA Euro,2020,Belgium,Italy,1,2,24,3,1028,153
3795108,UEFA Euro,2020,Switzerland,Spain,1,1,46,5,1431,227
3795109,UEFA Euro,2020,Czech Republic,Denmark,1,2,27,3,906,174
3795187,UEFA Euro,2020,Ukraine,England,0,4,17,4,1248,111
3795220,UEFA Euro,2020,Italy,Spain,1,1,32,8,1371,233
3795221,UEFA Euro,2020,England,Denmark,2,1,27,2,1341,206
3795506,UEFA Euro,2020,Italy,England,1,1,35,7,1350,222
3857254,FIFA World Cup,2022,Denmark,Tunisia,0,0,24,0,1063,194
3857255,FIFA World Cup,2022,Japan,Spain,2,1,18,3,1346,132
3857256,FIFA World Cup,2022,Serbia,Switzerland,2,3,26,5,966,190
3857257,FIFA World Cup,2022,Australia,Denmark,1,0,22,1,1065,179
3857258,FIFA World Cup,2022,Brazil,Serbia,2,0,28,2,1064,170
3857259,FIFA World Cup,2022,Cameroon,Serbia,3,3,28,6,931,179
3857260,FIFA World Cup,2022,Saudi Arabia,Mexico,1,2,36,3,810,200
3857261,FIFA World Cup,2022,Wales,England,0,3,25,3,981,157
3857262,FIFA World Cup,2022,South Korea,Portugal,2,1,25,3,1007,156
3857263,FIFA World Cup,2022,Spain,Germany,1,1,18,2,1034,183
3857264,FIFA World Cup,2022,Poland,Argentina,0,2,28,2,1246,132
3857265,FIFA World Cup,2022,Mexico,Poland,0,0,17,0,906,172
3857266,FIFA World Cup,2022,France,Denmark,2,1,31,3,1107,160
3857267,FIFA World Cup,2022,Ecuador,Senegal,1,2,22,3,776,174
3857268,FIFA World Cup,2022,Belgium,Canada,1,0,31,1,1014,169
3857269,FIFA World Cup,2022,Brazil,Switzerland,1,0,19,1,1110,166
3857270,FIFA World Cup,2022,Portugal,Uruguay,2,0,26,2,1064,178
3857271,FIFA World Cup,2022,England,Iran,6,2,21,8,1093,149
3857272,FIFA World Cup,2022,England,United States,0,0,18,0,1038,138
3857273,FIFA World Cup,2022,Wales,Iran,0,2,31,2,922,174
3857274,FIFA World Cup,2022,Netherlands,Ecuador,1,1,17,2,1015,171
3857275,FIFA World Cup,2022,Tunisia,France,1,0,15,1,1022,184
3857276,FIFA World Cup,2022,Canada,Morocco,1,2,12,2,955,170
3857277,FIFA World Cup,2022,Morocco,Croatia,0,0,13,0,1070,167
3857278,FIFA World Cup,2022,Iran,United States,0,1,16,1,1032,183
3857279,FIFA World Cup,2022,France,Australia,4,1,27,5,1238,139
3857280,FIFA World Cup,2022,Cameroon,Brazil,1,0,28,1,926,164
3857281,FIFA World Cup,2022,Croatia,Canada,4,1,21,5,1036,188
3857282,FIFA World Cup,2022,United States,Wales,1,1,13,2,1053,176
3857283,FIFA World Cup,2022,Belgium,Morocco,0,2,20,2,1050,155
3857284,FIFA World Cup,2022,Germany,Japan,1,2,38,3,1120,173
3857285,FIFA World Cup,2022,Senegal,Netherlands,0,2,25,2,921,173
3857286,FIFA World Cup,2022,Qatar,Ecuador,0,2,11,2,987,158
3857287,FIFA World Cup,2022,Uruguay,South Korea,0,0,17,0,1033,155
3857288,FIFA World Cup,2022,Tunisia,Australia,0,1,23,1,952,192
3857289,FIFA World Cup,2022,Argentina,Mexico,2,0,9,2,970,156
3857290,FIFA World Cup,2022,Switzerland,Cameroon,1,0,15,1,1082,169
3857291,FIFA World Cup,2022,Spain,Costa Rica,7,0,17,7,1340,144
3857292,FIFA World Cup,2022,Costa Rica,Germany,2,4,38,5,1140,179
3857293,FIFA World Cup,2022,Ghana,Uruguay,0,2,21,2,962,187
3857294,FIFA World Cup,2022,Netherlands,Qatar,2,0,18,2,1318,160
3857295,FIFA World Cup,2022,Japan,Costa Rica,0,1,17,1,1089,168
3857296,FIFA World Cup,2022,Croatia,Belgium,0,0,27,0,1239,163
3857297,FIFA World Cup,2022,Poland,Saudi Arabia,2,0,26,2,919,183
3857298,FIFA World Cup,2022,Portugal,Ghana,3,2,20,5,1080,185
3857299,FIFA World Cup,2022,South Korea,Ghana,2,3,28,5,945,157
3857300,FIFA World Cup,2022,Argentina,Saudi Arabia,1,2,18,3,932,161
3857301,FIFA World Cup,2022,Qatar,Senegal,1,3,22,4,999,179
3869117,FIFA World Cup,2022,Netherlands,United States,3,1,29,4,1057,162
3869118,FIFA World Cup,2022,England,Senegal,3,0,18,3,1034,153
3869151,FIFA World Cup,2022,Argentina,Australia,2,1,19,2,1206,157
3869152,FIFA World Cup,2022,France,Poland,3,1,28,4,1081,152
3869219,FIFA World Cup,2022,Japan,Croatia,1,1,38,6,1378,232
3869220,FIFA World Cup,2022,Morocco,Spain,0,0,25,3,1433,230
3869253,FIFA World Cup,2022,Brazil,South Korea,4,1,26,5,1196,164
3869254,FIFA World Cup,2022,Portugal,Switzerland,6,1,25,7,1016,164
3869321,FIFA World Cup,2022,Netherlands,Argentina,2,2,31,11,1331,230
3869354,FIFA World Cup,2022,England,France,1,2,24,3,966,180
3869420,FIFA World Cup,2022,Croatia,Brazil,1,1,37,8,1484,265
3869486,FIFA World Cup,2022,Morocco,Portugal,1,0,21,1,980,179
3869519,FIFA World Cup,2022,Argentina,Croatia,3,0,21,3,1080,184
3869552,FIFA World Cup,2022,France,Morocco,2,0,27,2,1002,150
3869684,FIFA World Cup,2022,Croatia,Morocco,2,1,21,3,1040,173
3869685,FIFA World Cup,2022,Argentina,France,3,3,38,12,1263,255
3930158,UEFA Euro,2024,Germany,Scotland,5,1,21,5,998,138
3930159,UEFA Euro,2024,Hungary,Switzerland,1,3,21,4,975,156
3930160,UEFA Euro,2024,Spain,Croatia,3,0,27,3,1047,169
3930161,UEFA Euro,2024,Italy,Albania,2,1,25,3,1261,135
3930162,UEFA Euro,2024,Slovenia,Denmark,1,1,27,2,1043,141
3930163,UEFA Euro,2024,Serbia,England,0,1,11,1,1166,135
3930164,UEFA Euro,2024,Belgium,Slovakia,0,1,26,1,1000,174
3930165,UEFA Euro,2024,Austria,France,0,1,19,0,1028,173
3930166,UEFA Euro,2024,Portugal,Czech Republic,2,1,24,2,1027,152
3930167,UEFA Euro,2024,Croatia,Albania,2,2,35,3,1022,166
3930168,UEFA Euro,2024,Germany,Hungary,2,0,30,2,1095,148
3930169,UEFA Euro,2024,Scotland,Switzerland,1,1,23,2,874,177
3930170,UEFA Euro,2024,Slovenia,Serbia,1,1,27,2,983,149
3930171,UEFA Euro,2024,Denmark,England,1,1,28,2,1164,147
3930172,UEFA Euro,2024,Spain,Italy,1,0,24,0,1100,159
3930173,UEFA Euro,2024,Netherlands,France,0,0,24,0,1121,122
3930174,UEFA Euro,2024,Turkey,Portugal,0,3,23,2,1078,160
3930175,UEFA Euro,2024,Belgium,Romania,2,0,34,2,870,177
3930176,UEFA Euro,2024,Switzerland,Germany,1,1,22,2,1057,158
3930177,UEFA Euro,2024,Scotland,Hungary,0,1,18,1,944,164
3930178,UEFA Euro,2024,Croatia,Italy,1,1,19,2,1153,141
3930179,UEFA Euro,2024,Albania,Spain,0,1,26,1,1062,157
3930180,UEFA Euro,2024,Netherlands,Austria,2,3,20,4,916,161
3930181,UEFA Euro,2024,England,Slovenia,0,0,16,0,1085,138
3930182,UEFA Euro,2024,Denmark,Serbia,0,0,15,0,1133,156
3930183,UEFA Euro,2024,Slovakia,Romania,1,1,22,2,860,162
3930184,UEFA Euro,2024,Czech Republic,Turkey,1,2,30,3,809,150
3938637,UEFA Euro,2024,Poland,Netherlands,1,2,33,3,955,150
3938638,UEFA Euro,2024,Romania,Ukraine,3,0,23,3,911,158
3938639,UEFA Euro,2024,Turkey,Georgia,3,1,36,4,1101,158
3938640,UEFA Euro,2024,Slovakia,Ukraine,1,2,27,3,1053,157
3938641,UEFA Euro,2024,Poland,Austria,1,3,30,4,916,183
3938642,UEFA Euro,2024,Georgia,Czech Republic,1,1,32,2,920,174
3938643,UEFA Euro,2024,France,Poland,1,1,29,2,1033,160
3938644,UEFA Euro,2024,Georgia,Portugal,2,0,29,2,1036,153
3938645,UEFA Euro,2024,Ukraine,Belgium,0,0,26,0,1001,166
3940878,UEFA Euro,2024,Switzerland,Italy,2,0,27,2,1124,144
3940983,UEFA Euro,2024,Germany,Denmark,2,0,25,2,1050,164
3941017,UEFA Euro,2024,England,Slovakia,2,1,29,3,1386,195
3941018,UEFA Euro,2024,Spain,Georgia,4,1,39,4,1135,144
3941019,UEFA Euro,2024,France,Belgium,1,0,24,0,1174,135
3941020,UEFA Euro,2024,Portugal,Slovenia,0,0,36,3,1191,218
3941021,UEFA Euro,2024,Romania,Netherlands,0,3,29,3,878,157
3941022,UEFA Euro,2024,Austria,Turkey,1,2,27,3,1055,171
3942226,UEFA Euro,2024,Spain,Germany,2,1,42,3,1261,215
3942227,UEFA Euro,2024,England,Switzerland,1,1,34,10,1411,169
3942349,UEFA Euro,2024,Portugal,France,0,0,44,8,1552,187
3942382,UEFA Euro,2024,Netherlands,Turkey,2,1,26,2,964,128
3942752,UEFA Euro,2024,Spain,France,2,1,15,3,933,153
3942819,UEFA Euro,2024,Netherlands,England,1,2,16,3,1062,114
3943043,UEFA Euro,2024,Spain,England,2,1,25,3,915,147
