domain,team_id,elo,component_id,component_size,competition_count,cross_competition_bridge,elo_z
national,2385,1462.2777076883747,national:32,81,3,True,-1.0901474177956725
club,980,1470.3001580412363,club:451,585,2,True,-0.7500913844423995
club,435,1471.337108824572,club:451,585,2,True,-0.709813608963571
club,25484,1492.392259041043,club:451,585,2,True,0.10802136133656162
club,1614,1467.5872675942423,club:451,585,2,True,-0.8554668700283037
club,16489,1475.7134770591367,club:451,585,1,False,-0.5398244638689027
club,327,1673.6273776304497,club:451,585,2,True,4.0
club,333,1501.379814036265,club:451,585,1,False,0.45712059344929556
club,364,1508.1315781241249,club:451,585,1,False,0.7193760855971831
club,378,1500.407534149491,club:451,585,1,False,0.4193547981855224
club,1601,1458.892500068559,club:451,585,1,False,-1.1931935007113323
club,1597,1474.5291514235817,club:451,585,1,False,-0.5858266491310227
club,1612,1485.0117062926156,club:451,585,2,True,-0.17865786325936434
club,1605,1479.8878359325452,club:451,585,3,True,-0.37768187024421174
club,1615,1510.784063591391,club:451,585,1,False,0.8224052899030331
club,1606,1467.7793298594186,club:451,585,2,True,-0.8480066887747265
club,20787,1467.1199767772791,club:451,585,1,False,-0.8736176202002818
club,372,1441.102874792182,club:451,585,1,False,-1.8841872723052688
club,367,1491.0575924937996,club:451,585,2,True,0.056179557084246746
club,371,1524.5933523415913,club:451,585,1,False,1.3587927836408427
club,1609,1476.5692724005899,club:451,585,1,False,-0.5065832212054903
club,2298,1483.5996250560452,club:451,585,1,False,-0.23350664867760068
club,2287,1540.947216321964,club:451,585,3,True,1.9940179767728203
club,366,1477.547889100317,club:451,585,1,False,-0.46857128819489346
club,375,1448.2462344167463,club:451,585,3,True,-1.6067212249802525
club,18310,1512.6127220804415,club:451,585,2,True,0.8934349831470034
club,9569,1512.107758213343,club:451,585,2,True,0.8738209169919183
club,1611,1412.7770362862848,club:451,585,1,False,-2.984434055397545
club,1596,1505.0760311178406,club:451,585,1,False,0.6006909577570442
club,2285,1432.1176399916528,club:451,585,2,True,-2.2331963822228054
club,2286,1572.4828673130885,club:451,585,3,True,3.2189419467545597
club,2281,1628.4061477055175,club:451,585,3,True,4.0
club,2288,1431.1297761077699,club:451,585,2,True,-2.27156749911486
club,1610,1489.0676565526337,club:451,585,2,True,-0.02111455787625547
club,1600,1520.8853904305606,club:451,585,1,False,1.2147662206287424
club,2295,1630.3237065814096,club:451,585,4,True,4.0
club,14002,1446.5084986752465,club:451,585,1,False,-1.6742192501155575
club,1153,1514.716232909802,club:451,585,1,False,0.9751406323097618
club,7848,1536.9094254882484,club:451,585,2,True,1.8371800291628937
club,128,1484.311316846502,club:451,585,2,True,-0.20586275023341943
club,1607,1549.180806983981,club:451,585,1,False,2.313831338601339
club,2242,1503.7216256483798,club:451,585,2,True,0.5480824441391148
club,1598,1443.8902385490383,club:451,585,2,True,-1.7759190561269373
club,2280,1490.1175034240032,club:451,585,1,False,0.01966413408455898
club,135,1520.9554429945392,club:451,585,1,False,1.217487238336613
club,2070,1491.9124360752267,club:451,585,1,False,0.0893838309953758
club,400,1566.0242575315167,club:451,585,2,True,2.968073304898001
club,3724,1500.8548322537756,club:451,585,1,False,0.4367289811322996
club,567,1602.032250110311,club:451,585,3,True,4.0
club,759,1497.0012369786227,club:451,585,2,True,0.28704565211297234
club,130,1543.7207118562794,club:451,585,3,True,2.101747516320817
club,1602,1515.8828372966134,club:451,585,1,False,1.020454479716723
club,2289,1450.9320883544442,club:451,585,2,True,-1.5023959053893585
club,2278,1579.20398370421,club:451,585,2,True,3.480007005308101
club,1617,1499.2112549893768,club:451,585,1,False,0.37288830797652006
club,2283,1452.4138969415255,club:451,585,2,True,-1.444838734371974
club,397,1610.5075185123785,club:451,585,2,True,4.0
club,405,1491.2446057838222,club:451,585,1,False,0.06344362344895597
club,560,1632.0901538250614,club:451,585,2,True,4.0
club,3723,1568.4850026582192,club:451,585,1,False,3.0636548323115926
club,1062,1459.274487805619,club:451,585,2,True,-1.1783561366278859
club,2163,1489.3471912550058,club:451,585,1,False,-0.010256727242803949
club,2184,1498.7096345460664,club:451,585,2,True,0.353404108807244
club,14281,1477.61017381004,club:451,585,1,False,-0.46615199347589664
club,257,1460.5425293705594,club:451,585,3,True,-1.129102214193692
club,617,1555.0616980579962,club:451,585,3,True,2.542259933382536
club,794,1508.39894719669,club:451,585,1,False,0.729761372582663
club,740,1463.2186983178876,club:451,585,1,False,-1.0251530839783105
club,1393,1636.9316038371096,club:451,585,2,True,4.0
club,2290,1480.3507192852892,club:451,585,1,False,-0.3597023170635511
club,3716,1479.031301854031,club:451,585,1,False,-0.41095180731237435
club,1122,1475.4122807467656,club:451,585,1,False,-0.5515236858953411
club,326,1501.8073041151374,club:451,585,1,False,0.4737253828886343
club,395,1451.094533044542,club:451,585,1,False,-1.4960861452149752
club,600,1462.0474867547182,club:451,585,1,False,-1.0706458856981735
club,266,1434.8045882937502,club:451,585,1,False,-2.1288285547672348
club,3714,1437.5944317626909,club:451,585,1,False,-2.020464020337161
club,5902,1489.593509607098,club:451,585,1,False,-0.0006891031652461503
club,733,1503.191470171352,club:451,585,1,False,0.5274898725187831
club,2314,1458.175941505166,club:451,585,2,True,-1.2210264368521693
club,2279,1534.9484488763928,club:451,585,1,False,1.7610107673610196
club,554,1497.2000321796315,club:451,585,2,True,0.2947673575219255
club,261,1459.960039933273,club:451,585,1,False,-1.1517275684061035
club,260,1439.9952707157606,club:451,585,1,False,-1.9272093993208166
club,736,1485.056536042042,club:451,585,1,False,-0.17691656308274822
club,569,1677.648145701404,club:451,585,2,True,4.0
club,742,1548.4592507885418,club:451,585,2,True,2.285804281867007
club,735,1562.339133931077,club:451,585,1,False,2.8249338392882852
club,631,1492.4552857874066,club:451,585,1,False,0.11046947862428003
club,119,1458.099938578039,club:451,585,3,True,-1.223978581624857
club,396,1502.5746257264404,club:451,585,1,False,0.5035300834364248
club,2291,1423.530214632194,club:451,585,2,True,-2.566753573294926
club,324,1473.9350420136707,club:451,585,1,False,-0.6089033522945779
club,150,1485.4908992018773,club:451,585,1,False,-0.16004480589882059
club,131,1527.6331245487304,club:451,585,3,True,1.4768651786219051
club,564,1581.8403219819959,club:451,585,2,True,3.5824090121780134
club,851,1485.7670183758248,club:451,585,1,False,-0.1493196429765419
club,2061,1480.0150393097285,club:451,585,1,False,-0.3727409712655161
club,6215,1406.7560287906679,club:451,585,1,False,-3.2183051242680314
club,2159,1485.636418615721,club:451,585,1,False,-0.15439246600690087
club,3719,1471.3564404484473,club:451,585,1,False,-0.7090627200895705
club,406,1525.1871729719187,club:451,585,1,False,1.3818582698793358
club,741,1463.5368470170479,club:451,585,1,False,-1.0127953886280678
club,247,1628.0781562211162,club:451,585,3,True,4.0
club,251,1472.720054185562,club:451,585,1,False,-0.6560965342049557
club,129,1479.5929566934326,club:451,585,1,False,-0.3891357212631938
club,136,1478.057351452172,club:451,585,2,True,-0.44878248958197836
club,209,1547.3917339308766,club:451,585,4,True,2.2443392432133993
club,611,1626.9953535996415,club:451,585,5,True,4.0
club,84,1456.629247635394,club:451,585,4,True,-1.281103915380862
club,568,1487.9316061620345,club:451,585,1,False,-0.0652416112528828
club,3843,1474.2792012098041,club:451,585,1,False,-0.5955353438474988
club,549,1567.2425843114117,club:451,585,3,True,3.0153961800904026
club,3573,1422.5871581064846,club:451,585,1,False,-2.603384259742916
club,645,1597.276478931371,club:451,585,4,True,4.0
club,4716,1490.5118363400588,club:451,585,1,False,0.03498101595788085
club,228,1685.7980369602042,club:451,585,3,True,4.0
club,41,1563.174388140716,club:451,585,3,True,2.8573772127484682
club,1837,1505.5615686741419,club:451,585,2,True,0.6195504571600291
club,2698,1464.697314142524,club:451,585,1,False,-0.9677199278813865
club,60,1500.0763551238665,club:451,585,2,True,0.40649097219515623
club,67,1470.2574552834053,club:451,585,1,False,-0.7517500669178683
club,75,1412.1037377008024,club:451,585,3,True,-3.0105866652340842
club,69,1481.320538946398,club:451,585,3,True,-0.32203208314999754
club,70,1566.8685656612656,club:451,585,2,True,3.000868355378201
club,76,1508.363588139352,club:451,585,2,True,0.7283879378975388
club,71,1544.0793851012816,club:451,585,3,True,2.115679286916512
club,58,1501.61997811266,club:451,585,3,True,0.46644916998597163
club,225,1436.2257395891913,club:451,585,1,False,-2.073627465458933
club,762,1499.514693695775,club:451,585,1,False,0.3846746302246916
club,2700,1661.723638610104,club:451,585,1,False,4.0
club,15537,1504.575348241796,club:451,585,1,False,0.5812431760575668
club,1009,1526.3846603942345,club:3584,20,1,False,1.4283716920300034
club,1002,1493.1924467851136,club:3584,20,1,False,0.13910266511156819
club,62,1476.1857266767715,club:451,585,3,True,-0.5214811014116505
club,56,1518.2060328671491,club:451,585,2,True,1.110693236548017
club,203,1472.6735918332881,club:451,585,1,False,-0.6579012487807886
club,325,1493.9558070557775,club:451,585,1,False,0.168753497229516
club,3720,1465.5390761102587,club:451,585,1,False,-0.9350237767352589
club,197,1656.719113289666,club:451,585,3,True,4.0
club,426,1460.5613566750446,club:451,585,1,False,-1.1283709143527385
club,1599,1429.910115863149,club:451,585,2,True,-2.3189421694297474
club,118,1508.531053284644,club:451,585,2,True,0.7348927051738628
club,193,1442.7517771153257,club:451,585,2,True,-1.8201397604798228
club,415,1481.9730901946605,club:451,585,1,False,-0.29668535205308494
club,252,1455.1633421421127,club:451,585,2,True,-1.3380433702522245
club,3584,1490.5127092182727,club:3584,20,1,False,0.03501492074225676
club,3602,1491.9058257309532,club:3584,20,1,False,0.08912706860437117
club,52,1535.949720142272,club:451,585,5,True,1.799902660678036
club,40,1580.5104674128565,club:451,585,5,True,3.530754117253314
club,46,1492.8814987812518,club:451,585,2,True,0.12702466287037606
club,74,1405.5218268166425,club:451,585,2,True,-3.2662446319131395
club,998,1596.8588112036127,club:451,585,3,True,4.0
club,7411,1435.4946635215877,club:451,585,1,False,-2.102024297962558
club,224,1453.715434483344,club:451,585,1,False,-1.3942837439817843
club,2669,1460.7072158682438,club:451,585,1,False,-1.1227053765763935
club,2682,1492.1542496558288,club:451,585,1,False,0.09877647842257149
club,1337,1487.8825523702692,club:451,585,1,False,-0.06714698385384088
club,1342,1484.5636186406057,club:451,585,2,True,-0.19606271422484028
club,38,1489.7501434825917,club:451,585,2,True,0.005394950360632656
club,1138,1476.7215736267842,club:451,585,1,False,-0.5006674586713477
club,37,1485.306815508212,club:451,585,1,False,-0.16719507937555703
club,47,1497.2644550191294,club:451,585,5,True,0.29726970257696916
club,54,1503.7311800697973,club:451,585,3,True,0.5484535618882597
club,2540,1487.0770379101457,club:451,585,1,False,-0.09843519067252626
club,1317,1481.558515043552,club:451,585,1,False,-0.3127884932279567
club,168,1604.235720138983,club:451,585,3,True,4.0
club,398,1519.4452936652722,club:451,585,1,False,1.1588292416397419
club,488,1488.0838580657683,club:451,585,2,True,-0.05932776452711625
club,1687,1490.4168107852893,club:451,585,1,False,0.031289984501742175
club,547,1456.020312249089,club:451,585,1,False,-1.3047564967423466
club,728,1508.4433688049673,club:451,585,2,True,0.7314868195309258
club,427,1485.9073374599711,club:451,585,1,False,-0.14386929696449735
club,1305,1498.5831892147107,club:1305,2,1,False,0.3484926542343423
club,1297,1501.4168107852893,club:1305,2,1,False,0.45855764019692336
club,3589,1449.0484042145363,club:451,585,1,False,-1.5755629332555998
club,94,1575.4566678965127,club:451,585,2,True,3.334451838007708
club,81,1557.4577832516948,club:451,585,4,True,2.6353299064332205
club,35,1583.1139380908285,club:451,585,3,True,3.631879463912242
club,495,1466.0572624856356,club:451,585,2,True,-0.9148961151152161
club,1584,1486.7319374827198,club:451,585,1,False,-0.11183975890940548
club,533,1546.6099230875805,club:451,585,3,True,2.213971744466833
club,718,1391.05887755339,club:451,585,2,True,-3.8280219433811635
club,66,1640.1127057520478,club:451,585,4,True,4.0
club,34,1544.3264602692493,club:451,585,4,True,2.1252763076254277
club,1355,1483.7767841737227,club:451,585,2,True,-0.2266253431416814
club,1321,1481.558515043552,club:451,585,1,False,-0.3127884932279567
club,167,1571.0926363761776,club:451,585,2,True,3.1649418819101185
club,1631,1498.5831892147107,club:451,585,1,False,0.3484926542343423
club,186,1391.012902707444,club:451,585,2,True,-3.8298077219855506
club,189,1484.5708521291315,club:451,585,1,False,-0.19578174734439338
club,173,1598.315591493197,club:451,585,2,True,4.0
club,51,1542.627485611497,club:451,585,3,True,2.0592838604342107
club,36,1527.387484356104,club:451,585,3,True,1.4673238959630006
club,746,1524.3150433804983,club:451,585,2,True,1.3479825638803733
club,48,1480.2601655222102,club:451,585,3,True,-0.3632196528876554
club,44,1374.66010870945,club:451,585,3,True,-4.0
club,59,1514.434890077297,club:451,585,1,False,0.9642125693560273
club,3715,1466.6861813321468,club:451,585,1,False,-0.8904673259178211
club,640,1461.6348577164547,club:451,585,1,False,-1.0866734349573195
club,116,1640.4382775277074,club:451,585,2,True,4.0
club,80,1586.7908021753758,club:451,585,3,True,3.774698109159001
club,3603,1471.3472065385627,club:451,585,4,True,-0.7094213883649625
club,39,1405.2175624480758,club:451,585,3,True,-3.278063024955782
club,895,1628.3493463371879,club:451,585,2,True,4.0
club,1578,1488.091914580557,club:451,585,1,False,-0.05901482923740428
club,196,1470.4596873941612,club:451,585,1,False,-0.7438948632934188
club,91,1550.3718700212469,club:451,585,3,True,2.3600952214847717
club,111,1465.1060977075736,club:451,585,1,False,-0.9518417464699813
club,798,1469.049102030029,club:451,585,2,True,-0.7986855452653006
club,529,1724.3824425126893,club:451,585,4,True,4.0
club,172,1613.9818189264606,club:451,585,4,True,4.0
club,994,1501.5265149435024,club:451,585,1,False,0.4628188255150826
club,3601,1519.359080951965,club:3584,20,1,False,1.1554805231028478
club,154,1481.5869962621537,club:451,585,1,False,-0.3116822110912957
club,96,1515.236883681372,club:451,585,2,True,0.9953640172738161
club,532,1489.998486864755,club:451,585,2,True,0.015041231697388925
club,548,1511.1940834141149,club:451,585,2,True,0.8383314906706478
club,15130,1447.3510446466823,club:451,585,1,False,-1.6414926462945758
club,12767,1480.588759104433,club:451,585,1,False,-0.35045625201921876
club,169,1465.2559848595392,club:451,585,3,True,-0.9460197526482353
club,57,1528.1828605870617,club:451,585,1,False,1.4982183084718108
club,65,1568.4968732889702,club:451,585,4,True,3.064115917454556
club,55,1553.7009604459452,club:451,585,3,True,2.489405463426418
club,106,1466.271440246862,club:451,585,1,False,-0.9065769123932832
club,79,1560.8203923872697,club:451,585,3,True,2.765942099376523
club,4260,1487.5831892147107,club:451,585,1,False,-0.07877500146083888
club,163,1487.3023336408507,club:451,585,2,True,-0.08968413806375514
club,538,1526.7875643702375,club:451,585,3,True,1.4440214954206467
club,546,1520.0096681094801,club:451,585,1,False,1.1807509639771054
club,77,1433.7718215010077,club:451,585,2,True,-2.168943813532225
club,114,1495.3071955295497,club:451,585,2,True,0.2212448231497104
club,108,1475.4971437230824,club:451,585,2,True,-0.5482273945365962
club,97,1513.8114679351827,club:451,585,2,True,0.9399972859769667
club,112,1364.0698854673944,club:451,585,1,False,-4.0
club,95,1555.0779084947126,club:451,585,3,True,2.542889587500137
club,33,1628.6637540668664,club:451,585,3,True,4.0
club,42,1740.9698879977414,club:451,585,4,True,4.0
club,1316,1484.5708521291315,club:451,585,1,False,-0.19578174734439338
club,170,1495.723337616615,club:451,585,2,True,0.23740882805666338
club,3583,1502.8117412077193,club:3584,20,1,False,0.5127402448741548
club,523,1481.6250465950536,club:451,585,2,True,-0.3102042404970606
club,525,1488.091914580557,club:451,585,1,False,-0.05901482923740428
club,531,1456.7553628549304,club:451,585,4,True,-1.2762052831809727
club,536,1453.3342915975943,club:451,585,2,True,-1.4090882919162582
club,1001,1431.5700910266655,club:451,585,1,False,-2.254464560645391
club,3588,1450.1449736219533,club:451,585,1,False,-1.5329694205270414
club,83,1407.1606348325076,club:451,585,2,True,-3.202589208361033
club,509,1498.5831892147107,club:451,585,1,False,0.3484926542343423
club,801,1326.0771490643122,club:451,585,2,True,-4.0
club,489,1557.156098296011,club:451,585,3,True,2.6236117042719886
club,508,1488.091914580557,club:451,585,1,False,-0.05901482923740428
club,540,1488.6236780678676,club:451,585,1,False,-0.03835979845490375
club,240,1446.6055198841518,club:451,585,1,False,-1.6704507024354052
club,183,1487.5831892147107,club:451,585,1,False,-0.07877500146083888
club,164,1532.182328523305,club:451,585,3,True,1.6535676983942382
club,1004,1457.4324955593293,club:451,585,1,False,-1.2499037465261493
club,1621,1488.272709128058,club:451,585,1,False,-0.05199231446710594
club,494,1504.7904067646825,club:451,585,2,True,0.5895965897767457
club,1581,1488.091914580557,club:451,585,1,False,-0.05901482923740428
club,63,1535.538079438776,club:451,585,2,True,1.7839135008260858
club,45,1496.5573711753004,club:451,585,3,True,0.2698047883649018
club,797,1460.171168440637,club:451,585,2,True,-1.1435268063704802
club,543,1568.4190929315132,club:451,585,3,True,3.061094732819123
club,503,1479.146205029271,club:451,585,2,True,-0.40648867910176323
club,899,1490.4168107852893,club:451,585,1,False,0.031289984501742175
club,727,1466.8678834167313,club:451,585,2,True,-0.8834095601255185
club,19999,1455.8508344585791,club:451,585,1,False,-1.3113394402190373
club,4905,1474.8995953223548,club:451,585,1,False,-0.571437676749624
club,637,1465.581422439645,club:451,585,2,True,-0.9333789388367013
club,551,1465.9439002572697,club:451,585,2,True,-0.919299389075063
club,664,1437.018806750389,club:451,585,1,False,-2.0428227430249506
club,152,1489.3890068135088,club:451,585,1,False,-0.00863250581978913
club,331,1497.081908450209,club:451,585,2,True,0.29017913488989805
club,632,1532.9481577982863,club:451,585,1,False,1.6833144328473308
club,6496,1474.305598993409,club:451,585,1,False,-0.594509987564192
club,502,1513.6432767050342,club:451,585,3,True,0.933464315739326
club,575,1578.0429487296647,club:451,585,2,True,3.4349094878759088
club,407,1481.6776727430415,club:451,585,2,True,-0.3081601085989647
club,1014,1520.6153038811015,club:451,585,1,False,1.2042753800085408
club,2149,1474.43964808328,club:451,585,2,True,-0.589303183893531
club,542,1473.070843373459,club:451,585,2,True,-0.6424710002089622
club,162,1424.9858604993328,club:451,585,1,False,-2.5102126280972175
club,160,1548.2236647789264,club:451,585,3,True,2.27665352895401
club,180,1375.9302356842654,club:451,585,2,True,-4.0
club,161,1422.0391390277018,club:451,585,2,True,-2.624670698567257
club,182,1477.6999223892535,club:451,585,2,True,-0.4626659330174806
club,3563,1453.1730092500093,club:3584,20,1,False,-1.4153529037851373
club,255,1467.6423743082898,club:451,585,1,False,-0.8533263867079275
club,867,1437.5011885224326,club:451,585,2,True,-2.0240858222166684
club,492,1597.9045082562,club:451,585,4,True,4.0
club,202,1459.8459929855092,club:451,585,1,False,-1.156157438588855
club,553,1600.4432131445049,club:451,585,2,True,4.0
club,955,1452.424592213137,club:451,585,1,False,-1.4444233031330247
club,520,1425.3175592826467,club:451,585,1,False,-2.4973286134114483
club,497,1612.109437153418,club:451,585,3,True,4.0
club,500,1534.1388440104456,club:451,585,4,True,1.7295636788962303
club,539,1484.9584512060665,club:451,585,2,True,-0.18072642471242764
club,218,1475.7191755537833,club:451,585,1,False,-0.5396031200099352
club,2073,1461.0966794396204,club:451,585,1,False,-1.1075776322926882
club,2250,1457.3318105189321,club:451,585,2,True,-1.2538146066328821
club,192,1441.8931550129712,club:451,585,2,True,-1.8534908016435572
club,766,1512.3596302935741,club:451,585,1,False,0.8836042618333202
club,242,1465.2979269561008,club:451,585,1,False,-0.9443906161688896
club,194,1488.9850975684942,club:451,585,2,True,-0.024321356386242565
club,206,1450.9479013715934,club:451,585,1,False,-1.5017816880469221
club,175,1482.0200461097236,club:451,585,2,True,-0.29486146625762705
club,1005,1416.5575910918008,club:451,585,1,False,-2.837587801853912
club,490,1464.4009166236835,club:451,585,2,True,-0.9792327527021879
club,487,1502.2597286818495,club:451,585,2,True,0.4912986905248159
club,3579,1534.4856066149116,club:3584,20,1,False,1.743032810268316
club,499,1559.7354211329825,club:451,585,3,True,2.723799088075072
club,504,1370.9001448877405,club:451,585,2,True,-4.0
club,123,1468.2748979290811,club:451,585,1,False,-0.8287575790145345
club,10582,1462.2437015279718,club:451,585,1,False,-1.0630244105908262
club,744,1497.934646768465,club:451,585,1,False,0.3233016350865021
club,1343,1504.3464313405213,club:451,585,1,False,0.5723514680796893
club,2691,1497.9902900383718,club:451,585,1,False,0.32546295958543764
club,1319,1489.040299262914,club:451,585,1,False,-0.022177183789411043
club,1338,1409.3071926273672,club:451,585,3,True,-3.1192115068315927
club,1365,1464.895796208822,club:451,585,2,True,-0.9600103854118667
club,10511,1456.4493373687928,club:451,585,1,False,-1.2880920824577866
club,6342,1502.0132592990003,club:3584,20,1,False,0.48172520003294067
club,2936,1471.9550949878667,club:451,585,1,False,-0.6858094726687524
club,2939,1732.4369592762682,club:451,585,2,True,4.0
club,215,1414.628150293715,club:451,585,1,False,-2.9125321333630723
club,2931,1441.889583919356,club:451,585,1,False,-1.8536295118978499
club,2944,1449.3187224814246,club:451,585,1,False,-1.5650630921478752
club,2110,1484.7207803894312,club:451,585,1,False,-0.18995815677160147
club,2933,1678.1004593474413,club:451,585,1,False,4.0
club,2992,1397.079421611585,club:451,585,1,False,-3.594168875585292
club,2977,1399.1369789217563,club:451,585,1,False,-3.51424817664208
club,2938,1547.9389633049225,club:451,585,2,True,2.2655950079203184
club,1007,1484.8657039277416,club:451,585,1,False,-0.18432896218351558
club,207,1421.313279868664,club:451,585,2,True,-2.65286489322607
club,782,1461.269223567754,club:451,585,1,False,-1.100875584553455
club,332,1489.3559594094188,club:451,585,1,False,-0.009916150080910855
club,401,1456.749204156185,club:451,585,1,False,-1.2764445025241604
club,997,1491.4917022295485,club:451,585,2,True,0.0730414706395116
club,4724,1435.1690504013402,club:451,585,1,False,-2.1146719301945325
club,996,1478.5372475748272,club:451,585,2,True,-0.43014211764524285
club,957,1470.4444810838627,club:451,585,1,False,-0.7444855146164193
national,2381,1497.0827243727576,national:32,81,1,False,0.36498704980055197
national,7,1501.2653545716744,national:32,81,2,True,0.5398552138598878
national,2379,1465.7313902790092,national:32,81,1,False,-0.9457552279185057
national,2383,1484.203941245003,national:32,81,1,False,-0.17345145749374807
national,5158,1465.5449727255389,national:32,81,1,False,-0.953549006898116
club,2934,1475.3827521200958,club:451,585,1,False,-0.5526706519947159
club,2929,1707.1614355282056,club:451,585,3,True,4.0
club,320,1477.5032663498582,club:451,585,1,False,-0.47030454801118293
club,227,1480.5574682933006,club:451,585,1,False,-0.35167166579351844
club,1346,1536.5312933953203,club:451,585,2,True,1.8224924279912107
club,2099,1445.8408897053728,club:451,585,1,False,-1.700150860977288
club,2928,1433.467854889976,club:451,585,1,False,-2.1807506409235997
club,413,1540.467197310211,club:451,585,2,True,1.9753728315145627
club,12260,1502.3471609990634,club:451,585,1,False,0.4946947815437203
club,1123,1492.3489217315002,club:451,585,1,False,0.10633803127724754
club,210,1482.5189176155845,club:451,585,2,True,-0.2754840427301418
club,3595,1501.3771903189888,club:3584,20,1,False,0.45701868167385584
club,17259,1470.7131891577594,club:3584,20,1,False,-0.7340482174527625
club,7421,1505.6434939206993,club:3584,20,1,False,0.6227326397090126
club,250,1466.596996090294,club:451,585,1,False,-0.8939315049368289
club,5050,1450.569596275247,club:451,585,1,False,-1.516476009106327
club,628,1510.9582159131996,club:451,585,1,False,0.8291698039278544
club,10509,1438.2385225057808,club:451,585,1,False,-1.9954459165321612
club,217,1578.479228911464,club:451,585,2,True,3.451855707012603
club,2875,1499.985102009605,club:451,585,1,False,0.402946471812849
club,4215,1468.834975801297,club:451,585,1,False,-0.8070027463355833
club,2904,1498.4444591150761,club:451,585,1,False,0.34310402837568515
club,556,1479.1800877540743,club:451,585,1,False,-0.40517258888401003
club,446,1511.8080101033945,club:451,585,1,False,0.862177946788577
club,3403,1500.684434967011,club:451,585,1,False,0.4301103221093209
club,205,1453.2073800606563,club:451,585,1,False,-1.4140178550860918
club,450,1505.349920980074,club:451,585,1,False,0.6113295286075172
club,2940,1473.46115676094,club:451,585,1,False,-0.6273102469311939
club,226,1451.3188650688114,club:451,585,1,False,-1.4873725253870709
club,72,1458.6083367012468,club:451,585,1,False,-1.2042311203282354
