role,rank_v2,player_id,player_name,club_name,national_team,dominant_competition,minutes,context_matches,context_coverage,opponent_strength,competition_strength,context_strength_z,raw_role_score,adjusted_role_score_v2,uncertainty_v2,goalkeeping_v2
CM,7,350850,B. Zeneli,IF Elfsborg,Sweden,Allsvenskan,1991.0,33,1.0,1510.8743156414412,1497.6035039350827,0.5352173586233331,0.6538579930563762,0.6733930983372659,0.1045907573322662,
CM,8,756,F. Valverde,Real Madrid,Uruguay,La Liga,4580.0,55,1.0,1552.1520669519327,1518.6424961813216,1.310342208037885,0.6131600059209005,0.6652076268683063,0.0689598326222145,
CM,9,754,L. Modric,AC Milan,Croatia,Serie A,3193.0,44,1.0,1515.3760208489646,1503.7249094962997,0.7261744940620579,0.6332493071887182,0.661571465941567,0.082590382686155,
CM,10,18970,P. Gross,Brighton,Germany,Premier League,2568.0,49,1.0,1546.7587577544166,1527.1160947877645,1.3912989468270889,0.5971739964960814,0.6529392007089492,0.0920940194106813,
AM,1,156477,R. Cherki,Manchester City,France,Premier League,2970.0,60,1.0,1558.5783341672209,1537.2479354792479,1.920362786049858,0.7884631372516417,0.8363825139869178,0.0856348838577675,
AM,2,291964,A. Guler,Real Madrid,Türkiye,La Liga,3531.0,54,1.0,1549.069773425947,1518.2616106017153,1.2313376956502837,0.75936576707091,0.7958469018451316,0.078538043641699,
AM,3,1485,B. Fernandes,Manchester United,Portugal,Premier League,3624.0,42,1.0,1548.8259362951387,1537.21544197881,1.7553320325580457,0.7463815258219412,0.794600885042673,0.077523762646265,
AM,4,203224,F. Wirtz,Liverpool,Germany,Premier League,3865.0,53,1.0,1560.4065310644705,1546.0061105505629,1.9195222579039202,0.7110974939535979,0.7730220702911051,0.0750678864818626,
AM,5,339883,K. Yildiz,Juventus,Türkiye,Serie A,3909.0,52,1.0,1529.452036582051,1518.3732724212043,1.1155551956212655,0.715489086193327,0.7520592872171914,0.0746442059555338,
AM,6,129718,J. Bellingham,Real Madrid,England,La Liga,3335.0,48,1.0,1555.3930022251946,1516.507929566176,1.4067559615974286,0.6894595435981903,0.7399401003435944,0.0808129607964196,
AM,7,37127,M. Odegaard,Arsenal,Norway,Premier League,2454.0,44,1.0,1568.0073846943915,1539.4002839112172,2.203105193152845,0.6626185269811603,0.7393352933580918,0.0942088404740865,
AM,8,147859,C. De Ketelaere,Atalanta,Belgium,Serie A,3389.0,48,1.0,1518.711750018626,1515.7787734227813,0.8798963017455198,0.6883978876643532,0.7180964440669317,0.08016654249287,
AM,9,274300,M. Akliouche,Monaco,France,Ligue 1,3435.0,51,1.0,1543.979054596944,1528.7692137406084,1.3724976905836122,0.6477032695466504,0.7005094015779922,0.0796279558554141,
AM,10,350037,N. Paz,Como,Argentina,Serie A,3370.0,51,1.0,1519.0083012265554,1501.9359591771354,0.711154494372805,0.6727853434689228,0.6993124624701188,0.0803922136271258,
RW,1,386828,Lamine Yamal,Barcelona,Spain,La Liga,4201.0,52,1.0,1529.1086310505518,1513.6353069300467,1.127982336724242,0.8485582023003944,0.8696010365281073,0.0720033324627512,
RW,2,19617,M. Olise,Bayern München,France,Bundesliga,4569.0,60,1.0,1549.8576499947296,1519.2372190143872,1.3735947138257483,0.8099311564975971,0.8417719681817997,0.0690427941176097,
RW,3,343027,D. Doue,Paris Saint Germain,France,Ligue 1,2918.0,50,1.0,1555.2276870540766,1542.3320014673557,1.7156511425273522,0.7622315158522637,0.8097271415315248,0.0863945394664676,
RW,4,513776,Y. Diomande,RB Leipzig,Ivory Coast,Bundesliga,3400.0,46,1.0,1515.2289229924804,1493.8538368372303,0.2991541797914076,0.7847036121270806,0.7930526911393789,0.0800367562619898,
RW,5,1460,B. Saka,Arsenal,England,Premier League,3522.0,59,1.0,1556.353074712656,1543.3973942682896,1.8922176646571018,0.7251938794796962,0.7827719395362183,0.0786383263515946,
RW,6,136723,N. Madueke,Arsenal,England,Premier League,2553.0,59,1.0,1565.7964800842544,1540.5021096287696,1.9923624687347545,0.6702602300232144,0.7404546022679809,0.0923641696519146,
RW,7,3246,N. Pepe,Villarreal,Ivory Coast,La Liga,3426.0,52,1.0,1519.5005943712456,1506.5533883187554,0.6688218707116014,0.7071179654569817,0.729666332696786,0.0797324773913568,
RW,8,326067,A. Hadj Moussa,Feyenoord,Algeria,Eredivisie,3632.0,49,1.0,1508.0416252004452,1493.9249276775936,0.37146861324246044,0.7121496617671346,0.7236311017696873,0.0774383369865488,
RW,9,157997,A. Diallo,Manchester United,Ivory Coast,Premier League,2963.0,42,1.0,1541.7719381129352,1533.1607925546916,1.5140081738861393,0.661708354688516,0.7190541719443041,0.0857359791264644,
RW,10,744,B. Diaz,Real Madrid,Morocco,La Liga,2764.0,61,1.0,1537.0366628314619,1505.496728008241,0.9392622934926553,0.6699651384297441,0.7051225177282977,0.0887687119753338,
LW,1,1422,J. Doku,Manchester City,Belgium,Premier League,3271.0,54,1.0,1566.4443377941234,1539.5777434584804,2.0707201444536616,0.8015014436130299,0.8475191186446464,0.081599719459298,
LW,2,762,Vinicius Junior,Real Madrid,Brazil,La Liga,4696.0,59,1.0,1554.6667974742047,1518.4731644804087,1.3146342898121042,0.7499730353323997,0.7879087667515006,0.0681027883315721,
LW,3,2489,L. Diaz,Bayern München,Colombia,Bundesliga,4720.0,58,1.0,1539.141229293769,1516.759359046493,1.2019358428190787,0.7468815023859234,0.7821095763927027,0.067929424991391,
LW,4,1496,Raphinha,Barcelona,Brazil,La Liga,2438.0,40,1.0,1519.3972084945121,1519.7644602008907,0.9778306850582649,0.7413524467856873,0.7680381840046497,0.0945174697708238,
LW,5,51618,B. Rodriguez,Club America,Uruguay,Liga MX,2845.0,47,1.0,1494.4423456515299,1486.1511086992457,-0.006397907719373571,0.7681123127237462,0.7679239729256319,0.0874959200655636,
LW,6,39073,J. Hauge,Bodo/Glimt,Norway,Eliteserien,3211.0,47,1.0,1533.0783725328495,1521.770650014061,1.092872347433463,0.7120672961352712,0.7483977972291223,0.0823585676510025,
LW,7,138787,A. Gordon,Newcastle,England,Premier League,3291.0,57,1.0,1572.543082807707,1543.2729653917083,2.1297901597285533,0.6743197798749819,0.7479272820484928,0.0813513935047183,
LW,8,161904,B. Barcola,Paris Saint Germain,France,Ligue 1,3316.0,58,1.0,1538.0187666415438,1537.3804073703782,1.3871188194462587,0.6897918696962503,0.7364534224165753,0.0810441509480792,
LW,9,304,S. Mane,Al-Nassr,Senegal,Pro League,3389.0,41,1.0,1490.1523642418567,1476.7318051693103,-0.2882754810893097,0.739858000002528,0.7306804951758814,0.08016654249287,
LW,10,127769,G. Martinelli,Arsenal,Brazil,Premier League,2608.0,66,1.0,1560.8951369540662,1539.9324825372885,1.9753889451501465,0.6526199153129784,0.723614647354349,0.0913850479775823,
ST,1,154,L. Messi,Inter Miami,Argentina,Major League Soccer,3834.0,44,1.0,1503.1381184466186,1497.1088011049271,0.47122639158510427,0.8241763605026016,0.8330583371110343,0.0753707580810284,
ST,2,278,K. Mbappe,Real Madrid,France,La Liga,4228.0,53,1.0,1531.1511084406966,1511.5099710644008,0.9215934494836081,0.7757925592895308,0.7959737036749166,0.0717730576679086,
ST,3,184,H. Kane,Bayern München,England,Bundesliga,4702.0,60,1.0,1546.9373373854019,1517.9702188215508,1.312344268601396,0.7483918860199954,0.7810750502016898,0.0680593230862138,
ST,4,153,O. Dembele,Paris Saint Germain,France,Ligue 1,2764.0,49,1.0,1562.0229732488576,1540.7478532789628,1.8406588529983985,0.731926422765063,0.7737281314611125,0.0887687119753338,
ST,5,21509,M. Thuram,Inter,France,Serie A,2882.0,53,1.0,1540.7920473792378,1519.3059098597182,1.3826157741015668,0.7217459319396182,0.7653070383593428,0.0869324560126823,
ST,6,1165,M. Cunha,Manchester United,Brazil,Premier League,2976.0,41,1.0,1534.9873170898913,1536.9249306902511,1.549737261712349,0.6766739365770487,0.731204220120241,0.08554851481526,
ST,7,295513,J. Lopez,Palmeiras,Argentina,Serie A,4771.0,75,1.0,1507.294241641192,1493.5599293352175,0.4090585356406786,0.7166070582405448,0.727679951769565,0.067565380897845,
ST,8,186,Son Heung-Min,Los Angeles FC,South Korea,Major League Soccer,2965.0,37,1.0,1514.2247977364755,1498.118394758909,0.6054908099484718,0.7074907741807894,0.7262563303864381,0.0857070582353981,
ST,9,17,C. Pulisic,AC Milan,USA,Serie A,2030.0,39,1.0,1507.5855196177354,1506.1435705926958,0.4685863035808828,0.7084495312528296,0.7239990691845636,0.1035811953947668,
ST,10,217,L. Martinez,Inter,Argentina,Serie A,3169.0,55,1.0,1516.8708527135464,1514.8456952733075,0.9153609290725038,0.689702350178714,0.7164883316109267,0.0829025364262972,
