simulation_id,match_seed,winner,decided_by,regulation_home_goals,regulation_away_goals,regulation_total_goals,regulation_draw,extra_time_home_goals,extra_time_away_goals,home_penalties,away_penalties,total_shots,total_shots_on_target,total_fouls,total_yellows,total_yellows_raw,total_second_yellows,total_reds,total_injuries,total_substitutions
52,2177379863,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,22,10,30,10,12,2,2,0,10
53,182251706,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,11,6,17,6,6,0,0,0,10
54,894267828,Real Best XI — exploratorio,extra_time,1,1,2,True,1,2,,,20,12,31,3,4,1,1,1,12
55,1397721966,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,19,8,19,4,4,0,0,1,10
56,2794969157,Real Best XI — exploratorio,regulation,1,6,7,False,0,0,,,29,16,29,3,3,0,0,0,10
57,999968518,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,14,9,17,1,1,0,0,1,10
58,1757175834,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,22,8,27,5,5,0,0,0,10
59,2870741391,Real Best XI — exploratorio,regulation,0,4,4,False,0,0,,,16,9,29,7,7,0,0,0,10
60,3169665795,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,18,7,25,2,3,1,1,0,10
61,3275238155,Real Best XI — exploratorio,regulation,1,5,6,False,0,0,,,26,14,25,5,5,0,0,0,10
62,2188308460,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,15,10,26,6,6,0,0,0,10
63,2861142210,Synthetic XI — exploratorio,penalties,2,2,4,True,0,0,4.0,2.0,27,9,26,3,3,0,0,1,12
64,619233535,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,17,6,23,5,5,0,0,0,10
65,4178784412,Synthetic XI — exploratorio,regulation,3,0,3,False,0,0,,,28,12,21,4,4,0,0,0,10
66,3675851131,Synthetic XI — exploratorio,extra_time,1,1,2,True,1,0,,,10,4,23,4,4,0,0,0,12
67,1720182095,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,18,8,25,6,7,1,1,1,12
68,226465188,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,16,10,27,4,5,1,2,0,10
69,1094536781,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,16,8,18,2,2,0,0,0,10
70,2491985701,Real Best XI — exploratorio,penalties,1,1,2,True,0,0,2.0,4.0,16,10,31,5,6,1,1,0,12
71,356375288,Real Best XI — exploratorio,extra_time,3,3,6,True,0,1,,,19,10,28,4,5,1,1,1,12
72,3341598236,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,17,11,25,4,4,0,0,1,10
73,3193173197,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,25,14,17,5,5,0,0,2,10
74,4040999293,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,21,8,30,6,6,0,1,0,12
75,958785089,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,22,8,19,1,1,0,0,1,10
76,1267798578,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,16,7,33,6,7,1,1,0,12
77,214409455,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,12,6,21,6,7,1,1,0,10
78,2019799840,Synthetic XI — exploratorio,penalties,2,2,4,True,0,0,3.0,0.0,18,11,32,5,5,0,0,0,12
79,3088125633,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,15,6,18,4,4,0,0,0,10
80,12552694,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,19,6,31,4,4,0,0,0,10
81,4291584464,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,20,10,17,5,5,0,0,0,10
82,2287914585,Real Best XI — exploratorio,regulation,3,4,7,False,0,0,,,18,11,19,4,5,1,1,1,10
83,2312343456,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,15,10,21,2,2,0,0,0,10
84,3991291827,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,23,7,26,6,7,1,1,0,10
85,1893378847,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,11,30,7,7,0,0,0,10
86,112586047,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,10,4,18,4,4,0,0,0,10
87,3965604289,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,16,12,11,3,3,0,0,1,10
88,2024508609,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,14,9,13,2,2,0,0,0,10
89,1798954604,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,20,11,27,3,3,0,0,0,10
90,3650335085,Real Best XI — exploratorio,regulation,0,5,5,False,0,0,,,18,10,30,8,9,1,1,1,10
91,2319518163,Real Best XI — exploratorio,regulation,4,5,9,False,0,0,,,21,16,18,5,5,0,0,0,10
92,3802394240,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,15,8,18,3,3,0,0,0,10
93,1931966281,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,22,10,22,4,5,1,1,1,10
94,1331804836,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,23,15,25,6,6,0,0,0,10
95,1864259293,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,10,5,17,2,2,0,0,0,10
96,2113814071,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,22,12,19,3,3,0,0,0,10
97,4224321692,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,14,6,17,3,3,0,0,1,10
98,3732690119,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,19,11,25,3,4,1,1,1,10
99,1809484217,Real Best XI — exploratorio,penalties,0,0,0,True,0,0,1.0,3.0,13,6,28,7,7,0,0,0,12
100,1853842047,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,18,9,25,7,8,1,1,1,10
101,2543975469,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,19,11,22,4,5,1,1,0,10
102,2701404943,Real Best XI — exploratorio,extra_time,2,2,4,True,0,1,,,17,9,34,7,7,0,0,1,12
103,1435651189,Synthetic XI — exploratorio,extra_time,1,1,2,True,1,0,,,14,10,23,2,2,0,0,2,12
104,665313655,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,9,4,16,3,3,0,0,0,10
105,4275912206,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,18,9,29,5,5,0,0,0,10
106,1959643154,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,15,10,22,2,2,0,0,0,10
107,1201501567,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,11,6,21,5,5,0,0,0,10
108,3174560855,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,14,6,16,2,2,0,0,0,10
109,2760461732,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,18,13,25,6,6,0,0,0,10
110,2667763184,Real Best XI — exploratorio,extra_time,0,0,0,True,0,1,,,9,5,22,2,2,0,0,0,12
111,2699070053,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,10,23,4,5,1,1,1,10
112,3934443878,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,20,6,21,5,5,0,0,0,10
113,2826146501,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,23,12,15,2,2,0,0,0,10
114,448366279,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,16,7,18,3,3,0,0,0,10
115,2668556498,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,22,11,20,1,1,0,0,1,10
116,3705464669,Real Best XI — exploratorio,regulation,0,4,4,False,0,0,,,15,9,23,5,5,0,0,0,10
117,1981155004,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,23,8,28,5,6,1,2,0,10
118,3763302793,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,10,5,26,5,7,2,2,0,10
119,1038517335,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,19,10,27,2,2,0,0,0,12
120,1709241678,Synthetic XI — exploratorio,penalties,2,2,4,True,1,1,3.0,1.0,23,11,28,4,5,1,1,0,12
121,766217839,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,19,8,29,5,6,1,1,0,10
122,2840130107,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,20,11,31,3,5,2,2,2,10
123,3204963326,Real Best XI — exploratorio,regulation,3,4,7,False,0,0,,,17,10,21,3,3,0,0,2,10
124,2237738504,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,18,9,17,5,6,1,1,1,10
125,2759153133,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,16,8,23,4,4,0,0,0,10
126,2028855968,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,19,12,19,1,1,0,0,0,10
127,2650766727,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,17,6,26,7,8,1,1,1,10
128,1878245622,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,15,10,26,8,9,1,1,0,10
129,1338618618,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,17,9,28,4,5,1,1,0,10
130,1376483346,Real Best XI — exploratorio,regulation,0,5,5,False,0,0,,,23,10,25,4,6,2,2,0,10
131,656587913,Synthetic XI — exploratorio,extra_time,1,1,2,True,2,0,,,15,7,30,7,8,1,1,1,12
132,2207077115,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,15,8,23,7,7,0,0,0,10
133,973133658,Synthetic XI — exploratorio,penalties,0,0,0,True,0,0,6.0,5.0,14,6,17,2,2,0,0,0,12
134,1194878748,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,15,10,21,1,1,0,0,0,10
135,4235033342,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,15,9,21,6,6,0,0,0,10
136,318226065,Synthetic XI — exploratorio,extra_time,1,1,2,True,1,0,,,18,7,35,7,8,1,1,0,12
137,2004388571,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,20,8,26,2,2,0,0,1,10
138,1968998710,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,18,10,15,5,5,0,0,0,10
139,3354414727,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,17,7,29,4,5,1,2,1,10
140,2333495525,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,21,9,27,6,7,1,3,0,10
141,1890810144,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,21,10,35,11,14,3,3,1,10
142,1517742512,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,17,5,22,2,2,0,0,0,10
143,3774780042,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,18,11,16,4,4,0,0,0,10
144,3532251770,Real Best XI — exploratorio,regulation,3,4,7,False,0,0,,,21,16,16,4,4,0,0,1,10
145,666898401,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,13,5,26,2,2,0,0,3,10
146,548542268,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,20,10,26,3,3,0,0,1,10
147,3780493938,Real Best XI — exploratorio,regulation,2,4,6,False,0,0,,,27,13,24,0,0,0,0,1,10
148,61732867,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,17,7,15,2,2,0,1,1,10
149,973953220,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,18,7,27,4,5,1,1,1,10
150,3306385755,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,13,8,23,3,4,1,1,0,10
151,2485673124,Synthetic XI — exploratorio,penalties,2,2,4,True,1,1,4.0,1.0,16,6,37,8,11,3,3,1,12
152,3045885096,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,21,7,29,8,10,2,2,2,10
153,1133760178,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,12,4,19,3,3,0,0,0,10
154,3608702580,Synthetic XI — exploratorio,extra_time,1,1,2,True,1,0,,,15,6,22,5,5,0,0,0,12
155,1091461677,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,23,8,27,2,2,0,0,0,10
156,1425348574,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,16,8,18,3,5,2,2,0,10
157,1687740472,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,20,10,22,6,6,0,0,1,10
158,1815111853,Synthetic XI — exploratorio,regulation,3,0,3,False,0,0,,,13,6,20,1,1,0,0,0,10
159,174580792,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,15,6,20,3,3,0,0,1,10
160,865277964,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,17,8,19,2,2,0,0,0,10
161,623478883,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,26,16,26,8,8,0,0,0,10
162,3489821161,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,9,18,1,1,0,0,0,10
163,3626792345,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,21,9,32,4,4,0,0,2,12
164,9501799,Synthetic XI — exploratorio,penalties,0,0,0,True,0,0,4.0,1.0,14,6,34,8,9,1,1,1,12
165,507176541,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,22,8,29,1,1,0,0,0,10
166,1141072191,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,19,11,33,6,6,0,0,0,10
167,2741971714,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,14,6,23,3,3,0,0,0,10
168,2057505208,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,14,10,17,4,4,0,0,1,10
169,2945343761,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,17,10,39,8,8,0,0,0,12
170,3413411071,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,20,11,31,5,6,1,1,0,10
171,3496263723,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,18,10,23,3,5,2,2,0,10
172,72429295,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,20,9,25,3,4,1,1,0,10
173,4283723018,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,19,10,20,3,4,1,2,0,10
174,2670770990,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,22,6,21,5,5,0,1,0,10
175,1084685857,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,22,13,16,3,3,0,0,2,10
176,3312325717,Real Best XI — exploratorio,extra_time,1,1,2,True,1,2,,,19,6,37,10,12,2,2,1,12
177,2940544108,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,22,14,29,4,4,0,0,2,10
178,4283181129,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,18,9,24,6,6,0,0,1,10
179,3325089590,Real Best XI — exploratorio,regulation,2,4,6,False,0,0,,,22,11,16,4,5,1,1,0,10
180,1699689581,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,17,5,23,8,9,1,2,0,10
181,1450341721,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,16,8,28,5,6,1,1,1,10
182,3424589247,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,19,11,30,10,10,0,0,0,10
183,2538227725,Synthetic XI — exploratorio,penalties,1,1,2,True,0,0,5.0,4.0,14,7,31,6,7,1,1,0,12
184,758684058,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,8,27,3,3,0,0,0,10
185,4210655459,Synthetic XI — exploratorio,penalties,1,1,2,True,0,0,3.0,1.0,16,7,37,5,5,0,0,1,12
186,1648667451,Real Best XI — exploratorio,penalties,1,1,2,True,0,0,3.0,4.0,18,9,24,5,5,0,0,1,12
187,4271741747,Real Best XI — exploratorio,penalties,1,1,2,True,0,0,4.0,5.0,19,9,38,6,6,0,0,0,12
188,3055192863,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,7,18,2,2,0,0,1,10
189,2449044669,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,13,6,18,3,3,0,0,0,10
190,3920992519,Real Best XI — exploratorio,extra_time,0,0,0,True,0,1,,,18,4,31,3,3,0,1,0,12
191,2258601789,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,23,13,28,4,4,0,0,1,10
192,1724063694,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,18,4,14,1,1,0,0,0,10
193,1081353181,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,17,8,27,3,4,1,1,1,10
194,3053987214,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,25,12,20,3,4,1,1,0,10
195,2479531451,Real Best XI — exploratorio,regulation,0,5,5,False,0,0,,,20,8,20,6,7,1,1,0,10
196,2291730887,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,17,7,28,9,10,1,1,0,10
197,358455139,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,21,11,31,4,4,0,0,1,10
198,3728809591,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,22,5,22,4,5,1,1,0,10
199,3079572692,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,18,10,28,6,6,0,0,2,10
200,1703832617,Real Best XI — exploratorio,penalties,0,0,0,True,0,0,2.0,4.0,13,3,30,4,4,0,0,0,12
201,4186024850,Real Best XI — exploratorio,extra_time,1,1,2,True,0,2,,,16,10,35,11,12,1,1,1,12
202,3596066451,Real Best XI — exploratorio,extra_time,2,2,4,True,1,3,,,13,8,25,5,6,1,1,0,12
203,4231342269,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,13,5,10,1,1,0,0,0,10
204,1675968243,Real Best XI — exploratorio,extra_time,0,0,0,True,0,1,,,18,8,40,6,7,1,2,1,12
205,2697535702,Synthetic XI — exploratorio,penalties,2,2,4,True,1,1,4.0,2.0,18,11,22,4,4,0,0,1,12
206,685853788,Synthetic XI — exploratorio,regulation,3,0,3,False,0,0,,,20,12,30,5,7,2,2,0,10
207,825281692,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,16,5,28,3,3,0,0,1,10
208,292162177,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,20,7,37,4,5,1,1,0,10
209,1057383633,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,13,6,18,1,1,0,0,0,10
210,1544058312,Synthetic XI — exploratorio,regulation,5,0,5,False,0,0,,,23,12,25,5,5,0,0,0,10
211,601911653,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,20,11,16,2,3,1,2,1,10
212,3440489946,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,16,5,12,2,2,0,0,0,10
213,1662279929,Synthetic XI — exploratorio,penalties,0,0,0,True,0,0,6.0,5.0,11,4,31,8,9,1,1,1,12
214,2434970789,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,23,12,29,9,9,0,0,2,12
215,2430081385,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,14,7,12,2,2,0,0,1,10
216,1672308840,Synthetic XI — exploratorio,regulation,3,0,3,False,0,0,,,12,7,21,6,8,2,3,1,10
217,457928604,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,9,4,16,3,3,0,0,1,10
218,1526046789,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,22,15,24,8,9,1,1,0,10
219,1640440649,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,13,7,14,2,2,0,0,0,10
220,3940087061,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,21,9,16,3,3,0,0,0,10
221,3993679929,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,18,10,23,4,4,0,0,1,10
222,4143707290,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,15,7,24,2,2,0,0,0,10
223,1793259577,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,15,9,20,4,5,1,1,2,10
224,3180499494,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,19,8,25,5,5,0,0,0,10
225,1184707799,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,17,9,22,4,5,1,1,0,10
226,845928468,Real Best XI — exploratorio,extra_time,0,0,0,True,1,2,,,13,4,25,1,1,0,0,1,12
227,1598154283,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,19,9,21,6,7,1,1,0,10
228,2591175652,Synthetic XI — exploratorio,extra_time,1,1,2,True,1,0,,,15,6,24,4,4,0,0,0,12
229,2309801071,Synthetic XI — exploratorio,penalties,0,0,0,True,0,0,4.0,2.0,15,5,30,12,13,1,1,0,12
230,2280757043,Real Best XI — exploratorio,regulation,1,6,7,False,0,0,,,21,10,33,10,14,4,4,0,10
231,1867168894,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,22,11,24,2,2,0,0,0,10
232,1828529763,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,18,11,27,7,8,1,1,1,10
233,1213593974,Real Best XI — exploratorio,extra_time,0,0,0,True,0,2,,,15,8,14,1,1,0,0,0,12
234,4234684160,Real Best XI — exploratorio,regulation,0,4,4,False,0,0,,,21,11,25,8,9,1,1,0,10
235,2145222808,Real Best XI — exploratorio,extra_time,2,2,4,True,0,2,,,16,12,38,7,7,0,1,1,12
236,2090745397,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,14,6,14,4,4,0,0,0,10
237,4269129566,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,17,9,25,6,7,1,1,1,10
238,196571853,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,24,12,19,2,2,0,0,0,10
239,2281620772,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,18,9,19,2,2,0,0,0,10
240,2697678748,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,20,11,23,4,4,0,0,0,10
