sequence,clock,minute,period,side,team,acting_team,affected_team,possession_team,benefiting_team,actor,actor_team,actor_membership_valid,zone,xg,home_score_before_context,away_score_before_context,score_state_before,numerical_state_before,score,headline
25,43.897,44,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Cm 1,Synthetic XI,True,3.0,,0,0,tied,equal,0-0,Falta de Synthetic Cm 1
26,44.898,45,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic St 1,Synthetic XI,True,1.0,,0,0,tied,equal,0-0,Falta de Synthetic St 1
27,47.343,48,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,N. Mendes,Real Best XI,True,1.0,,0,0,tied,equal,0-0,Falta de N. Mendes
28,48.0,49,match,system,,,,,,,,,,,0,0,tied,equal,0-0,Intervalo
29,49.841,50,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,J. Quintero,Real Best XI,True,3.0,,0,0,tied,equal,0-0,J. Quintero perde sob pressão
30,50.871,51,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Dm 1,Synthetic XI,True,3.0,,0,0,tied,equal,0-0,Falta de Synthetic Dm 1
31,50.881,51,second_half,home,Synthetic XI,Synthetic XI,Synthetic XI,Real Best XI,,Synthetic Dm 1,Synthetic XI,True,3.0,,0,0,tied,equal,0-0,Cartão amarelo para Synthetic Dm 1
33,52.479,53,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,Real Best XI,M. Rashford,Real Best XI,True,3.0,0.1799,0,0,tied,equal,0-1,GOL de M. Rashford
32,52.499,53,second_half,system,,,,,,M. Rashford,,,2.0,,0,0,tied,equal,0-0,VAR revisa o lance
34,53.555,54,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,M. Olise,Real Best XI,True,2.0,,0,1,trailing,equal,0-1,Falta de M. Olise
35,56.372,57,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,M. Rashford,Real Best XI,True,2.0,0.1796,0,1,leading,equal,0-1,Grande chance de M. Rashford para fora
36,60.08,61,regulation,home,Synthetic XI,Synthetic XI,Synthetic XI,,,Synthetic Rb Reserve,Synthetic XI,True,,,0,1,leading,equal,0-1,"Substituição tática: sai Synthetic Rb 1, entra Synthetic Rb Reserve"
38,60.08,61,regulation,away,Real Best XI,Real Best XI,Real Best XI,,,D. Raum,Real Best XI,True,,,0,1,leading,equal,0-1,"Substituição tática: sai J. Hadjam, entra D. Raum"
37,60.081,61,regulation,home,Synthetic XI,Synthetic XI,Synthetic XI,,,Synthetic Lb Reserve,Synthetic XI,True,,,0,1,leading,equal,0-1,"Substituição tática: sai Synthetic Lb 1, entra Synthetic Lb Reserve"
39,60.081,61,regulation,away,Real Best XI,Real Best XI,Real Best XI,,,R. Ait-Nouri,Real Best XI,True,,,0,1,leading,equal,0-1,"Substituição tática: sai N. Mendes, entra R. Ait-Nouri"
40,68.929,69,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,O. Dembele,Real Best XI,True,2.0,,0,1,leading,equal,0-1,O. Dembele perde sob pressão
41,69.289,70,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,Rodri,Real Best XI,True,1.0,0.0853,0,1,leading,equal,0-1,Synthetic Gk 1 defende finalização de Rodri
42,72.121,73,regulation,home,Synthetic XI,Synthetic XI,Synthetic XI,,,Synthetic W Utility,Synthetic XI,True,,,0,1,trailing,equal,0-1,"Substituição tática: sai Synthetic Rw 1, entra Synthetic W Utility"
44,72.121,73,regulation,away,Real Best XI,Real Best XI,Real Best XI,,,Y. Diomande,Real Best XI,True,,,0,1,trailing,equal,0-1,"Substituição tática: sai L. Messi, entra Y. Diomande"
43,72.122,73,regulation,home,Synthetic XI,Synthetic XI,Synthetic XI,,,Synthetic Lw Reserve,Synthetic XI,True,,,0,1,trailing,equal,0-1,"Substituição tática: sai Synthetic Lw 1, entra Synthetic Lw Reserve"
45,72.122,73,regulation,away,Real Best XI,Real Best XI,Real Best XI,,,A. Nusa,Real Best XI,True,,,0,1,trailing,equal,0-1,"Substituição tática: sai M. Rashford, entra A. Nusa"
46,76.835,77,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,M. Olise,Real Best XI,True,1.0,,0,1,trailing,equal,0-1,Falta de M. Olise
47,76.835,77,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Am 1,Synthetic XI,True,1.0,0.0929,0,1,trailing,equal,0-1,J. Garcia defende finalização de Synthetic Am 1
48,78.059,79,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Lw Reserve,Synthetic XI,True,1.0,,0,1,leading,equal,0-1,Falta de Synthetic Lw Reserve
49,78.059,79,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,Real Best XI,Y. Diomande,Real Best XI,True,3.0,0.234,0,1,leading,equal,0-2,GOL de Y. Diomande
50,78.678,79,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,Rodri,Real Best XI,True,1.0,,0,2,trailing,equal,0-2,Falta de Rodri
51,79.279,80,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,M. Olise,Real Best XI,True,3.0,,0,2,trailing,equal,0-2,Falta de M. Olise
52,79.279,80,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,Synthetic XI,Synthetic Cm 1,Synthetic XI,True,3.0,0.0767,0,2,trailing,equal,1-2,GOL de Synthetic Cm 1
53,79.699,80,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,J. Quintero,Real Best XI,True,2.0,0.1408,1,2,leading,equal,1-2,Grande chance de J. Quintero para fora
54,82.159,83,regulation,home,Synthetic XI,Synthetic XI,Synthetic XI,,,Synthetic Cm Reserve,Synthetic XI,True,,,1,2,leading,equal,1-2,"Substituição tática: sai Synthetic Cm 1, entra Synthetic Cm Reserve"
55,82.159,83,regulation,away,Real Best XI,Real Best XI,Real Best XI,,,R. Cherki,Real Best XI,True,,,1,2,leading,equal,1-2,"Substituição tática: sai M. Olise, entra R. Cherki"
56,83.122,84,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,A. Nusa,Real Best XI,True,2.0,,1,2,leading,equal,1-2,A. Nusa perde sob pressão
57,83.925,84,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic St 1,Synthetic XI,True,2.0,,1,2,trailing,equal,1-2,Synthetic St 1 perde sob pressão
58,86.6,87,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,O. Dembele,Real Best XI,True,3.0,,1,2,trailing,equal,1-2,Falta de O. Dembele
59,86.6,87,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Am 1,Synthetic XI,True,2.0,,1,2,trailing,equal,1-2,Synthetic Am 1 perde sob pressão
60,92.552,93,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Lb Reserve,Synthetic XI,True,1.0,,1,2,leading,equal,1-2,Falta de Synthetic Lb Reserve
61,96.437,97,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,B. Mechele,Real Best XI,True,2.0,,1,2,trailing,equal,1-2,Falta de B. Mechele
62,96.437,97,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Lw Reserve,Synthetic XI,True,1.0,0.0976,1,2,trailing,equal,1-2,J. Garcia defende finalização de Synthetic Lw Reserve
63,96.561,97,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Am 1,Synthetic XI,True,2.0,,1,2,trailing,equal,1-2,Synthetic Am 1 perde sob pressão
64,98.392,99,second_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic St 1,Synthetic XI,True,2.0,,1,2,leading,equal,1-2,Falta de Synthetic St 1
65,98.392,99,second_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,O. Dembele,Real Best XI,True,2.0,0.1678,1,2,leading,equal,1-2,Synthetic Gk 1 defende finalização de O. Dembele
66,102.0,103,match,system,,,,,,,,,,,1,2,trailing,equal,1-2,Final: Real Best XI campeão
