fixture_id,stage,kickoff_utc,home_team,away_team,provider_venue_name,provider_venue_city,status_short,host_city,latitude,longitude,timezone,exposure,kickoff_local,match_date_local,temperature_mean_c,temperature_max_c,relative_humidity_mean_pct,apparent_temperature_mean_c,apparent_temperature_max_c,precipitation_sum_mm,wind_speed_mean_kmh,wind_gust_max_kmh,weather_code_mode,heat_band,weather_evidence_grade,weather_source_endpoint,weather_window_hours,direct_pitch_exposure_claim_allowed,weather_interpretation
1489375,Group Stage - 1,2026-06-14T23:00:00+00:00,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,FT,Philadelphia,39.9008,-75.1675,America/New_York,open_air,2026-06-14T19:00:00-04:00,2026-06-14,25.22,28.3,69.6,25.92,27.5,6.6,17.16,44.3,3.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539002,Group Stage - 1,2026-06-15T02:00:00+00:00,Sweden,Tunisia,Estadio BBVA,Monterrey,FT,Monterrey,25.6693,-100.2446,America/Monterrey,open_air,2026-06-14T20:00:00-06:00,2026-06-14,24.68,25.5,89.4,29.42,30.1,0.2,3.88,13.0,3.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489380,Group Stage - 1,2026-06-15T16:00:00+00:00,Spain,Cape Verde Islands,Mercedes-Benz Stadium,Atlanta,FT,Atlanta,33.7554,-84.4008,America/New_York,retractable_or_fixed_roof,2026-06-15T12:00:00-04:00,2026-06-15,26.44,27.2,51.8,27.4,28.7,0.0,12.16,39.6,3.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489377,Group Stage - 1,2026-06-15T19:00:00+00:00,Belgium,Egypt,Lumen Field,Seattle,FT,Seattle,47.5952,-122.3316,America/Los_Angeles,open_air,2026-06-15T12:00:00-07:00,2026-06-15,29.9,31.8,29.8,30.66,33.1,0.0,7.08,49.3,3.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489379,Group Stage - 1,2026-06-15T22:00:00+00:00,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens,FT,Miami,25.958,-80.2389,America/New_York,open_air,2026-06-15T18:00:00-04:00,2026-06-15,28.38,31.7,77.2,33.46,34.7,0.8,5.04,25.9,51.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489378,Group Stage - 1,2026-06-16T01:00:00+00:00,Iran,New Zealand,SoFi Stadium,Inglewood,FT,Los Angeles,33.9535,-118.3392,America/Los_Angeles,covered_open_sides,2026-06-15T18:00:00-07:00,2026-06-15,19.9,21.9,73.8,20.52,21.6,0.0,7.24,38.5,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489383,Group Stage - 1,2026-06-16T19:00:00+00:00,France,Senegal,MetLife Stadium,East Rutherford,FT,New York New Jersey,40.8135,-74.0745,America/New_York,open_air,2026-06-16T15:00:00-04:00,2026-06-16,24.28,26.0,35.8,22.7,25.3,0.0,11.88,42.5,3.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539016,Group Stage - 1,2026-06-16T22:00:00+00:00,Iraq,Norway,Gillette Stadium,Boston,FT,Boston,42.0909,-71.2643,America/New_York,open_air,2026-06-16T18:00:00-04:00,2026-06-16,20.16,23.3,53.4,19.4,22.0,0.0,5.5,22.7,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489381,Group Stage - 1,2026-06-17T01:00:00+00:00,Argentina,Algeria,Arrowhead Stadium,Kansas City,FT,Kansas City,39.0489,-94.4839,America/Chicago,open_air,2026-06-16T20:00:00-05:00,2026-06-16,22.76,24.9,67.2,23.62,26.3,0.0,8.76,24.1,3.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489382,Group Stage - 1,2026-06-17T04:00:00+00:00,Austria,Jordan,Levi's Stadium,Santa Clara,FT,San Francisco Bay Area,37.403,-121.97,America/Los_Angeles,open_air,2026-06-16T21:00:00-07:00,2026-06-16,15.94,16.8,79.6,15.5,16.0,0.0,8.04,29.5,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539003,Group Stage - 1,2026-06-17T17:00:00+00:00,Portugal,Congo DR,NRG Stadium,Houston,FT,Houston,29.6847,-95.4107,America/Chicago,retractable_or_fixed_roof,2026-06-17T12:00:00-05:00,2026-06-17,29.38,30.0,72.8,33.74,34.3,2.0,17.08,47.9,2.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489384,Group Stage - 1,2026-06-17T20:00:00+00:00,England,Croatia,AT&T Stadium,Arlington,FT,Dallas,32.7473,-97.0945,America/Chicago,retractable_or_fixed_roof,2026-06-17T15:00:00-05:00,2026-06-17,32.36,33.0,54.6,35.0,36.3,0.0,20.02,51.8,0.0,very_hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489385,Group Stage - 1,2026-06-17T23:00:00+00:00,Ghana,Panama,BMO Field,Toronto,FT,Toronto,43.6332,-79.4186,America/Toronto,open_air,2026-06-17T19:00:00-04:00,2026-06-17,17.18,18.7,84.2,17.04,18.4,2.3,11.06,35.3,51.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489386,Group Stage - 1,2026-06-18T02:00:00+00:00,Uzbekistan,Colombia,Estadio Banorte,Mexico City,FT,Mexico City,19.3029,-99.1505,America/Mexico_City,open_air,2026-06-17T20:00:00-06:00,2026-06-17,16.36,17.9,87.8,17.56,19.3,0.2,1.48,13.0,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539004,Group Stage - 2,2026-06-18T16:00:00+00:00,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,FT,Atlanta,33.7554,-84.4008,America/New_York,retractable_or_fixed_roof,2026-06-18T12:00:00-04:00,2026-06-18,26.42,29.1,79.0,29.78,32.3,5.5,13.68,50.0,51.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1539005,Group Stage - 2,2026-06-18T19:00:00+00:00,Switzerland,Bosnia & Herzegovina,SoFi Stadium,Inglewood,FT,Los Angeles,33.9535,-118.3392,America/Los_Angeles,covered_open_sides,2026-06-18T12:00:00-07:00,2026-06-18,21.6,21.8,60.2,21.8,22.5,0.0,10.22,37.4,3.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489387,Group Stage - 2,2026-06-18T22:00:00+00:00,Canada,Qatar,BC Place,Vancouver,FT,Vancouver,49.2768,-123.1119,America/Vancouver,retractable_or_fixed_roof,2026-06-18T15:00:00-07:00,2026-06-18,21.5,22.2,54.2,20.3,20.9,0.0,16.56,45.0,2.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489388,Group Stage - 2,2026-06-19T01:00:00+00:00,Mexico,South Korea,Estadio Akron,Zapopan,FT,Guadalajara,20.6818,-103.4626,America/Mexico_City,open_air,2026-06-18T19:00:00-06:00,2026-06-18,19.18,20.9,87.2,20.24,22.0,0.4,9.28,23.0,51.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489391,Group Stage - 2,2026-06-19T19:00:00+00:00,USA,Australia,Lumen Field,Seattle,FT,Seattle,47.5952,-122.3316,America/Los_Angeles,open_air,2026-06-19T12:00:00-07:00,2026-06-19,25.06,26.6,36.8,24.92,26.3,0.0,10.0,32.4,2.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489390,Group Stage - 2,2026-06-19T22:00:00+00:00,Scotland,Morocco,Gillette Stadium,Boston,FT,Boston,42.0909,-71.2643,America/New_York,open_air,2026-06-19T18:00:00-04:00,2026-06-19,21.86,24.2,48.8,19.6,21.8,0.0,16.58,45.0,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489389,Group Stage - 2,2026-06-20T00:30:00+00:00,Brazil,Haiti,Lincoln Financial Field,Philadelphia,FT,Philadelphia,39.9008,-75.1675,America/New_York,open_air,2026-06-19T20:30:00-04:00,2026-06-19,24.4,26.7,38.8,22.36,23.9,0.0,12.62,39.6,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539006,Group Stage - 2,2026-06-20T03:00:00+00:00,Türkiye,Paraguay,Levi's Stadium,Santa Clara,FT,San Francisco Bay Area,37.403,-121.97,America/Los_Angeles,open_air,2026-06-19T20:00:00-07:00,2026-06-19,18.68,20.5,66.0,18.36,19.3,0.0,6.6,30.2,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539007,Group Stage - 2,2026-06-20T17:00:00+00:00,Netherlands,Sweden,NRG Stadium,Houston,FT,Houston,29.6847,-95.4107,America/Chicago,retractable_or_fixed_roof,2026-06-20T12:00:00-05:00,2026-06-20,26.94,28.3,87.0,32.58,34.8,14.8,8.34,28.4,63.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489393,Group Stage - 2,2026-06-20T20:00:00+00:00,Germany,Ivory Coast,BMO Field,Toronto,FT,Toronto,43.6332,-79.4186,America/Toronto,open_air,2026-06-20T16:00:00-04:00,2026-06-20,22.48,23.1,42.8,21.24,22.3,0.0,9.62,31.0,2.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489392,Group Stage - 2,2026-06-21T00:00:00+00:00,Ecuador,Curaçao,Arrowhead Stadium,Kansas City,FT,Kansas City,39.0489,-94.4839,America/Chicago,open_air,2026-06-20T19:00:00-05:00,2026-06-20,24.36,26.5,69.6,25.88,27.9,0.0,10.42,22.3,3.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489394,Group Stage - 2,2026-06-21T04:00:00+00:00,Tunisia,Japan,Estadio BBVA,Monterrey,FT,Monterrey,25.6693,-100.2446,America/Monterrey,open_air,2026-06-20T22:00:00-06:00,2026-06-20,22.94,23.3,94.0,27.38,28.0,0.0,2.7,10.8,1.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489397,Group Stage - 2,2026-06-21T16:00:00+00:00,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,FT,Atlanta,33.7554,-84.4008,America/New_York,retractable_or_fixed_roof,2026-06-21T12:00:00-04:00,2026-06-21,27.8,28.1,62.6,32.08,33.3,0.6,5.5,21.2,51.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489395,Group Stage - 2,2026-06-21T19:00:00+00:00,Belgium,Iran,SoFi Stadium,Inglewood,FT,Los Angeles,33.9535,-118.3392,America/Los_Angeles,covered_open_sides,2026-06-21T12:00:00-07:00,2026-06-21,22.52,22.8,55.4,23.62,24.3,0.0,12.2,40.0,0.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489398,Group Stage - 2,2026-06-21T22:00:00+00:00,Uruguay,Cape Verde Islands,Hard Rock Stadium,Miami Gardens,FT,Miami,25.958,-80.2389,America/New_York,open_air,2026-06-21T18:00:00-04:00,2026-06-21,27.62,31.4,81.6,32.82,35.3,3.6,4.62,18.7,51.0,very_hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489396,Group Stage - 2,2026-06-22T01:00:00+00:00,New Zealand,Egypt,BC Place,Vancouver,FT,Vancouver,49.2768,-123.1119,America/Vancouver,retractable_or_fixed_roof,2026-06-21T18:00:00-07:00,2026-06-21,20.3,22.0,49.8,19.22,20.2,0.0,5.96,26.3,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489399,Group Stage - 2,2026-06-22T17:00:00+00:00,Argentina,Austria,AT&T Stadium,Arlington,FT,Dallas,32.7473,-97.0945,America/Chicago,retractable_or_fixed_roof,2026-06-22T12:00:00-05:00,2026-06-22,33.32,35.5,55.2,38.26,39.6,0.1,13.5,38.2,0.0,very_hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1539017,Group Stage - 2,2026-06-22T21:00:00+00:00,France,Iraq,Lincoln Financial Field,Philadelphia,FT,Philadelphia,39.9008,-75.1675,America/New_York,open_air,2026-06-22T17:00:00-04:00,2026-06-22,25.16,30.6,80.6,28.1,30.3,7.0,9.74,52.2,61.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489401,Group Stage - 2,2026-06-23T00:00:00+00:00,Norway,Senegal,MetLife Stadium,East Rutherford,FT,New York New Jersey,40.8135,-74.0745,America/New_York,open_air,2026-06-22T20:00:00-04:00,2026-06-22,21.52,21.8,94.8,24.1,24.5,1.0,10.56,25.6,51.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489400,Group Stage - 2,2026-06-23T03:00:00+00:00,Jordan,Algeria,Levi's Stadium,Santa Clara,FT,San Francisco Bay Area,37.403,-121.97,America/Los_Angeles,open_air,2026-06-22T20:00:00-07:00,2026-06-22,15.56,17.4,77.6,14.76,16.3,0.0,8.74,32.4,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489404,Group Stage - 2,2026-06-23T17:00:00+00:00,Portugal,Uzbekistan,NRG Stadium,Houston,FT,Houston,29.6847,-95.4107,America/Chicago,retractable_or_fixed_roof,2026-06-23T12:00:00-05:00,2026-06-23,32.14,32.8,62.2,38.48,39.0,0.0,10.48,29.9,0.0,very_hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489402,Group Stage - 2,2026-06-23T20:00:00+00:00,England,Ghana,Gillette Stadium,Boston,FT,Boston,42.0909,-71.2643,America/New_York,open_air,2026-06-23T16:00:00-04:00,2026-06-23,19.3,19.6,95.6,21.4,21.6,2.2,7.04,20.9,53.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489403,Group Stage - 2,2026-06-23T23:00:00+00:00,Panama,Croatia,BMO Field,Toronto,FT,Toronto,43.6332,-79.4186,America/Toronto,open_air,2026-06-23T19:00:00-04:00,2026-06-23,20.86,22.1,48.4,18.76,20.3,0.2,13.84,34.6,3.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539008,Group Stage - 2,2026-06-24T02:00:00+00:00,Colombia,Congo DR,Estadio Akron,Zapopan,FT,Guadalajara,20.6818,-103.4626,America/Mexico_City,open_air,2026-06-23T20:00:00-06:00,2026-06-23,17.68,18.4,87.8,18.6,19.5,0.0,6.62,19.1,1.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489408,Group Stage - 3,2026-06-24T19:00:00+00:00,Switzerland,Canada,BC Place,Vancouver,FT,Vancouver,49.2768,-123.1119,America/Vancouver,retractable_or_fixed_roof,2026-06-24T12:00:00-07:00,2026-06-24,25.28,26.9,38.6,25.88,27.2,0.0,7.64,29.5,0.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1539009,Group Stage - 3,2026-06-24T19:00:00+00:00,Bosnia & Herzegovina,Qatar,Lumen Field,Seattle,FT,Seattle,47.5952,-122.3316,America/Los_Angeles,open_air,2026-06-24T12:00:00-07:00,2026-06-24,29.62,31.3,30.0,31.26,32.9,0.0,2.88,20.2,1.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489405,Group Stage - 3,2026-06-24T22:00:00+00:00,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,FT,Atlanta,33.7554,-84.4008,America/New_York,retractable_or_fixed_roof,2026-06-24T18:00:00-04:00,2026-06-24,26.24,28.5,57.2,27.94,29.4,0.0,4.62,15.1,2.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489406,Group Stage - 3,2026-06-24T22:00:00+00:00,Scotland,Brazil,Hard Rock Stadium,Miami Gardens,FT,Miami,25.958,-80.2389,America/New_York,open_air,2026-06-24T18:00:00-04:00,2026-06-24,26.14,27.5,90.4,31.94,34.1,1.3,3.98,14.8,3.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489407,Group Stage - 3,2026-06-25T01:00:00+00:00,South Africa,South Korea,Estadio BBVA,Monterrey,FT,Monterrey,25.6693,-100.2446,America/Monterrey,open_air,2026-06-24T19:00:00-06:00,2026-06-24,27.38,29.6,66.4,29.54,31.1,0.0,13.26,38.5,0.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539010,Group Stage - 3,2026-06-25T01:00:00+00:00,Czechia,Mexico,Estadio Banorte,Mexico City,FT,Mexico City,19.3029,-99.1505,America/Mexico_City,open_air,2026-06-24T19:00:00-06:00,2026-06-24,16.4,19.0,82.0,16.92,18.5,6.9,3.84,21.2,61.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489409,Group Stage - 3,2026-06-25T20:00:00+00:00,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia,FT,Philadelphia,39.9008,-75.1675,America/New_York,open_air,2026-06-25T16:00:00-04:00,2026-06-25,28.28,29.4,41.0,27.3,28.6,0.0,14.78,38.5,3.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489410,Group Stage - 3,2026-06-25T20:00:00+00:00,Ecuador,Germany,MetLife Stadium,East Rutherford,FT,New York New Jersey,40.8135,-74.0745,America/New_York,open_air,2026-06-25T16:00:00-04:00,2026-06-25,26.34,27.9,44.0,24.94,26.5,0.0,16.14,43.9,1.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489412,Group Stage - 3,2026-06-25T23:00:00+00:00,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,FT,Kansas City,39.0489,-94.4839,America/Chicago,open_air,2026-06-25T18:00:00-05:00,2026-06-25,21.12,22.2,95.6,23.48,24.9,10.6,11.54,33.5,61.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539011,Group Stage - 3,2026-06-25T23:00:00+00:00,Japan,Sweden,AT&T Stadium,Arlington,FT,Dallas,32.7473,-97.0945,America/Chicago,retractable_or_fixed_roof,2026-06-25T18:00:00-05:00,2026-06-25,31.74,33.2,51.8,33.2,34.3,0.0,18.12,42.8,3.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489411,Group Stage - 3,2026-06-26T02:00:00+00:00,Paraguay,Australia,Levi's Stadium,Santa Clara,FT,San Francisco Bay Area,37.403,-121.97,America/Los_Angeles,open_air,2026-06-25T19:00:00-07:00,2026-06-25,17.76,20.1,60.0,16.46,18.2,0.0,8.7,40.3,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539012,Group Stage - 3,2026-06-26T02:00:00+00:00,Türkiye,USA,SoFi Stadium,Inglewood,FT,Los Angeles,33.9535,-118.3392,America/Los_Angeles,covered_open_sides,2026-06-25T19:00:00-07:00,2026-06-25,18.3,19.8,76.0,18.52,19.4,0.0,7.2,33.1,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489416,Group Stage - 3,2026-06-26T19:00:00+00:00,Norway,France,Gillette Stadium,Boston,FT,Boston,42.0909,-71.2643,America/New_York,open_air,2026-06-26T15:00:00-04:00,2026-06-26,22.9,23.9,82.2,24.84,25.6,1.8,11.92,31.3,51.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539074,Group Stage - 3,2026-06-26T19:00:00+00:00,Senegal,Iraq,BMO Field,Toronto,FT,Toronto,43.6332,-79.4186,America/Toronto,open_air,2026-06-26T15:00:00-04:00,2026-06-26,19.82,20.1,82.4,20.78,22.0,0.8,10.92,29.5,51.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489413,Group Stage - 3,2026-06-27T00:00:00+00:00,Cape Verde Islands,Saudi Arabia,NRG Stadium,Houston,FT,Houston,29.6847,-95.4107,America/Chicago,retractable_or_fixed_roof,2026-06-26T19:00:00-05:00,2026-06-26,28.5,30.9,71.4,32.02,33.8,0.0,12.26,37.8,0.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489417,Group Stage - 3,2026-06-27T00:00:00+00:00,Uruguay,Spain,Estadio Akron,Zapopan,FT,Guadalajara,20.6818,-103.4626,America/Mexico_City,open_air,2026-06-26T18:00:00-06:00,2026-06-26,19.74,23.4,77.8,21.0,24.4,3.5,4.4,29.9,0.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489414,Group Stage - 3,2026-06-27T03:00:00+00:00,Egypt,Iran,Lumen Field,Seattle,FT,Seattle,47.5952,-122.3316,America/Los_Angeles,open_air,2026-06-26T20:00:00-07:00,2026-06-26,15.46,17.1,77.6,13.9,14.4,0.0,13.68,44.6,2.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489415,Group Stage - 3,2026-06-27T03:00:00+00:00,New Zealand,Belgium,BC Place,Vancouver,FT,Vancouver,49.2768,-123.1119,America/Vancouver,retractable_or_fixed_roof,2026-06-26T20:00:00-07:00,2026-06-26,14.12,15.9,89.4,14.16,16.0,0.7,4.78,23.0,51.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
