fixture_id,competition,season,match_date,unresolved_player_count,positions,player_ids
1446917,Pro League,2025.0,,3,AM | RB | RW,41608 | 73520 | 341844
1446918,Pro League,2025.0,,2,CM | RW,2699 | 89982
1446919,Pro League,2025.0,,1,RW,70535
1446922,Pro League,2025.0,,3,RB | RW,2514 | 16805 | 36579
1446923,Pro League,2025.0,,1,AM,341844
1446924,Pro League,2025.0,,3,RB | RW,2514 | 16805 | 36579
1446925,Pro League,2025.0,,1,AM,19614
1446928,Pro League,2025.0,,2,CM | RW,2699 | 89982
1446929,Pro League,2025.0,,3,RB | RW,41608 | 70535 | 73520
1451486,First League,2025.0,,1,AM,37435
1451495,First League,2025.0,,1,AM,37435
1451617,First League,2025.0,,1,AM,37435
1485346,Pro League,2025.0,,2,RB | RW,41608 | 73520
1485352,Pro League,2025.0,,2,CM | RW,2699 | 89982
1485353,Pro League,2025.0,,2,RB | RW,41608 | 73520
1485354,Pro League,2025.0,,1,AM,19614
1489326,Türkiye Kupası,2025.0,,1,GK,49837
1489334,Türkiye Kupası,2025.0,,1,GK,49837
1491601,Stars League,2025.0,,1,GK,42207
1491607,Stars League,2025.0,,1,RB,377930
1491631,Stars League,2025.0,,2,GK | RB,42207 | 377930
1491633,Stars League,2025.0,,1,RB,16813
1491649,Stars League,2025.0,,2,RB,16813 | 42288
1505602,Pro League,2025.0,,1,AM,19614
1505608,Pro League,2025.0,,1,AM,341844
1505609,Pro League,2025.0,,1,AM,19614
1505611,Pro League,2025.0,,1,RW,89982
1505612,Pro League,2025.0,,2,RB | RW,41608 | 73520
1505614,Pro League,2025.0,,1,RW,36579
1521238,Pro League,2025.0,,2,RB | RW,41608 | 73520
1528518,Super Liga,2025.0,,1,RB,2975
1528526,Super Liga,2025.0,,1,RB,2975
1528532,Super Liga,2025.0,,1,RB,2975
1537392,1. Division,2025.0,,1,AM,113580
1537393,1. Division,2025.0,,2,AM | RB,1324 | 25341
1537399,1. Division,2025.0,,1,AM,113580
1537400,1. Division,2025.0,,2,AM | RB,1324 | 25341
1537625,Pro League,2025.0,,2,CM | RW,2699 | 89982
1537626,Pro League,2025.0,,2,RB | RW,41608 | 73520
1540727,Ligat Ha'al,2025.0,,1,RB,8450
1540975,First League,2025.0,,1,AM,37435
1540978,First League,2025.0,,1,AM,37435
1540980,First League,2025.0,,1,AM,37435
1540984,First League,2025.0,,1,AM,37435
1542139,Pro League,2025.0,,1,AM,341844
1542140,Pro League,2025.0,,2,RB | RW,16805 | 36579
1542141,Pro League,2025.0,,1,AM,19614
1542383,1. Division,2025.0,,1,AM,113580
1543176,Pro League,2025.0,,2,RB | RW,16805 | 36579
1543177,Pro League,2025.0,,2,RB | RW,41608 | 73520
1543178,Pro League,2025.0,,1,AM,19614
1543180,Pro League,2025.0,,2,CM | RW,2699 | 89982
1543778,1. Division,2025.0,,2,AM | RB,1324 | 25341
1543779,1. Division,2025.0,,2,AM | RB,1324 | 25341
1544965,Pro League,2025.0,,1,CM,2699
1544966,Pro League,2025.0,,3,RB | RW,2514 | 16805 | 36579
1544967,Pro League,2025.0,,1,AM,341844
1544969,Pro League,2025.0,,3,AM | RB | RW,19614 | 41608 | 73520
1546530,First League,2025.0,,1,AM,37435
