player_id,player_name,team,primary_position,player_fixture_pairs,detailed_fixture_pairs,detailed_minutes,known_startXI_pairs,missing_startXI_detail_pairs,fixture_endpoint_coverage_annual_current,fixture_endpoint_coverage_pre_world_cup,coverage_pass_80pct_annual_current,coverage_pass_80pct_pre_world_cup,known_minute_coverage_lower_bound_annual_current,known_minute_coverage_lower_bound_pre_world_cup,known_missing_startXI_fixtures_annual_current,known_missing_startXI_fixtures_pre_world_cup,exact_detailed_minutes_annual_current,exact_detailed_minutes_pre_world_cup
127,,,,1,0,0.0,0,0,,,,,,,,,,
128,,,,2,2,189.0,2,0,,,,,,,,,,
129,,,,1,0,0.0,0,0,,,,,,,,,,
130,N. Semedo,Portugal,RB,45,44,3145.0,37,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3145.0,3021.0
133,,,,2,2,111.0,1,0,,,,,,,,,,
134,,,,1,1,90.0,1,0,,,,,,,,,,
135,,,,1,1,88.0,1,0,,,,,,,,,,
144,,,,3,3,279.0,3,0,,,,,,,,,,
146,,,,1,1,90.0,1,0,,,,,,,,,,
147,,,,1,1,79.0,1,0,,,,,,,,,,
153,O. Dembele,France,ST,53,51,2961.0,34,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2764.0,2409.0
154,L. Messi,Argentina,RW,52,52,4542.0,50,0,1.0,0.9629629629629628,True,True,1.0,1.0,0.0,0.0,3834.0,3922.0
155,,,,1,0,0.0,1,1,,,,,,,,,,
156,,,,1,1,88.0,1,0,,,,,,,,,,
157,,,,3,2,180.0,2,0,,,,,,,,,,
158,,,,2,1,43.0,1,0,,,,,,,,,,
164,,,,1,0,0.0,0,0,,,,,,,,,,
166,,,,1,1,18.0,0,0,,,,,,,,,,
168,D. Sanchez,Colombia,RB,54,51,4324.0,50,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4228.0,3844.0
171,,,,1,1,90.0,1,0,,,,,,,,,,
174,,,,1,1,120.0,1,0,,,,,,,,,,
183,,,,1,1,90.0,1,0,,,,,,,,,,
184,H. Kane,England,RW,65,63,5077.0,55,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4702.0,4423.0
186,Son Heung-Min,South Korea,RW,37,37,2965.0,34,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2965.0,2794.0
190,,,,1,1,81.0,1,0,,,,,,,,,,
194,,,,1,0,0.0,0,0,,,,,,,,,,
198,,,,1,1,90.0,1,0,,,,,,,,,,
207,I. Perisic,Croatia,LCB,47,46,3330.0,40,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3330.0,2970.0
212,,,,1,1,61.0,1,0,,,,,,,,,,
214,,,,1,1,90.0,1,0,,,,,,,,,,
216,,,,2,2,180.0,2,0,,,,,,,,,,
217,L. Martinez,Argentina,ST,60,54,3512.0,44,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3169.0,3201.0
219,,,,2,2,168.0,2,0,,,,,,,,,,
221,E. Room,Curaçao,GK,12,12,1096.0,12,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,821.0,826.0
224,,,,1,0,0.0,0,0,,,,,,,,,,
225,A. Behich,Australia,RB,38,37,3289.0,36,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3289.0,3066.0
226,D. Dumfries,Netherlands,CM,36,34,2315.0,26,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2172.0,1925.0
227,,,,1,0,0.0,0,0,,,,,,,,,,
228,A. Obispo,Curaçao,LCB,52,33,2031.0,22,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2031.0,1761.0
232,,,,2,1,59.0,1,1,,,,,,,,,,
237,,,,1,1,10.0,0,0,,,,,,,,,,
239,,,,1,0,0.0,0,0,,,,,,,,,,
240,,,,1,1,90.0,1,0,,,,,,,,,,
241,M. Sadilek,Czech Republic,DM,42,39,2792.0,32,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2792.0,2609.0
242,R. Thomas,New Zealand,AM,33,31,2249.0,28,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2249.0,2168.0
247,C. Gakpo,Netherlands,LW,56,56,3972.0,45,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3972.0,3601.0
249,D. Malen,Netherlands,RW,53,52,3016.0,34,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3016.0,2829.0
250,,,,1,1,12.0,0,0,,,,,,,,,,
252,,,,1,1,90.0,1,0,,,,,,,,,,
253,,,,1,0,0.0,0,0,,,,,,,,,,
257,Marquinhos,Brazil,RCB,64,46,3842.0,42,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3252.0,3392.0
262,,,,1,0,0.0,0,0,,,,,,,,,,
264,T. Meunier,Belgium,RB,41,38,2744.0,30,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2744.0,2554.0
265,,,,1,1,90.0,1,0,,,,,,,,,,
269,,,,2,2,102.0,1,0,,,,,,,,,,
271,L. Paredes,Argentina,AM,48,47,3783.0,40,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3687.0,3385.0
272,A. Rabiot,France,CM,40,39,3405.0,38,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3405.0,2910.0
273,,,,1,1,90.0,1,0,,,,,,,,,,
276,Neymar,Brazil,RW,34,33,2656.0,29,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2566.0,2619.0
278,K. Mbappe,France,RW,56,54,4363.0,48,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4228.0,3755.0
280,Alisson,Brazil,GK,44,43,3841.0,43,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3746.0,3391.0
284,,,,1,1,18.0,0,0,,,,,,,,,,
289,A. Robertson,Scotland,LB,60,39,2248.0,23,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2248.0,2023.0
290,V. van Dijk,Netherlands,RCB,59,59,5331.0,59,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,5331.0,4941.0
292,J. Henderson,England,DM,42,35,2106.0,24,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2106.0,2094.0
293,,,,2,2,89.0,1,0,,,,,,,,,,
294,,,,1,1,28.0,0,0,,,,,,,,,,
299,Fabinho,Brazil,CM,45,43,3600.0,40,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3600.0,3522.0
300,,,,1,1,98.0,1,0,,,,,,,,,,
302,,,,1,1,90.0,1,0,,,,,,,,,,
304,S. Mane,Senegal,CM,42,41,3389.0,39,1,1.0,1.0,True,True,0.9741304972693304,0.9711168164313222,1.0,1.0,3389.0,3026.0
306,M. Salah,Egypt,RW,56,52,4145.0,45,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4145.0,3717.0
313,D. Ospina,Colombia,GK,17,9,819.0,9,0,0.3050847457627119,0.2372881355932203,False,False,1.0,1.0,0.0,0.0,819.0,819.0
317,,,,1,0,0.0,0,0,,,,,,,,,,
318,K. Koulibaly,Senegal,RCB,37,34,2956.0,34,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2476.0,2794.0
326,,,,2,2,78.0,1,0,,,,,,,,,,
327,,,,1,1,10.0,0,0,,,,,,,,,,
328,F. Ruiz,Spain,CM,48,48,2859.0,33,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2398.0,2590.0
329,,,,1,1,90.0,1,0,,,,,,,,,,
353,,,,1,1,78.0,1,0,,,,,,,,,,
357,,,,1,1,45.0,0,0,,,,,,,,,,
360,,,,1,1,84.0,1,0,,,,,,,,,,
362,,,,1,0,0.0,0,0,,,,,,,,,,
369,D. Costa,Portugal,GK,55,53,4730.0,54,1,1.0,1.0,True,True,0.9813278008298756,0.9794050343249427,1.0,1.0,4730.0,4280.0
375,C. Mbemba,Congo DR,RCB,51,30,2531.0,25,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2531.0,2171.0
378,,,,2,2,70.0,0,0,,,,,,,,,,
399,A. Nubel,Germany,GK,56,49,4476.0,49,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4476.0,4476.0
409,N. Bentaleb,Algeria,CM,44,41,2303.0,25,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2303.0,2015.0
412,,,,1,0,0.0,0,0,,,,,,,,,,
415,W. McKennie,USA,CM,58,57,4592.0,52,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4364.0,4148.0
417,A. Schopf,Austria,AM,15,11,797.0,9,0,0.6071428571428571,0.6206896551724138,False,False,1.0,1.0,0.0,0.0,797.0,797.0
419,,,,1,1,90.0,1,0,,,,,,,,,,
421,B. Embolo,Switzerland,RW,40,40,2548.0,27,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2548.0,2042.0
422,,,,3,2,22.0,0,0,,,,,,,,,,
425,,,,1,1,1.0,0,0,,,,,,,,,,
427,H. Wright,USA,RW,51,46,2774.0,33,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2757.0,2772.0
429,F. Muslera,Uruguay,GK,46,44,3966.0,44,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3876.0,3741.0
440,Y. Nagatomo,Japan,RB,32,25,1801.0,21,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1685.0,1786.0
451,,,,1,1,45.0,0,0,,,,,,,,,,
454,Y. Akgun,Türkiye,AM,46,42,2553.0,31,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2553.0,2465.0
458,,,,1,1,90.0,1,0,,,,,,,,,,
463,,,,1,0,0.0,0,0,,,,,,,,,,
483,,,,5,5,363.0,5,0,,,,,,,,,,
484,,,,1,1,90.0,1,0,,,,,,,,,,
485,,,,1,1,64.0,1,0,,,,,,,,,,
495,,,,1,0,0.0,0,0,,,,,,,,,,
497,M. Neuer,Germany,GK,54,46,4050.0,46,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3600.0,3660.0
498,,,,3,0,0.0,0,0,,,,,,,,,,
502,J. Kimmich,Germany,RB,59,58,4828.0,52,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4423.0,4475.0
505,D. Alaba,Austria,LCB,45,20,867.0,10,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,867.0,589.0
508,,,,1,0,0.0,0,0,,,,,,,,,,
509,A. Davies,Canada,LB,28,24,874.0,8,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,874.0,852.0
510,,,,2,2,149.0,2,0,,,,,,,,,,
511,L. Goretzka,Germany,DM,64,54,2584.0,29,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2459.0,2479.0
512,,,,1,1,13.0,0,0,,,,,,,,,,
517,J. Rodriguez,Colombia,RW,33,31,1956.0,23,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1855.0,1639.0
521,,,,2,1,66.0,1,0,,,,,,,,,,
522,,,,1,1,99.0,1,0,,,,,,,,,,
524,D. Kotarski,Croatia,GK,51,45,4080.0,45,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4080.0,4080.0
526,,,,2,1,90.0,2,1,,,,,,,,,,
529,N. Tagliafico,Argentina,LCB,46,38,2565.0,29,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2565.0,2208.0
531,,,,1,1,58.0,1,0,,,,,,,,,,
534,,,,1,1,90.0,1,0,,,,,,,,,,
538,F. de Jong,Netherlands,CM,43,42,2906.0,30,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2906.0,2575.0
539,,,,2,1,120.0,1,0,,,,,,,,,,
542,R. Gravenberch,Netherlands,CM,55,54,4478.0,51,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4478.0,4131.0
544,N. Lang,Netherlands,LW,55,47,2027.0,20,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2027.0,2014.0
545,N. Mazraoui,Morocco,RB,39,33,2136.0,23,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2136.0,1650.0
550,,,,1,1,78.0,1,0,,,,,,,,,,
552,,,,2,2,166.0,2,0,,,,,,,,,,
553,,,,1,1,27.0,0,0,,,,,,,,,,
556,,,,1,1,90.0,1,0,,,,,,,,,,
563,A. Grimaldo,Spain,LB,54,46,4038.0,45,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4038.0,4038.0
567,R. Dias,Portugal,RCB,53,40,3241.0,36,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3015.0,2881.0
576,,,,1,1,90.0,1,0,,,,,,,,,,
583,Joao Felix,Portugal,RW,45,42,3478.0,41,1,1.0,1.0,True,True,0.9747757847533632,0.9732461355529132,1.0,1.0,3478.0,3274.0
584,,,,2,1,120.0,2,1,,,,,,,,,,
586,,,,1,1,90.0,1,0,,,,,,,,,,
596,,,,1,1,29.0,1,0,,,,,,,,,,
616,,,,1,0,0.0,0,0,,,,,,,,,,
617,Ederson,Brazil,GK,47,39,3546.0,39,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3246.0,3546.0
618,,,,4,2,188.0,2,0,,,,,,,,,,
619,E. Garcia,Spain,RB,62,51,3953.0,47,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3953.0,3953.0
622,A. Laporte,Spain,RB,41,37,3063.0,35,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3063.0,2434.0
624,N. Otamendi,Argentina,LCB,61,58,4729.0,53,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4243.0,4562.0
625,,,,2,2,178.0,2,0,,,,,,,,,,
626,J. Stones,England,RCB,48,23,1497.0,16,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1497.0,1154.0
629,K. De Bruyne,Belgium,AM,27,26,1747.0,21,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1747.0,1360.0
631,,,,2,1,1.0,0,0,,,,,,,,,,
633,,,,2,2,79.0,1,0,,,,,,,,,,
635,R. Mahrez,Algeria,CM,47,46,3761.0,45,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3761.0,3498.0
636,B. Silva,Portugal,CM,65,60,4236.0,49,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3967.0,4133.0
637,F. Nmecha,Germany,CM,51,51,3671.0,43,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3403.0,3399.0
643,,,,2,1,8.0,0,0,,,,,,,,,,
644,L. Sane,Germany,AM,52,48,3725.0,42,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3580.0,3397.0
646,,,,1,0,0.0,0,0,,,,,,,,,,
648,,,,1,1,90.0,1,0,,,,,,,,,,
652,,,,2,0,0.0,0,0,,,,,,,,,,
658,H. Aouar,Algeria,RW,35,34,2736.0,32,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2736.0,2563.0
667,M. Depay,Netherlands,RW,39,38,2256.0,25,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2166.0,2205.0
686,,,,1,0,0.0,0,0,,,,,,,,,,
687,,,,2,2,169.0,2,0,,,,,,,,,,
691,,,,1,1,86.0,1,0,,,,,,,,,,
696,,,,1,1,95.0,1,0,,,,,,,,,,
702,O. Baumann,Germany,GK,40,36,3270.0,36,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3270.0,3270.0
706,J. Brenet,Curaçao,RB,38,31,2152.0,24,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1967.0,1973.0
711,S. Posch,Austria,RB,46,39,2539.0,28,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2539.0,2206.0
714,N. Amiri,Germany,AM,40,37,2878.0,32,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2878.0,2838.0
715,,,,1,1,21.0,0,0,,,,,,,,,,
719,F. Grillitsch,Austria,CM,39,32,1894.0,20,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1894.0,1804.0
726,A. Kramaric,Croatia,RW,40,39,2491.0,28,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2491.0,2421.0
730,T. Courtois,Belgium,GK,57,57,5096.0,57,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4556.0,4545.0
731,,,,1,1,90.0,1,0,,,,,,,,,,
732,L. Zidane,Algeria,GK,42,34,3089.0,34,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3089.0,2819.0
733,,,,1,0,0.0,0,0,,,,,,,,,,
736,,,,1,0,0.0,0,0,,,,,,,,,,
744,B. Diaz,Morocco,CM,67,59,2867.0,30,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2764.0,2405.0
746,,,,1,1,90.0,1,0,,,,,,,,,,
747,Casemiro,Brazil,CM,43,42,3144.0,40,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3049.0,2765.0
748,,,,1,1,8.0,0,0,,,,,,,,,,
750,A. Fidalgo,Mexico,CM,48,38,2438.0,29,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2338.0,2330.0
753,M. Llorente,Spain,RB,57,52,4068.0,46,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4068.0,3875.0
754,L. Modric,Croatia,CM,50,47,3322.0,36,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3193.0,3003.0
756,F. Valverde,Uruguay,CM,55,54,4580.0,52,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4580.0,4343.0
762,Vinicius Junior,Brazil,ST,66,65,5230.0,60,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4696.0,4789.0
763,,,,1,0,0.0,0,0,,,,,,,,,,
774,,,,2,2,174.0,2,0,,,,,,,,,,
778,,,,1,1,90.0,1,0,,,,,,,,,,
786,,,,1,1,17.0,0,0,,,,,,,,,,
790,E. Dzeko,Bosnia & Herzegovina,RW,40,32,1516.0,17,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1516.0,1337.0
791,,,,1,1,18.0,0,0,,,,,,,,,,
792,J. Kluivert,Netherlands,RW,26,23,1043.0,11,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1043.0,1017.0
794,P. Schick,Czech Republic,RW,46,45,3043.0,35,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3043.0,2863.0
799,,,,1,0,0.0,0,0,,,,,,,,,,
818,T. Chory,Czech Republic,RW,34,32,2319.0,27,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2319.0,2283.0
833,,,,1,1,70.0,1,0,,,,,,,,,,
834,,,,1,1,54.0,1,0,,,,,,,,,,
838,,,,1,1,36.0,0,0,,,,,,,,,,
840,,,,1,0,0.0,0,0,,,,,,,,,,
841,,,,1,1,90.0,1,0,,,,,,,,,,
842,N. Vlasic,Croatia,RW,45,44,3544.0,41,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3544.0,3355.0
846,,,,1,1,89.0,1,0,,,,,,,,,,
851,,,,2,0,0.0,0,0,,,,,,,,,,
854,,,,1,0,0.0,0,0,,,,,,,,,,
855,J. Cancelo,Portugal,LB,43,39,2637.0,33,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2230.0,2323.0
860,,,,4,4,373.0,4,0,,,,,,,,,,
862,,,,2,2,149.0,2,0,,,,,,,,,,
863,R. Bentancur,Uruguay,AM,41,39,3006.0,36,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3006.0,2736.0
874,C. Ronaldo,Portugal,RW,38,37,3180.0,38,1,1.0,1.0,True,True,0.9724770642201837,0.968186638388123,1.0,1.0,3180.0,2739.0
875,,,,1,1,90.0,1,0,,,,,,,,,,
886,D. Dalot,Portugal,RB,42,38,2861.0,31,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2861.0,2797.0
887,,,,1,0,0.0,0,0,,,,,,,,,,
889,V. Lindelof,Sweden,RB,55,32,2186.0,25,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2186.0,1829.0
890,,,,1,0,0.0,0,0,,,,,,,,,,
892,,,,1,1,90.0,1,0,,,,,,,,,,
894,,,,1,1,22.0,0,0,,,,,,,,,,
896,,,,1,1,86.0,1,0,,,,,,,,,,
897,,,,2,2,182.0,2,0,,,,,,,,,,
898,,,,1,1,45.0,1,0,,,,,,,,,,
899,,,,3,3,203.0,3,0,,,,,,,,,,
900,,,,1,1,90.0,1,0,,,,,,,,,,
903,S. McTominay,Scotland,RW,47,47,3971.0,44,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3971.0,3701.0
906,T. Chong,Curaçao,AM,34,27,1126.0,12,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1126.0,877.0
907,,,,2,0,0.0,0,0,,,,,,,,,,
909,M. Rashford,England,LW,61,54,2820.0,28,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2820.0,2636.0
912,,,,1,1,98.0,1,0,,,,,,,,,,
914,,,,1,0,0.0,0,0,,,,,,,,,,
925,G. Guedes,Portugal,RW,43,38,2321.0,27,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2321.0,2321.0
926,,,,2,2,142.0,2,0,,,,,,,,,,
927,Lee Kang-In,South Korea,RW,56,46,2179.0,22,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2119.0,1909.0
928,,,,1,1,66.0,1,0,,,,,,,,,,
930,,,,1,1,120.0,1,0,,,,,,,,,,
931,F. Torres,Spain,RW,60,56,2933.0,32,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2933.0,2708.0
932,,,,1,1,72.0,1,0,,,,,,,,,,
943,,,,1,1,12.0,0,0,,,,,,,,,,
944,,,,1,1,90.0,1,0,,,,,,,,,,
951,M. Aebischer,Switzerland,AM,42,40,3145.0,36,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3145.0,2983.0
952,C. Fassnacht,Switzerland,AM,47,41,2767.0,31,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2767.0,2755.0
955,,,,1,1,61.0,1,0,,,,,,,,,,
957,D. Sow,Switzerland,AM,44,39,2543.0,30,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2543.0,2289.0
971,,,,1,1,90.0,1,0,,,,,,,,,,
972,J. Tah,Germany,LCB,63,58,4539.0,51,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4147.0,4166.0
974,,,,1,1,90.0,1,0,,,,,,,,,,
978,K. Havertz,Germany,RW,32,28,1421.0,16,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1421.0,1066.0
982,,,,1,1,37.0,0,0,,,,,,,,,,
983,,,,2,1,120.0,1,0,,,,,,,,,,
988,,,,1,0,0.0,0,0,,,,,,,,,,
990,,,,1,1,90.0,1,0,,,,,,,,,,
999,,,,1,1,90.0,1,0,,,,,,,,,,
1005,,,,1,1,64.0,1,0,,,,,,,,,,
1006,,,,1,1,8.0,0,0,,,,,,,,,,
1062,,,,1,0,0.0,1,1,,,,,,,,,,
1063,,,,1,0,0.0,0,0,,,,,,,,,,
1069,,,,1,1,90.0,1,0,,,,,,,,,,
1084,M. Pongracic,Croatia,RB,54,51,4083.0,45,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4083.0,3813.0
1085,,,,1,1,99.0,1,0,,,,,,,,,,
1090,,,,1,0,0.0,0,0,,,,,,,,,,
1095,X. Schlager,Austria,CM,35,34,2306.0,27,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2306.0,2067.0
1096,,,,2,2,180.0,2,0,,,,,,,,,,
1097,,,,1,0,0.0,0,0,,,,,,,,,,
1100,E. Haaland,Norway,RW,64,61,4863.0,55,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4608.0,4398.0
1103,,,,1,1,90.0,1,0,,,,,,,,,,
1110,,,,1,1,59.0,1,0,,,,,,,,,,
1111,J. Hendry,Scotland,RB,33,33,2841.0,32,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2841.0,2571.0
1114,,,,2,2,171.0,0,0,,,,,,,,,,
1115,A. Ralston,Scotland,RB,46,33,1654.0,16,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1654.0,1638.0
