player_name,world_cup_team,squad_position,reported_minutes,benchmark_precheck,reconstructed_exact_minutes,reconstructed_fixture_pairs,provider_detailed_minutes,player_id,window,expected_official_fixtures,processed_fixture_endpoints,fixture_endpoint_coverage,missing_fixture_endpoints,detailed_appearance_fixtures,detailed_minutes,aggregate_reported_minutes,minute_reconciliation_ratio_raw,minute_reconciliation_ratio_clipped,coverage_pass_80pct,denominator_note,original_coverage_pass_80pct,exact_detailed_appearance_fixtures,exact_detailed_minutes,known_startXI_fixtures,startXI_with_detailed_row,known_missing_startXI_fixtures,known_missing_minutes_upper_bound,missing_startXI_with_exit_event,missing_minutes_inferred_from_events,known_minute_coverage_lower_bound,coverage_definition_version,pass_changed_false_to_true,pass_changed_true_to_false
J. Giménez,Uruguay,Defender,2569.0,True,0.0,0,1537.0,31,annual_current,66,66,1.0,0,25,1537.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,25,1537.0,16,16,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
J. Giménez,Uruguay,Defender,2569.0,True,0.0,0,1537.0,31,pre_world_cup,63,63,1.0,0,25,1537.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,25,1537.0,16,16,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
L. Hernández,France,Defender,2291.0,True,0.0,0,2084.0,33,annual_current,63,63,1.0,0,36,2084.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,36,2084.0,21,21,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
L. Hernández,France,Defender,2291.0,True,0.0,0,2084.0,33,pre_world_cup,63,63,1.0,0,40,2182.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,40,2182.0,22,22,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Rodri,Spain,Midfielder,3076.0,True,0.0,0,2811.0,44,annual_current,67,67,1.0,0,40,2811.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,40,2811.0,33,33,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Rodri,Spain,Midfielder,3076.0,True,0.0,0,2811.0,44,pre_world_cup,64,64,1.0,0,37,2356.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,37,2356.0,27,27,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
T. Partey,Ghana,Midfielder,2722.0,True,0.0,0,1602.0,49,annual_current,53,53,1.0,0,35,1602.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,35,1602.0,16,16,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
T. Partey,Ghana,Midfielder,2722.0,True,0.0,0,1602.0,49,pre_world_cup,49,49,1.0,0,32,1332.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,32,1332.0,13,13,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
B. Mechele,Belgium,Defender,5448.0,True,0.0,0,5270.0,69,annual_current,60,60,1.0,0,59,5270.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,59,5270.0,59,59,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
B. Mechele,Belgium,Defender,5448.0,True,0.0,0,5270.0,69,pre_world_cup,54,54,1.0,0,53,4700.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,53,4700.0,53,53,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
S. Amrabat,Morocco,Midfielder,2721.0,True,0.0,0,2369.0,74,annual_current,101,101,1.0,0,35,2369.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,35,2369.0,27,27,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
S. Amrabat,Morocco,Midfielder,2721.0,True,0.0,0,2369.0,74,pre_world_cup,95,95,1.0,0,32,2224.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,32,2224.0,26,26,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
H. Vanaken,Belgium,Midfielder,5007.0,True,0.0,0,4957.0,78,annual_current,60,60,1.0,0,59,4957.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,59,4957.0,55,55,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
H. Vanaken,Belgium,Midfielder,5007.0,True,0.0,0,4957.0,78,pre_world_cup,54,54,1.0,0,53,4633.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,53,4633.0,52,52,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
K. Diatta,Senegal,Defender,2517.0,True,0.0,0,2180.0,81,annual_current,58,58,1.0,0,32,2180.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,32,2180.0,22,22,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
K. Diatta,Senegal,Defender,2517.0,True,0.0,0,2180.0,81,pre_world_cup,54,54,1.0,0,28,1790.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,28,1790.0,18,18,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Nélson Semedo,Portugal,Defender,3235.0,True,0.0,0,3145.0,130,annual_current,58,58,1.0,0,44,3145.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,44,3145.0,37,37,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Nélson Semedo,Portugal,Defender,3235.0,True,0.0,0,3145.0,130,pre_world_cup,53,53,1.0,0,40,3021.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,40,3021.0,37,37,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
O. Dembélé,France,Midfielder,3192.0,True,0.0,0,2764.0,153,annual_current,63,63,1.0,0,47,2764.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,47,2764.0,32,32,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
O. Dembélé,France,Midfielder,3192.0,True,0.0,0,2764.0,153,pre_world_cup,63,63,1.0,0,44,2409.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,44,2409.0,27,27,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
L. Messi,Argentina,Attacker,7195.0,True,0.0,0,3834.0,154,annual_current,52,52,1.0,0,44,3834.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,44,3834.0,42,42,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
L. Messi,Argentina,Attacker,7195.0,True,0.0,0,3834.0,154,pre_world_cup,54,52,0.9629629629629628,2,45,3922.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,45,3922.0,44,44,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
D. Sánchez,Colombia,Defender,5466.0,True,0.0,0,4228.0,168,annual_current,60,60,1.0,0,50,4228.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,50,4228.0,49,49,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
D. Sánchez,Colombia,Defender,5466.0,True,0.0,0,4228.0,168,pre_world_cup,56,56,1.0,0,46,3844.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,46,3844.0,45,45,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
H. Kane,England,Attacker,5228.0,True,0.0,0,4702.0,184,annual_current,62,62,1.0,0,58,4702.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,58,4702.0,51,51,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
H. Kane,England,Attacker,5228.0,True,0.0,0,4702.0,184,pre_world_cup,60,60,1.0,0,56,4423.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,56,4423.0,48,48,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Son Heung-Min,South Korea,Attacker,4495.0,True,0.0,0,2965.0,186,annual_current,43,43,1.0,0,37,2965.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,37,2965.0,34,34,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Son Heung-Min,South Korea,Attacker,4495.0,True,0.0,0,2965.0,186,pre_world_cup,44,44,1.0,0,34,2794.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,34,2794.0,32,32,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
I. Perisic,Croatia,Defender,3578.0,True,0.0,0,3330.0,207,annual_current,50,50,1.0,0,46,3330.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,46,3330.0,40,40,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
I. Perisic,Croatia,Defender,3578.0,True,0.0,0,3330.0,207,pre_world_cup,46,46,1.0,0,42,2970.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,42,2970.0,36,36,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Lautaro Martínez,Argentina,Attacker,4844.0,True,0.0,0,3169.0,217,annual_current,63,63,1.0,0,50,3169.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,50,3169.0,40,40,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Lautaro Martínez,Argentina,Attacker,4844.0,True,0.0,0,3169.0,217,pre_world_cup,61,61,1.0,0,47,3201.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,47,3201.0,40,40,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
E. Room,Curaçao,Goalkeeper,1294.0,False,0.0,0,821.0,221,annual_current,45,45,1.0,0,9,821.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,9,821.0,9,9,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
E. Room,Curaçao,Goalkeeper,1294.0,False,0.0,0,821.0,221,pre_world_cup,45,45,1.0,0,9,826.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,9,826.0,9,9,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Behich,Australia,Midfielder,4313.0,True,0.0,0,3289.0,225,annual_current,41,41,1.0,0,37,3289.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,37,3289.0,36,36,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Behich,Australia,Midfielder,4313.0,True,0.0,0,3289.0,225,pre_world_cup,37,37,1.0,0,34,3066.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,34,3066.0,34,34,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
D. Dumfries,Netherlands,Midfielder,2653.0,True,0.0,0,2172.0,226,annual_current,57,57,1.0,0,32,2172.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,32,2172.0,24,24,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
D. Dumfries,Netherlands,Midfielder,2653.0,True,0.0,0,2172.0,226,pre_world_cup,57,57,1.0,0,30,1925.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,30,1925.0,22,22,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Obispo,Curaçao,Defender,2132.0,True,0.0,0,2031.0,228,annual_current,55,55,1.0,0,33,2031.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,33,2031.0,22,22,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Obispo,Curaçao,Defender,2132.0,True,0.0,0,2031.0,228,pre_world_cup,52,52,1.0,0,30,1761.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,30,1761.0,19,19,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
M. Sadílek,Czech Republic,Midfielder,2929.0,True,0.0,0,2792.0,241,annual_current,45,45,1.0,0,39,2792.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,39,2792.0,32,32,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
M. Sadílek,Czech Republic,Midfielder,2929.0,True,0.0,0,2792.0,241,pre_world_cup,42,42,1.0,0,36,2609.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,36,2609.0,30,30,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
R. Thomas,New Zealand,Midfielder,2532.0,True,0.0,0,2249.0,242,annual_current,39,39,1.0,0,31,2249.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,31,2249.0,28,28,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
R. Thomas,New Zealand,Midfielder,2532.0,True,0.0,0,2249.0,242,pre_world_cup,36,36,1.0,0,28,2168.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,28,2168.0,27,27,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
C. Gakpo,Netherlands,Attacker,4345.0,True,0.0,0,3972.0,247,annual_current,59,59,1.0,0,56,3972.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,56,3972.0,45,45,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
C. Gakpo,Netherlands,Attacker,4345.0,True,0.0,0,3972.0,247,pre_world_cup,55,55,1.0,0,52,3601.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,52,3601.0,41,41,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
D. Malen,Netherlands,Attacker,3344.0,True,0.0,0,3016.0,249,annual_current,108,108,1.0,0,52,3016.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,52,3016.0,34,34,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
D. Malen,Netherlands,Attacker,3344.0,True,0.0,0,3016.0,249,pre_world_cup,104,104,1.0,0,49,2829.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,49,2829.0,31,31,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Marquinhos,Brazil,Defender,5209.0,True,0.0,0,3252.0,257,annual_current,63,63,1.0,0,39,3252.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,39,3252.0,35,35,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Marquinhos,Brazil,Defender,5209.0,True,0.0,0,3252.0,257,pre_world_cup,66,66,1.0,0,41,3392.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,41,3392.0,37,37,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
T. Meunier,Belgium,Defender,3124.0,True,0.0,0,2744.0,264,annual_current,54,54,1.0,0,38,2744.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,38,2744.0,30,30,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
T. Meunier,Belgium,Defender,3124.0,True,0.0,0,2744.0,264,pre_world_cup,48,48,1.0,0,35,2554.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,35,2554.0,28,28,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
L. Paredes,Argentina,Midfielder,4285.0,True,0.0,0,3687.0,271,annual_current,50,50,1.0,0,46,3687.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,46,3687.0,39,39,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
L. Paredes,Argentina,Midfielder,4285.0,True,0.0,0,3687.0,271,pre_world_cup,45,45,1.0,0,41,3385.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,41,3385.0,36,36,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Rabiot,France,Midfielder,3658.0,True,0.0,0,3405.0,272,annual_current,83,83,1.0,0,39,3405.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,39,3405.0,38,38,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Rabiot,France,Midfielder,3658.0,True,0.0,0,3405.0,272,pre_world_cup,76,76,1.0,0,33,2910.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,33,2910.0,32,32,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Neymar,Brazil,Attacker,3682.0,True,0.0,0,2566.0,276,annual_current,68,68,1.0,0,32,2566.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,32,2566.0,28,28,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Neymar,Brazil,Attacker,3682.0,True,0.0,0,2566.0,276,pre_world_cup,65,65,1.0,0,31,2619.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,31,2619.0,29,29,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Kylian Mbappé,France,Attacker,4582.0,True,0.0,0,4228.0,278,annual_current,63,63,1.0,0,51,4228.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,51,4228.0,47,47,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Kylian Mbappé,France,Attacker,4582.0,True,0.0,0,4228.0,278,pre_world_cup,62,62,1.0,0,47,3755.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,47,3755.0,41,41,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Alisson Becker,Brazil,Goalkeeper,4566.0,True,0.0,0,3746.0,280,annual_current,62,62,1.0,0,42,3746.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,42,3746.0,42,42,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Alisson Becker,Brazil,Goalkeeper,4566.0,True,0.0,0,3746.0,280,pre_world_cup,58,58,1.0,0,38,3391.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,38,3391.0,38,38,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Robertson,Scotland,Defender,2766.0,True,0.0,0,2248.0,289,annual_current,60,60,1.0,0,39,2248.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,39,2248.0,23,23,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
A. Robertson,Scotland,Defender,2766.0,True,0.0,0,2248.0,289,pre_world_cup,57,57,1.0,0,36,2023.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,36,2023.0,20,20,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
V. van Dijk,Netherlands,Defender,5711.0,True,0.0,0,5331.0,290,annual_current,59,59,1.0,0,59,5331.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,59,5331.0,59,59,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
V. van Dijk,Netherlands,Defender,5711.0,True,0.0,0,5331.0,290,pre_world_cup,55,55,1.0,0,55,4941.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,55,4941.0,55,55,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
J. Henderson,England,Midfielder,2262.0,True,0.0,0,2106.0,292,annual_current,48,48,1.0,0,35,2106.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,35,2106.0,24,24,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
J. Henderson,England,Midfielder,2262.0,True,0.0,0,2106.0,292,pre_world_cup,41,41,1.0,0,34,2094.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,34,2094.0,24,24,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Fabinho,Brazil,Midfielder,5291.0,True,0.0,0,3600.0,299,annual_current,49,49,1.0,0,43,3600.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,43,3600.0,40,40,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
Fabinho,Brazil,Midfielder,5291.0,True,0.0,0,3600.0,299,pre_world_cup,44,44,1.0,0,40,3522.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,40,3522.0,40,40,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False
