canonical_name,player_name,fixture_id,team_id,formation,grid,grid_row,grid_col_normalized,observed_band,expected_side,confidence,inferred_side,correct_under_selected_mapping
R. Aït-Nouri,R. Ait-Nouri,1528326,50,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1378990,50,4-3-3,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1451153,50,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1451050,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1451050,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1379234,50,4-1-3-2,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1379268,50,4-1-3-2,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1100317,26,4-2-2-2,2:4,2.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1100317,26,4-2-2-2,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1391110,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1391000,530,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1534910,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1534907,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait-Nouri,1379224,50,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1542889,49,3-4-2-1,3:1,3.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1520391,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait-Nouri,1451094,50,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1390797,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,Marc Cucurella,1399365,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1399365,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait-Nouri,1379302,50,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1379255,50,4-1-3-2,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1379244,50,4-1-3-2,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379091,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1451031,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1534912,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1534912,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1534908,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1534908,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387876,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387876,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,Achraf Hakimi,1377400,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,Nuno Mendes,1377400,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
P. Porro,Pedro Porro,1377400,47,5-3-2,2:5,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1528328,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1528328,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1528328,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1528320,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1528320,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1528320,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1489400,1532,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1392813,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Aït-Nouri,1321724,50,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1388570,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robertson,A. Robertson,1379304,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
R. Aït-Nouri,R. Ait Nouri,1494073,50,4-1-4-1,4:1,4.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379257,47,3-4-2-1,2:3,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1498260,49,3-5-2,3:1,3.0,0.2,low,L,high,L,True
M. Cucurella,M. Cucurella,1379193,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1498259,49,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
P. Porro,P. Porro,1379143,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1378976,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1387856,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1451096,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1451105,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1451105,47,4-2-2-2,2:4,2.0,1.0,high,R,high,R,True
T. Hernández,T. Hernandez,1436091,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435936,2932,4-1-4-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Hakimi,A. Hakimi,1387921,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387921,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1387886,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387739,85,3-5-2,3:5,3.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387739,85,3-5-2,3:1,3.0,0.2,low,L,high,L,True
A. Hakimi,A. Hakimi,1451029,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1451029,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1451060,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1451060,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1388506,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1489463,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1388488,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1388583,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robinson,A. Robinson,1379309,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387895,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387895,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1451118,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1379063,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Robertson,A. Robertson,1451030,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
P. Porro,P. Porro,1379310,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387937,85,4-3-3,4:1,4.0,0.3333333333333333,low,L,high,L,True
A. Hakimi,A. Hakimi,1451149,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1451149,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1451131,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1451129,50,4-3-3,2:4,2.0,1.0,high,L,high,R,False
M. Cucurella,M. Cucurella,1379142,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387794,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387794,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379047,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1515528,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1515528,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1515517,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1515517,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Robertson,A. Robertson,1379226,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Robertson,A. Robertson,1379105,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
M. Cucurella,M. Cucurella,1379346,49,3-4-1-2,3:1,3.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379287,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379167,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379053,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robertson,A. Robertson,1379316,40,4-2-2-2,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Robinson,A. Robinson,1379153,36,4-2-3-1,2:1,2.0,1.0,high,L,high,R,False
A. Robertson,A. Robertson,1451077,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
R. Aït-Nouri,R. Ait Nouri,1479617,50,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
M. Cucurella,M. Cucurella,1379291,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1528331,47,4-2-3-1,4:3,4.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1528331,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1528323,47,3-4-3,3:4,3.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379077,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379015,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,Marc Cucurella,1390026,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379308,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379264,47,4-4-2,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379218,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379137,47,4-2-2-2,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379071,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379033,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387731,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379333,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1387966,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1451135,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1451104,530,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379067,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379067,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1451122,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Aït-Nouri,1321711,50,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,Marc Cucurella,1383915,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387968,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379301,49,5-4-1,2:1,2.0,0.2,low,L,high,L,True
P. Porro,P. Porro,1379298,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,Nuno Mendes,1501283,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1451042,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379021,49,4-3-3,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379011,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1387713,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387713,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1388471,157,4-2-3-1,2:4,2.0,1.0,high,L,high,R,False
T. Hernández,T. Hernandez,1436115,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435963,2932,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1524398,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1388483,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436077,2932,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1438735,2932,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435924,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1539716,50,4-3-2-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387905,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387812,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1387780,85,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Hakimi,A. Hakimi,1387929,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1379204,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1491683,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Robertson,A. Robertson,1451113,40,4-3-1-2,2:1,2.0,0.3333333333333333,low,L,high,L,True
M. Cucurella,M. Cucurella,1451114,49,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
D. Dumfries,D. Dumfries,1377888,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
T. Hernández,T. Hernandez,1438723,2932,4-3-3,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1391080,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1379338,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1529694,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1379284,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Robinson,A. Robinson,1379284,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379262,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
D. Dumfries,D. Dumfries,1378146,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1379163,36,3-4-2-1,3:1,3.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379136,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1390960,530,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379107,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1451069,40,4-4-2,2:1,2.0,0.3333333333333333,low,L,high,L,True
D. Dumfries,D. Dumfries,1378165,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1387948,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379243,47,4-4-2,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1515520,530,4-3-3,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait-Nouri,1510242,50,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
P. Porro,P. Porro,1379187,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1379175,36,3-4-2-1,3:1,3.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379175,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1451117,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379097,47,4-2-2-2,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1377932,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379008,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1387724,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387724,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1378991,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1378988,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436144,2932,4-3-3,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435989,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435951,2932,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
N. Molina,N. Molina,1391077,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379170,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1387849,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379110,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1390949,530,5-3-2,2:5,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1378997,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1387902,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1379195,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1387772,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1451043,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1490818,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1451067,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1451023,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,Marc Cucurella,1321701,49,4-3-3,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,Marc Cucurella,1392812,49,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1321713,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1321682,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait Nouri,1503401,1532,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait Nouri,1347271,1532,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait Nouri,1347259,1532,4-2-3-1,4:1,4.0,0.3333333333333333,low,L,high,L,True
R. Aït-Nouri,R. Ait Nouri,1347247,1532,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436135,2932,4-3-3,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435979,2932,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1438739,2932,3-4-2-1,3:1,3.0,0.25,low,L,high,L,True
