slot,selected_player_id,selected_player_name,alternative_rank,alternative_player_id,alternative_player_name,alternative_club,alternative_competition,raw_role_score,adjusted_role_score_v2,opponent_strength,competition_strength,context_matches,context_coverage,selected
LB,263482,N. Mendes,3,855,J. Cancelo,Barcelona,La Liga,0.6878468460897644,0.7260850176105973,1528.0458900297206,1504.0716187674109,37,1.0,False
LB,263482,N. Mendes,4,337587,J. Bos,Feyenoord,Eredivisie,0.696265396343431,0.6998682549503195,1497.3701349780313,1492.6360228691285,42,1.0,False
LB,263482,N. Mendes,5,563,A. Grimaldo,Bayer Leverkusen,Bundesliga,0.6549567350634156,0.6967752974486876,1543.823393710073,1516.4582531816304,54,1.0,False
LB,263482,N. Mendes,6,25158,D. Raum,RB Leipzig,Bundesliga,0.6686023407020102,0.6824716452705502,1525.7451105696127,1493.5897417219076,39,1.0,False
LB,263482,N. Mendes,7,51776,M. Araujo,Sporting CP,Primeira Liga,0.6254908709027437,0.6610279546081287,1546.087561832297,1504.2091661586408,47,1.0,False
LB,263482,N. Mendes,8,19549,A. Robinson,Fulham,Premier League,0.6073558874024648,0.6590184004059847,1526.2346257709248,1530.9605563087448,37,1.0,False
LB,263482,N. Mendes,9,39058,F. Bjorkan,Bodo/Glimt,Eliteserien,0.5911397936357379,0.6366579626413671,1532.2344107838364,1522.422844827565,45,1.0,False
LB,263482,N. Mendes,10,307123,N. O'Reilly,Manchester City,Premier League,0.5490823718844827,0.6344883837497162,1559.8371025789188,1537.9241989534294,64,1.0,False
DM,138908,E. Anderson,1,138908,E. Anderson,Nottingham Forest,Premier League,0.7189595182743745,0.7816469700787775,1559.2379025034345,1536.0247475521144,57,1.0,True
DM,138908,E. Anderson,2,44,Rodri,Manchester City,Premier League,0.7148257557778602,0.7795341321374766,1569.154869312556,1534.164106182012,42,1.0,False
DM,138908,E. Anderson,3,214463,I. Yuksek,Fenerbahçe,Süper Lig,0.7322327676280197,0.7494866841620447,1507.610722890224,1503.1105495430788,50,1.0,False
DM,138908,E. Anderson,4,116117,M. Caicedo,Chelsea,Premier League,0.6783356921873241,0.7471534816681509,1564.2405420532227,1541.798605145566,58,1.0,False
DM,138908,E. Anderson,5,863,R. Bentancur,Tottenham,Premier League,0.6405411529998152,0.7143827049715714,1558.641800916881,1541.9954529924482,41,1.0,False
DM,138908,E. Anderson,6,538,F. de Jong,Barcelona,La Liga,0.6793491568198466,0.7122612102123181,1527.9518682400392,1514.8040453837232,43,1.0,False
DM,138908,E. Anderson,7,162714,A. Onana,Aston Villa,Premier League,0.6441270367685359,0.709050050240658,1547.7790169227671,1536.8517124127932,44,1.0,False
DM,138908,E. Anderson,8,1271,A. Tchouameni,Real Madrid,La Liga,0.657378636467366,0.7070327572142846,1552.4239239187673,1520.5330417501284,57,1.0,False
DM,138908,E. Anderson,9,747,Casemiro,Manchester United,Premier League,0.6413963622179201,0.6967970095679362,1536.1103895282763,1537.4082166896858,42,1.0,False
DM,138908,E. Anderson,10,6236,A. Cubas,Vancouver Whitecaps,Major League Soccer,0.6803423205314133,0.6929912323746812,1499.7020154036604,1497.61220186312,35,1.0,False
CM,133609,Pedri,1,133609,Pedri,Barcelona,La Liga,0.7496793477876889,0.7847658147687573,1531.0024755984805,1515.7164902365375,51,1.0,True
CM,133609,Pedri,2,374058,L. Camara,Monaco,Ligue 1,0.6527832043270774,0.7102785298904849,1548.2660217180924,1521.7799411418748,42,1.0,False
CM,133609,Pedri,3,129678,A. Ounahi,Girona,La Liga,0.6761144730043271,0.6994444008909237,1517.7275190139956,1491.7571446729228,33,1.0,False
CM,133609,Pedri,4,335051,J. Neves,Paris Saint Germain,Ligue 1,0.6180588891310697,0.6923898020542184,1560.5464120817212,1546.4547267103917,46,1.0,False
CM,133609,Pedri,5,336657,W. Zaire-Emery,Paris Saint Germain,Ligue 1,0.6303767647010418,0.6906278625860127,1546.7721237469475,1542.4081413332742,61,1.0,False
CM,133609,Pedri,6,10135,Bruno Guimaraes,Newcastle,Premier League,0.6162438589462154,0.6824524593747694,1550.2348278529196,1538.6526975989195,50,1.0,False
CM,133609,Pedri,7,350850,B. Zeneli,IF Elfsborg,Allsvenskan,0.6538579930563762,0.6733930983372659,1510.8743156414412,1497.6035039350827,33,1.0,False
CM,133609,Pedri,8,756,F. Valverde,Real Madrid,La Liga,0.6131600059209005,0.6652076268683063,1552.1520669519327,1518.6424961813216,55,1.0,False
CM,133609,Pedri,9,754,L. Modric,AC Milan,Serie A,0.6332493071887182,0.661571465941567,1515.3760208489646,1503.7249094962997,44,1.0,False
CM,133609,Pedri,10,18970,P. Gross,Brighton,Premier League,0.5971739964960814,0.6529392007089492,1546.7587577544166,1527.1160947877645,49,1.0,False
AM,156477,R. Cherki,1,156477,R. Cherki,Manchester City,Premier League,0.7884631372516417,0.8363825139869178,1558.5783341672209,1537.247935479248,60,1.0,True
AM,156477,R. Cherki,2,291964,A. Guler,Real Madrid,La Liga,0.75936576707091,0.7958469018451316,1549.069773425947,1518.2616106017151,54,1.0,False
AM,156477,R. Cherki,3,1485,B. Fernandes,Manchester United,Premier League,0.7463815258219412,0.794600885042673,1548.8259362951387,1537.21544197881,42,1.0,False
AM,156477,R. Cherki,4,203224,F. Wirtz,Liverpool,Premier League,0.7110974939535979,0.7730220702911051,1560.4065310644703,1546.0061105505629,53,1.0,False
AM,156477,R. Cherki,5,339883,K. Yildiz,Juventus,Serie A,0.715489086193327,0.7520592872171914,1529.452036582051,1518.3732724212043,52,1.0,False
AM,156477,R. Cherki,6,129718,J. Bellingham,Real Madrid,La Liga,0.6894595435981903,0.7399401003435944,1555.3930022251946,1516.507929566176,48,1.0,False
AM,156477,R. Cherki,7,37127,M. Odegaard,Arsenal,Premier League,0.6626185269811603,0.7393352933580918,1568.0073846943917,1539.4002839112172,44,1.0,False
AM,156477,R. Cherki,8,147859,C. De Ketelaere,Atalanta,Serie A,0.6883978876643532,0.7180964440669317,1518.711750018626,1515.7787734227811,48,1.0,False
AM,156477,R. Cherki,9,274300,M. Akliouche,Monaco,Ligue 1,0.6477032695466504,0.7005094015779922,1543.979054596944,1528.7692137406084,51,1.0,False
AM,156477,R. Cherki,10,350037,N. Paz,Como,Serie A,0.6727853434689228,0.6993124624701188,1519.0083012265554,1501.9359591771354,51,1.0,False
RW,386828,Lamine Yamal,1,386828,Lamine Yamal,Barcelona,La Liga,0.8485582023003944,0.8696010365281073,1529.1086310505518,1513.635306930047,52,1.0,True
RW,386828,Lamine Yamal,2,19617,M. Olise,Bayern München,Bundesliga,0.8099311564975971,0.8417719681817997,1549.8576499947296,1519.2372190143872,60,1.0,False
RW,386828,Lamine Yamal,3,343027,D. Doue,Paris Saint Germain,Ligue 1,0.7622315158522637,0.8097271415315248,1555.2276870540766,1542.3320014673557,50,1.0,False
RW,386828,Lamine Yamal,4,513776,Y. Diomande,RB Leipzig,Bundesliga,0.7847036121270806,0.7930526911393789,1515.2289229924804,1493.8538368372303,46,1.0,False
RW,386828,Lamine Yamal,5,1460,B. Saka,Arsenal,Premier League,0.7251938794796962,0.7827719395362183,1556.353074712656,1543.3973942682896,59,1.0,False
RW,386828,Lamine Yamal,6,136723,N. Madueke,Arsenal,Premier League,0.6702602300232144,0.7404546022679809,1565.7964800842544,1540.5021096287696,59,1.0,False
RW,386828,Lamine Yamal,7,3246,N. Pepe,Villarreal,La Liga,0.7071179654569817,0.729666332696786,1519.5005943712456,1506.5533883187554,52,1.0,False
RW,386828,Lamine Yamal,8,326067,A. Hadj Moussa,Feyenoord,Eredivisie,0.7121496617671346,0.7236311017696873,1508.0416252004452,1493.9249276775936,49,1.0,False
RW,386828,Lamine Yamal,9,157997,A. Diallo,Manchester United,Premier League,0.661708354688516,0.7190541719443041,1541.7719381129352,1533.1607925546916,42,1.0,False
RW,386828,Lamine Yamal,10,744,B. Diaz,Real Madrid,La Liga,0.6699651384297441,0.7051225177282977,1537.036662831462,1505.496728008241,61,1.0,False
LW,1422,J. Doku,1,1422,J. Doku,Manchester City,Premier League,0.8015014436130299,0.8475191186446464,1566.4443377941234,1539.5777434584804,54,1.0,True
LW,1422,J. Doku,2,762,Vinicius Junior,Real Madrid,La Liga,0.7499730353323997,0.7879087667515006,1554.6667974742047,1518.4731644804087,59,1.0,False
LW,1422,J. Doku,3,2489,L. Diaz,Bayern München,Bundesliga,0.7468815023859234,0.7821095763927027,1539.141229293769,1516.759359046493,58,1.0,False
LW,1422,J. Doku,4,1496,Raphinha,Barcelona,La Liga,0.7413524467856873,0.7680381840046497,1519.397208494512,1519.7644602008909,40,1.0,False
LW,1422,J. Doku,5,51618,B. Rodriguez,Club America,Liga MX,0.7681123127237462,0.7679239729256319,1494.44234565153,1486.1511086992457,47,1.0,False
LW,1422,J. Doku,6,39073,J. Hauge,Bodo/Glimt,Eliteserien,0.7120672961352712,0.7483977972291223,1533.0783725328497,1521.770650014061,47,1.0,False
LW,1422,J. Doku,7,138787,A. Gordon,Newcastle,Premier League,0.6743197798749819,0.7479272820484928,1572.543082807707,1543.2729653917083,57,1.0,False
LW,1422,J. Doku,8,161904,B. Barcola,Paris Saint Germain,Ligue 1,0.6897918696962503,0.7364534224165753,1538.0187666415438,1537.3804073703782,58,1.0,False
LW,1422,J. Doku,9,304,S. Mane,Al-Nassr,Pro League,0.739858000002528,0.7306804951758814,1490.1523642418567,1476.7318051693103,41,1.0,False
LW,1422,J. Doku,10,127769,G. Martinelli,Arsenal,Premier League,0.6526199153129784,0.723614647354349,1560.8951369540662,1539.9324825372885,66,1.0,False
ST,154,L. Messi,1,154,L. Messi,Inter Miami,Major League Soccer,0.8241763605026016,0.8330583371110343,1503.1381184466186,1497.1088011049271,44,1.0,True
ST,154,L. Messi,2,278,K. Mbappe,Real Madrid,La Liga,0.7757925592895308,0.7959737036749166,1531.1511084406966,1511.5099710644008,53,1.0,False
ST,154,L. Messi,3,184,H. Kane,Bayern München,Bundesliga,0.7483918860199954,0.7810750502016898,1546.937337385402,1517.9702188215508,60,1.0,False
ST,154,L. Messi,4,153,O. Dembele,Paris Saint Germain,Ligue 1,0.731926422765063,0.7737281314611125,1562.0229732488576,1540.7478532789628,49,1.0,False
ST,154,L. Messi,5,21509,M. Thuram,Inter,Serie A,0.7217459319396182,0.7653070383593428,1540.7920473792378,1519.3059098597182,53,1.0,False
ST,154,L. Messi,6,1165,M. Cunha,Manchester United,Premier League,0.6766739365770487,0.731204220120241,1534.9873170898911,1536.9249306902511,41,1.0,False
ST,154,L. Messi,7,295513,J. Lopez,Palmeiras,Serie A,0.7166070582405448,0.727679951769565,1507.294241641192,1493.5599293352177,75,1.0,False
ST,154,L. Messi,8,186,Son Heung-Min,Los Angeles FC,Major League Soccer,0.7074907741807894,0.7262563303864381,1514.2247977364757,1498.118394758909,37,1.0,False
ST,154,L. Messi,9,17,C. Pulisic,AC Milan,Serie A,0.7084495312528296,0.7239990691845636,1507.5855196177354,1506.1435705926958,39,1.0,False
ST,154,L. Messi,10,217,L. Martinez,Inter,Serie A,0.689702350178714,0.7164883316109267,1516.8708527135464,1514.8456952733077,55,1.0,False
