fixture_id,unresolved_players,player_fixture_pairs,max_priority,total_priority,information_value_score
1380330,1,2,6.5,13.0,13.0
1380338,1,2,6.5,13.0,13.0
1384111,1,2,6.5,13.0,13.0
1384133,1,2,6.5,13.0,13.0
1384140,1,2,6.5,13.0,13.0
1384145,1,2,6.5,13.0,13.0
1384163,1,2,6.5,13.0,13.0
1388041,1,2,6.5,13.0,13.0
1388061,1,2,6.5,13.0,13.0
1389594,1,2,6.5,13.0,13.0
1389652,1,2,6.5,13.0,13.0
1393730,1,2,6.5,13.0,13.0
1393732,1,2,6.5,13.0,13.0
1393737,1,2,6.5,13.0,13.0
1393738,1,2,6.5,13.0,13.0
1393741,1,2,6.5,13.0,13.0
1393743,1,2,6.5,13.0,13.0
1393745,1,2,6.5,13.0,13.0
1393749,1,2,6.5,13.0,13.0
1393750,1,2,6.5,13.0,13.0
1393753,1,2,6.5,13.0,13.0
1393757,1,2,6.5,13.0,13.0
1393764,1,2,6.5,13.0,13.0
1393771,1,2,6.5,13.0,13.0
1393772,1,2,6.5,13.0,13.0
1393782,1,2,6.5,13.0,13.0
1393790,1,2,6.5,13.0,13.0
1393792,1,2,6.5,13.0,13.0
1394076,1,2,6.5,13.0,13.0
1394084,1,2,6.5,13.0,13.0
1394096,1,2,6.5,13.0,13.0
1394111,1,2,6.5,13.0,13.0
1394115,1,2,6.5,13.0,13.0
1394127,1,2,6.5,13.0,13.0
1394165,1,2,6.5,13.0,13.0
1394176,1,2,6.5,13.0,13.0
1397982,1,2,6.5,13.0,13.0
1397987,1,2,6.5,13.0,13.0
1398001,1,2,6.5,13.0,13.0
1398005,1,2,6.5,13.0,13.0
1398020,1,2,6.5,13.0,13.0
1398024,1,2,6.5,13.0,13.0
1398032,1,2,6.5,13.0,13.0
1398167,1,2,6.5,13.0,13.0
1398186,1,2,6.5,13.0,13.0
1398204,1,2,6.5,13.0,13.0
1398254,1,2,6.5,13.0,13.0
1398258,1,2,6.5,13.0,13.0
1404268,1,2,6.5,13.0,13.0
1405447,1,2,6.5,13.0,13.0
1405451,1,2,6.5,13.0,13.0
1405458,1,2,6.5,13.0,13.0
1405461,1,2,6.5,13.0,13.0
1410016,1,2,6.5,13.0,13.0
1410019,1,2,6.5,13.0,13.0
1410025,1,2,6.5,13.0,13.0
1410048,1,2,6.5,13.0,13.0
1410049,1,2,6.5,13.0,13.0
1410056,1,2,6.5,13.0,13.0
1410072,1,2,6.5,13.0,13.0
1410075,1,2,6.5,13.0,13.0
1415590,1,2,6.5,13.0,13.0
1415607,1,2,6.5,13.0,13.0
1415614,1,2,6.5,13.0,13.0
1415620,1,2,6.5,13.0,13.0
1415626,1,2,6.5,13.0,13.0
1415630,1,2,6.5,13.0,13.0
1415644,1,2,6.5,13.0,13.0
1415657,1,2,6.5,13.0,13.0
1415679,1,2,6.5,13.0,13.0
1415692,1,2,6.5,13.0,13.0
1415695,1,2,6.5,13.0,13.0
1415701,1,2,6.5,13.0,13.0
1415717,1,2,6.5,13.0,13.0
1415721,1,2,6.5,13.0,13.0
1415916,1,2,6.5,13.0,13.0
1415921,1,2,6.5,13.0,13.0
1415924,1,2,6.5,13.0,13.0
1415926,1,2,6.5,13.0,13.0
1415927,1,2,6.5,13.0,13.0
1419568,1,2,6.5,13.0,13.0
1421175,1,2,6.5,13.0,13.0
1421202,1,2,6.5,13.0,13.0
1435928,1,2,6.5,13.0,13.0
1435937,1,2,6.5,13.0,13.0
1435943,1,2,6.5,13.0,13.0
1435949,1,2,6.5,13.0,13.0
1435960,1,2,6.5,13.0,13.0
1436778,1,2,6.5,13.0,13.0
1436780,1,2,6.5,13.0,13.0
1436783,1,2,6.5,13.0,13.0
1436819,1,2,6.5,13.0,13.0
1437227,1,2,6.5,13.0,13.0
1438690,1,2,6.5,13.0,13.0
1438815,1,2,6.5,13.0,13.0
1442428,1,2,6.5,13.0,13.0
1446592,1,2,6.5,13.0,13.0
1446596,1,2,6.5,13.0,13.0
1446611,1,2,6.5,13.0,13.0
1446620,1,2,6.5,13.0,13.0
1446627,1,2,6.5,13.0,13.0
1446640,1,2,6.5,13.0,13.0
1446896,1,2,6.5,13.0,13.0
1446900,1,2,6.5,13.0,13.0
1446902,1,2,6.5,13.0,13.0
1446903,1,2,6.5,13.0,13.0
1446906,1,2,6.5,13.0,13.0
1446909,1,2,6.5,13.0,13.0
1446919,1,2,6.5,13.0,13.0
1446923,1,2,6.5,13.0,13.0
1446925,1,2,6.5,13.0,13.0
1451458,1,2,6.5,13.0,13.0
1451486,1,2,6.5,13.0,13.0
1451495,1,2,6.5,13.0,13.0
1451617,1,2,6.5,13.0,13.0
1482482,1,2,6.5,13.0,13.0
1482491,1,2,6.5,13.0,13.0
1482495,1,2,6.5,13.0,13.0
1482496,1,2,6.5,13.0,13.0
1485354,1,2,6.5,13.0,13.0
1489326,1,2,6.5,13.0,13.0
1489334,1,2,6.5,13.0,13.0
1491231,1,2,6.5,13.0,13.0
1491256,1,2,6.5,13.0,13.0
1491304,1,2,6.5,13.0,13.0
1491601,1,2,6.5,13.0,13.0
1491648,1,2,6.5,13.0,13.0
1505602,1,2,6.5,13.0,13.0
1505608,1,2,6.5,13.0,13.0
1505609,1,2,6.5,13.0,13.0
1505611,1,2,6.5,13.0,13.0
1505613,1,2,6.5,13.0,13.0
1505614,1,2,6.5,13.0,13.0
1506901,1,2,6.5,13.0,13.0
1506902,1,2,6.5,13.0,13.0
1506904,1,2,6.5,13.0,13.0
1506915,1,2,6.5,13.0,13.0
1506916,1,2,6.5,13.0,13.0
1506919,1,2,6.5,13.0,13.0
1506921,1,2,6.5,13.0,13.0
1506942,1,2,6.5,13.0,13.0
1506947,1,2,6.5,13.0,13.0
1506948,1,2,6.5,13.0,13.0
1506956,1,2,6.5,13.0,13.0
1506958,1,2,6.5,13.0,13.0
1506961,1,2,6.5,13.0,13.0
1506965,1,2,6.5,13.0,13.0
1506967,1,2,6.5,13.0,13.0
1506970,1,2,6.5,13.0,13.0
1528518,1,2,6.5,13.0,13.0
1528526,1,2,6.5,13.0,13.0
1528532,1,2,6.5,13.0,13.0
1537392,1,2,6.5,13.0,13.0
1537399,1,2,6.5,13.0,13.0
1540727,1,2,6.5,13.0,13.0
1540975,1,2,6.5,13.0,13.0
1540978,1,2,6.5,13.0,13.0
1540980,1,2,6.5,13.0,13.0
1540984,1,2,6.5,13.0,13.0
1540986,1,2,6.5,13.0,13.0
1540993,1,2,6.5,13.0,13.0
1540999,1,2,6.5,13.0,13.0
1542139,1,2,6.5,13.0,13.0
1542383,1,2,6.5,13.0,13.0
1544963,1,2,6.5,13.0,13.0
1544967,1,2,6.5,13.0,13.0
1544968,1,2,6.5,13.0,13.0
1546530,1,2,6.5,13.0,13.0
1393744,1,2,6.0,12.0,12.0
1491633,1,2,6.0,12.0,12.0
1544965,1,2,5.0,10.0,10.0
1340813,1,1,6.5,6.5,9.75
1340818,1,1,6.5,6.5,9.75
1340822,1,1,6.5,6.5,9.75
1340826,1,1,6.5,6.5,9.75
1383440,1,1,6.5,6.5,9.75
1506990,1,1,6.5,6.5,9.75
1506991,1,1,6.5,6.5,9.75
1506996,1,1,6.5,6.5,9.75
