fixture_id,status,rows,updated_at_utc
1326542,completed,40,2026-07-20T16:22:50.274837+00:00
1326544,completed,39,2026-07-20T16:02:30.348934+00:00
1326551,completed,40,2026-07-20T16:25:20.480748+00:00
1326554,completed,40,2026-07-20T16:25:28.160611+00:00
1326559,completed,37,2026-07-20T16:24:23.258810+00:00
1326564,completed,40,2026-07-20T16:22:50.787120+00:00
1326570,completed,40,2026-07-20T15:51:26.389283+00:00
1326577,completed,40,2026-07-20T16:02:28.805761+00:00
1326578,completed,40,2026-07-20T16:25:20.994241+00:00
1326581,completed,40,2026-07-20T16:24:22.230385+00:00
1326584,completed,40,2026-07-20T16:20:10.201289+00:00
1326586,completed,40,2026-07-20T16:02:29.838331+00:00
1326590,completed,40,2026-07-20T16:02:40.228998+00:00
1326597,completed,39,2026-07-20T16:25:29.185110+00:00
1326598,completed,40,2026-07-20T16:21:49.043230+00:00
1326599,completed,40,2026-07-20T16:20:10.786727+00:00
1326601,completed,39,2026-07-20T15:50:11.677825+00:00
1326602,completed,39,2026-07-20T16:25:24.068642+00:00
1326605,completed,40,2026-07-20T16:01:53.118984+00:00
1326613,completed,40,2026-07-20T16:23:34.953932+00:00
1326615,completed,39,2026-07-20T16:01:54.679349+00:00
1326617,completed,40,2026-07-20T16:21:15.206831+00:00
1326621,completed,40,2026-07-20T15:50:54.022880+00:00
1326626,completed,39,2026-07-20T16:24:21.196172+00:00
1326630,completed,40,2026-07-20T16:23:29.807425+00:00
1326637,completed,40,2026-07-20T16:22:51.295999+00:00
1326640,completed,40,2026-07-20T16:25:26.121207+00:00
1326649,completed,40,2026-07-20T16:01:55.193042+00:00
1326651,completed,37,2026-07-20T15:47:13.720559+00:00
1326654,completed,39,2026-07-20T16:21:48.516941+00:00
1326657,completed,40,2026-07-20T16:23:34.445863+00:00
1326661,completed,40,2026-07-20T16:01:53.634680+00:00
1326666,completed,40,2026-07-20T15:39:35.406750+00:00
1326667,completed,40,2026-07-20T16:25:27.649793+00:00
1326668,completed,39,2026-07-20T15:50:06.039279+00:00
1326671,completed,40,2026-07-20T16:25:21.512514+00:00
1326680,completed,40,2026-07-20T16:01:32.998984+00:00
1326686,completed,40,2026-07-20T16:22:52.315744+00:00
1326689,completed,38,2026-07-20T16:21:59.317229+00:00
1326693,completed,40,2026-07-20T16:01:52.588722+00:00
1326694,completed,40,2026-07-20T16:22:46.199828+00:00
1326695,completed,39,2026-07-20T16:25:22.024661+00:00
1326699,completed,40,2026-07-20T15:51:00.292589+00:00
1326702,completed,39,2026-07-20T16:21:15.731561+00:00
1326731,completed,38,2026-07-20T16:24:23.769901+00:00
1326732,completed,36,2026-07-20T16:02:29.315103+00:00
1326739,completed,40,2026-07-20T16:23:30.824345+00:00
1342052,completed,40,2026-07-20T16:24:59.307523+00:00
1342061,completed,38,2026-07-20T16:24:59.822378+00:00
1342066,completed,40,2026-07-20T16:25:00.567892+00:00
1342076,completed,40,2026-07-20T16:25:01.273372+00:00
1342086,completed,40,2026-07-20T16:25:01.782716+00:00
1342091,completed,40,2026-07-20T16:25:02.545673+00:00
1342103,completed,40,2026-07-20T16:25:03.378053+00:00
1342107,completed,39,2026-07-20T16:25:04.074588+00:00
1342116,completed,39,2026-07-20T16:25:06.969100+00:00
1342124,completed,39,2026-07-20T16:21:24.948173+00:00
1342131,completed,40,2026-07-20T16:25:07.479190+00:00
1342151,completed,39,2026-07-20T16:25:04.710743+00:00
1342155,completed,40,2026-07-20T16:25:05.268694+00:00
1342171,completed,38,2026-07-20T16:25:05.883153+00:00
1342179,completed,40,2026-07-20T16:25:06.452673+00:00
1342226,completed,39,2026-07-20T15:39:56.709964+00:00
1342266,completed,40,2026-07-20T15:40:40.398330+00:00
1342280,completed,37,2026-07-20T16:24:13.526666+00:00
1342296,completed,40,2026-07-20T15:39:50.814989+00:00
1342299,completed,38,2026-07-20T15:40:48.973613+00:00
1342307,completed,39,2026-07-20T15:40:40.938394+00:00
1342317,completed,39,2026-07-20T15:40:44.682895+00:00
1342327,completed,40,2026-07-20T15:39:56.177247+00:00
1342341,completed,38,2026-07-20T15:40:41.471681+00:00
1342346,completed,39,2026-07-20T15:41:00.150808+00:00
1342356,completed,37,2026-07-20T15:40:42.005000+00:00
1342358,completed,40,2026-07-20T16:23:35.462791+00:00
1342362,completed,40,2026-07-20T15:40:42.544625+00:00
1342370,completed,38,2026-07-20T15:40:43.612414+00:00
1342383,completed,40,2026-07-20T15:39:54.558155+00:00
1342386,completed,40,2026-07-20T15:40:38.245666+00:00
1342399,completed,40,2026-07-20T16:24:14.034778+00:00
1342401,completed,40,2026-07-20T15:40:44.146407+00:00
1342402,completed,37,2026-07-20T15:40:45.236256+00:00
1342418,completed,38,2026-07-20T15:40:47.911043+00:00
1347239,completed,52,2026-07-20T15:34:55.350034+00:00
1347241,completed,52,2026-07-20T15:49:27.986419+00:00
1347242,completed,51,2026-07-20T15:38:48.502565+00:00
1347244,completed,52,2026-07-20T15:50:36.243316+00:00
1347246,completed,50,2026-07-20T15:35:16.214645+00:00
1347247,completed,52,2026-07-20T15:07:28.590139+00:00
1347249,completed,54,2026-07-20T15:49:29.909983+00:00
1347251,completed,52,2026-07-20T15:34:55.886869+00:00
1347253,completed,51,2026-07-20T15:08:11.536287+00:00
1347255,completed,52,2026-07-20T15:58:16.749004+00:00
1347257,completed,52,2026-07-20T15:35:19.401479+00:00
1347259,completed,51,2026-07-20T15:08:40.740498+00:00
1347261,completed,52,2026-07-20T15:10:08.680334+00:00
1347263,completed,52,2026-07-20T15:35:09.199990+00:00
1347266,completed,50,2026-07-20T15:35:43.911167+00:00
1347268,completed,52,2026-07-20T15:58:17.256567+00:00
1347269,completed,52,2026-07-20T15:07:28.058805+00:00
1347270,completed,52,2026-07-20T15:41:15.251492+00:00
1347271,completed,50,2026-07-20T15:38:58.608092+00:00
1347273,completed,51,2026-07-20T15:08:51.387939+00:00
1351153,completed,46,2026-07-20T16:20:38.227669+00:00
1351155,completed,46,2026-07-20T16:21:09.555001+00:00
1351156,completed,46,2026-07-20T16:23:07.281535+00:00
1351163,completed,46,2026-07-20T16:20:07.252230+00:00
1351164,completed,46,2026-07-20T16:25:17.369424+00:00
1351166,completed,43,2026-07-20T16:19:20.068617+00:00
1351167,completed,46,2026-07-20T16:20:39.761786+00:00
1351175,completed,46,2026-07-20T16:19:30.916156+00:00
1351176,completed,46,2026-07-20T16:19:40.727434+00:00
1351182,completed,46,2026-07-20T16:25:12.683145+00:00
1351183,completed,46,2026-07-20T16:20:42.858583+00:00
1351184,completed,46,2026-07-20T16:25:13.193364+00:00
1351185,completed,46,2026-07-20T16:02:44.332869+00:00
1351193,completed,46,2026-07-20T16:19:28.809358+00:00
1351203,completed,46,2026-07-20T16:20:51.546032+00:00
1351205,completed,46,2026-07-20T16:19:29.834200+00:00
1351206,completed,46,2026-07-20T16:19:49.416052+00:00
1351209,completed,46,2026-07-20T16:25:16.860873+00:00
1351213,completed,46,2026-07-20T16:20:44.903820+00:00
1351217,completed,46,2026-07-20T16:25:13.762819+00:00
1351221,completed,46,2026-07-20T16:20:48.989779+00:00
1351223,completed,46,2026-07-20T16:20:48.479093+00:00
1351224,completed,46,2026-07-20T16:02:40.740786+00:00
1351225,completed,45,2026-07-20T16:19:25.737358+00:00
1351230,completed,46,2026-07-20T16:20:45.417290+00:00
1351233,completed,46,2026-07-20T16:20:41.838881+00:00
1351234,completed,46,2026-07-20T16:19:29.320533+00:00
1351236,completed,46,2026-07-20T16:22:34.394720+00:00
1351239,completed,46,2026-07-20T16:18:58.254378+00:00
1351243,completed,46,2026-07-20T16:19:11.322870+00:00
1351244,completed,46,2026-07-20T16:22:42.596900+00:00
1351245,completed,44,2026-07-20T16:19:26.254710+00:00
1351247,completed,46,2026-07-20T16:20:38.737711+00:00
1351253,completed,46,2026-07-20T16:20:52.056725+00:00
1351255,completed,46,2026-07-20T16:03:36.477799+00:00
1351262,completed,46,2026-07-20T16:25:14.283406+00:00
1351264,completed,46,2026-07-20T16:22:37.980638+00:00
1351272,completed,46,2026-07-20T16:19:13.383368+00:00
1351273,completed,46,2026-07-20T16:02:53.054213+00:00
1351275,completed,46,2026-07-20T16:19:27.789920+00:00
1351280,completed,46,2026-07-20T16:20:28.403515+00:00
1351283,completed,46,2026-07-20T16:20:35.130112+00:00
1351284,completed,46,2026-07-20T16:22:40.551081+00:00
1351285,completed,46,2026-07-20T16:19:08.260305+00:00
1351293,completed,46,2026-07-20T16:19:05.702237+00:00
1351295,completed,46,2026-07-20T16:01:29.932579+00:00
1351302,completed,46,2026-07-20T16:20:39.251823+00:00
1351303,completed,46,2026-07-20T16:02:43.823615+00:00
1351304,completed,46,2026-07-20T16:22:39.532625+00:00
1351306,completed,45,2026-07-20T16:19:17.472651+00:00
1351310,completed,46,2026-07-20T16:19:09.794592+00:00
1351313,completed,46,2026-07-20T16:20:34.570202+00:00
1351314,completed,45,2026-07-20T16:19:13.892462+00:00
1351315,completed,46,2026-07-20T16:19:30.378560+00:00
1351321,completed,46,2026-07-20T16:22:37.468387+00:00
1351323,completed,46,2026-07-20T16:02:53.571580+00:00
1351324,completed,46,2026-07-20T16:01:41.557502+00:00
1351333,completed,46,2026-07-20T16:20:33.032734+00:00
1351335,completed,45,2026-07-20T16:19:24.713627+00:00
1351341,completed,46,2026-07-20T16:20:50.523778+00:00
1351343,completed,44,2026-07-20T16:19:10.813093+00:00
1351344,completed,46,2026-07-20T16:03:19.117097+00:00
1351351,completed,46,2026-07-20T16:20:28.914191+00:00
1351352,completed,46,2026-07-20T16:20:46.945992+00:00
1351353,completed,46,2026-07-20T16:20:27.380034+00:00
1351354,completed,46,2026-07-20T16:03:18.096678+00:00
1351355,completed,46,2026-07-20T16:19:24.195571+00:00
1351356,completed,45,2026-07-20T16:18:57.741280+00:00
1351363,completed,46,2026-07-20T16:19:20.583751+00:00
1351364,completed,46,2026-07-20T16:22:36.960213+00:00
1351367,completed,46,2026-07-20T16:19:26.762679+00:00
1351368,completed,46,2026-07-20T16:20:40.272302+00:00
1351423,completed,46,2026-07-20T15:59:53.177340+00:00
1351430,completed,45,2026-07-20T16:25:22.535522+00:00
1351441,completed,44,2026-07-20T15:39:55.102679+00:00
1351447,completed,46,2026-07-20T16:25:29.702438+00:00
1351449,completed,41,2026-07-20T16:21:12.624072+00:00
1351450,completed,44,2026-07-20T16:03:21.158062+00:00
1351454,completed,46,2026-07-20T15:48:22.333183+00:00
1351459,completed,46,2026-07-20T15:50:58.823595+00:00
1351462,completed,45,2026-07-20T15:40:32.907359+00:00
1371356,completed,46,2026-07-20T15:07:33.929424+00:00
1371357,completed,46,2026-07-20T15:49:40.951553+00:00
1371358,completed,46,2026-07-20T16:02:46.377785+00:00
1371362,completed,46,2026-07-20T16:01:27.063162+00:00
1371365,completed,46,2026-07-20T15:10:28.123294+00:00
1371366,completed,46,2026-07-20T16:03:09.887819+00:00
1371367,completed,46,2026-07-20T15:08:13.664144+00:00
1371370,completed,46,2026-07-20T15:41:07.809949+00:00
1371373,completed,46,2026-07-20T15:49:27.025805+00:00
1371374,completed,46,2026-07-20T15:08:49.790232+00:00
1371378,completed,45,2026-07-20T15:46:51.479560+00:00
1371379,completed,45,2026-07-20T16:03:12.449508+00:00
1377227,completed,46,2026-07-20T16:23:06.260786+00:00
1377228,completed,46,2026-07-20T16:22:57.425528+00:00
1377400,completed,42,2026-07-20T15:04:50.682861+00:00
1377445,completed,46,2026-07-20T16:19:09.284384+00:00
1377446,completed,46,2026-07-20T16:20:07.847318+00:00
1377447,completed,46,2026-07-20T16:19:23.675619+00:00
1377448,completed,43,2026-07-20T16:20:11.862605+00:00
1377526,completed,46,2026-07-20T16:20:50.007546+00:00
1377527,completed,46,2026-07-20T16:20:51.035464+00:00
1377530,completed,46,2026-07-20T16:19:50.440835+00:00
1377534,completed,46,2026-07-20T16:25:16.350260+00:00
1377535,completed,46,2026-07-20T16:25:14.795643+00:00
1377536,completed,46,2026-07-20T16:03:38.021082+00:00
1377540,completed,40,2026-07-20T15:05:18.297949+00:00
1377864,completed,47,2026-07-20T15:35:54.570367+00:00
1377866,completed,47,2026-07-20T16:24:57.075775+00:00
1377868,completed,48,2026-07-20T15:45:33.207494+00:00
1377869,completed,44,2026-07-20T15:45:29.322461+00:00
1377870,completed,44,2026-07-20T15:46:57.712895+00:00
1377871,completed,46,2026-07-20T15:41:03.505904+00:00
1377872,completed,51,2026-07-20T15:39:23.703980+00:00
1377874,completed,48,2026-07-20T15:50:01.282548+00:00
1377875,completed,48,2026-07-20T16:19:51.459092+00:00
1377876,completed,45,2026-07-20T15:45:24.517174+00:00
1377877,completed,49,2026-07-20T15:46:50.525591+00:00
1377879,completed,45,2026-07-20T15:47:12.744195+00:00
1377880,completed,48,2026-07-20T15:40:27.531719+00:00
1377881,completed,48,2026-07-20T15:39:09.879324+00:00
1377882,completed,48,2026-07-20T15:48:55.352929+00:00
1377884,completed,46,2026-07-20T15:39:13.584933+00:00
1377886,completed,50,2026-07-20T16:24:49.888913+00:00
1377887,completed,49,2026-07-20T15:48:13.743243+00:00
1377888,completed,45,2026-07-20T15:37:30.410211+00:00
1377889,completed,44,2026-07-20T15:37:37.838901+00:00
1377891,completed,49,2026-07-20T15:48:09.409226+00:00
1377892,completed,48,2026-07-20T15:48:29.499555+00:00
1377896,completed,48,2026-07-20T16:22:43.105067+00:00
1377897,completed,51,2026-07-20T15:41:17.387352+00:00
1377900,completed,49,2026-07-20T15:46:37.549594+00:00
1377901,completed,46,2026-07-20T15:47:06.493450+00:00
1377902,completed,46,2026-07-20T15:46:49.087646+00:00
1377903,completed,47,2026-07-20T15:46:19.270134+00:00
1377904,completed,51,2026-07-20T15:50:09.607754+00:00
1377905,completed,48,2026-07-20T16:22:41.062798+00:00
1377907,completed,43,2026-07-20T15:35:38.044259+00:00
1377909,completed,43,2026-07-20T15:35:17.807839+00:00
1377913,completed,51,2026-07-20T15:48:20.900378+00:00
1377914,completed,40,2026-07-20T15:46:59.616376+00:00
1377917,completed,47,2026-07-20T15:47:32.421000+00:00
1377918,completed,42,2026-07-20T15:37:29.341290+00:00
1377920,completed,48,2026-07-20T15:48:15.176285+00:00
1377923,completed,51,2026-07-20T15:48:11.357103+00:00
1377924,completed,45,2026-07-20T15:36:24.471957+00:00
1377926,completed,44,2026-07-20T15:45:31.258685+00:00
1377930,completed,42,2026-07-20T15:46:59.142172+00:00
1377932,completed,48,2026-07-20T15:38:37.867200+00:00
1377933,completed,46,2026-07-20T15:39:24.237481+00:00
1377934,completed,45,2026-07-20T15:35:56.156876+00:00
1377936,completed,44,2026-07-20T15:45:56.310138+00:00
1377937,completed,43,2026-07-20T15:45:43.855304+00:00
1377938,completed,45,2026-07-20T15:35:36.977116+00:00
1377939,completed,48,2026-07-20T15:51:16.337499+00:00
1377940,completed,51,2026-07-20T15:46:11.108984+00:00
1377944,completed,43,2026-07-20T15:10:25.430356+00:00
1377945,completed,49,2026-07-20T15:49:45.746304+00:00
1377946,completed,49,2026-07-20T15:48:30.471316+00:00
1377947,completed,49,2026-07-20T16:02:12.186974+00:00
1377949,completed,48,2026-07-20T15:47:02.101762+00:00
1377950,completed,47,2026-07-20T15:47:09.866725+00:00
1377954,completed,43,2026-07-20T15:47:41.104600+00:00
1377957,completed,43,2026-07-20T15:47:14.689878+00:00
1377958,completed,51,2026-07-20T15:50:21.782356+00:00
1377960,completed,49,2026-07-20T15:48:08.449944+00:00
1377961,completed,50,2026-07-20T15:48:26.635355+00:00
1377962,completed,48,2026-07-20T15:38:32.540990+00:00
1377963,completed,47,2026-07-20T15:47:19.973554+00:00
1377964,completed,49,2026-07-20T15:38:03.235408+00:00
1377965,completed,48,2026-07-20T15:50:10.143989+00:00
1377966,completed,48,2026-07-20T15:51:23.512242+00:00
1377968,completed,43,2026-07-20T15:47:03.141749+00:00
1377969,completed,49,2026-07-20T15:45:10.975299+00:00
1377971,completed,45,2026-07-20T15:47:10.820286+00:00
1377976,completed,47,2026-07-20T15:45:54.878846+00:00
1377977,completed,43,2026-07-20T15:41:11.001884+00:00
1377979,completed,46,2026-07-20T15:34:58.552001+00:00
1377980,completed,46,2026-07-20T15:46:18.791967+00:00
1377981,completed,45,2026-07-20T15:48:03.621610+00:00
1377984,completed,47,2026-07-20T15:36:17.592782+00:00
1377986,completed,46,2026-07-20T15:45:46.247936+00:00
1377988,completed,47,2026-07-20T15:45:55.355094+00:00
1377990,completed,41,2026-07-20T15:50:04.255937+00:00
1377992,completed,47,2026-07-20T15:47:21.419464+00:00
1377993,completed,46,2026-07-20T15:40:22.678886+00:00
1377996,completed,48,2026-07-20T15:49:42.866368+00:00
1377998,completed,43,2026-07-20T15:37:50.127275+00:00
1378000,completed,45,2026-07-20T15:48:18.516350+00:00
1378001,completed,43,2026-07-20T15:41:20.564878+00:00
1378003,completed,48,2026-07-20T15:36:51.489453+00:00
1378004,completed,46,2026-07-20T15:36:59.514416+00:00
1378005,completed,48,2026-07-20T15:45:23.559159+00:00
1378009,completed,42,2026-07-20T15:41:18.975691+00:00
1378011,completed,46,2026-07-20T15:47:22.863587+00:00
1378015,completed,47,2026-07-20T15:46:45.740888+00:00
1378017,completed,43,2026-07-20T15:36:18.652164+00:00
1378018,completed,50,2026-07-20T15:48:17.559306+00:00
1378019,completed,48,2026-07-20T15:38:42.647616+00:00
1378022,completed,46,2026-07-20T15:47:29.547481+00:00
1378024,completed,46,2026-07-20T15:35:27.929317+00:00
1378025,completed,49,2026-07-20T15:47:20.943900+00:00
1378027,completed,47,2026-07-20T16:24:54.021093+00:00
1378028,completed,45,2026-07-20T15:50:00.131033+00:00
1378030,completed,47,2026-07-20T15:45:51.531484+00:00
1378034,completed,45,2026-07-20T15:35:14.596333+00:00
1378035,completed,48,2026-07-20T15:46:55.790814+00:00
1378036,completed,45,2026-07-20T16:22:41.575544+00:00
1378039,completed,49,2026-07-20T15:49:33.277131+00:00
1378040,completed,47,2026-07-20T15:45:53.442360+00:00
1378042,completed,49,2026-07-20T15:48:58.218967+00:00
1378044,completed,46,2026-07-20T15:34:42.510262+00:00
1378048,completed,45,2026-07-20T15:46:48.135291+00:00
1378050,completed,46,2026-07-20T15:47:20.448636+00:00
1378051,completed,48,2026-07-20T15:48:06.041400+00:00
1378052,completed,46,2026-07-20T15:45:12.941168+00:00
1378054,completed,44,2026-07-20T15:35:56.690086+00:00
1378055,completed,47,2026-07-20T15:50:10.700608+00:00
1378056,completed,44,2026-07-20T15:47:15.642903+00:00
1378058,completed,45,2026-07-20T15:45:30.290019+00:00
1378059,completed,47,2026-07-20T15:47:09.377375+00:00
1378061,completed,47,2026-07-20T15:48:56.308492+00:00
1378065,completed,46,2026-07-20T15:45:49.612740+00:00
1378067,completed,47,2026-07-20T16:24:56.056721+00:00
1378068,completed,48,2026-07-20T15:46:56.269490+00:00
1378071,completed,45,2026-07-20T15:35:55.629253+00:00
1378072,completed,43,2026-07-20T15:46:13.529358+00:00
1378073,completed,49,2026-07-20T15:48:15.653474+00:00
1378074,completed,47,2026-07-20T15:37:00.044834+00:00
1378075,completed,43,2026-07-20T15:47:24.771754+00:00
1378078,completed,48,2026-07-20T15:46:16.876874+00:00
1378079,completed,41,2026-07-20T15:45:13.898872+00:00
1378081,completed,44,2026-07-20T15:37:42.670706+00:00
1378082,completed,45,2026-07-20T15:49:09.313204+00:00
1378084,completed,44,2026-07-20T15:11:05.184611+00:00
1378086,completed,46,2026-07-20T15:35:47.111879+00:00
1378087,completed,41,2026-07-20T15:48:16.128916+00:00
1378090,completed,45,2026-07-20T15:47:30.990491+00:00
1378091,completed,48,2026-07-20T15:46:17.830504+00:00
1378094,completed,43,2026-07-20T15:49:46.225751+00:00
1378098,completed,47,2026-07-20T15:47:33.385345+00:00
1378100,completed,44,2026-07-20T15:45:26.445438+00:00
1378102,completed,49,2026-07-20T15:45:16.833272+00:00
1378105,completed,46,2026-07-20T16:24:50.396302+00:00
1378107,completed,46,2026-07-20T15:41:12.056798+00:00
1378108,completed,46,2026-07-20T15:40:17.321908+00:00
1378111,completed,46,2026-07-20T15:45:44.815247+00:00
1378112,completed,46,2026-07-20T15:49:45.271588+00:00
1378113,completed,47,2026-07-20T15:47:38.229256+00:00
1378114,completed,44,2026-07-20T16:00:38.175146+00:00
1378119,completed,44,2026-07-20T15:45:15.356376+00:00
1378120,completed,48,2026-07-20T15:48:29.974633+00:00
1378121,completed,45,2026-07-20T15:46:55.314790+00:00
1378122,completed,45,2026-07-20T15:47:28.590604+00:00
1378123,completed,48,2026-07-20T15:49:19.842288+00:00
1378124,completed,48,2026-07-20T16:02:14.768607+00:00
1378125,completed,43,2026-07-20T15:46:45.263157+00:00
1378126,completed,47,2026-07-20T15:51:06.267827+00:00
1378128,completed,49,2026-07-20T15:51:19.684144+00:00
1378129,completed,45,2026-07-20T15:37:49.067177+00:00
1378130,completed,46,2026-07-20T15:45:49.134688+00:00
1378134,completed,44,2026-07-20T15:50:37.197414+00:00
1378136,completed,48,2026-07-20T16:24:56.563686+00:00
1378138,completed,45,2026-07-20T15:48:51.061438+00:00
1378139,completed,48,2026-07-20T15:45:14.374614+00:00
1378140,completed,49,2026-07-20T15:49:04.043079+00:00
1378142,completed,44,2026-07-20T15:37:31.999214+00:00
1378143,completed,46,2026-07-20T15:48:18.035657+00:00
1378144,completed,47,2026-07-20T15:45:46.732981+00:00
1378146,completed,47,2026-07-20T15:34:34.553385+00:00
1378147,completed,42,2026-07-20T15:47:11.304134+00:00
1378148,completed,44,2026-07-20T15:49:12.675977+00:00
1378150,completed,50,2026-07-20T15:47:01.594185+00:00
1378152,completed,44,2026-07-20T15:45:34.649011+00:00
1378154,completed,47,2026-07-20T15:36:57.372224+00:00
1378156,completed,45,2026-07-20T15:48:55.832014+00:00
1378157,completed,49,2026-07-20T15:51:32.138482+00:00
1378158,completed,44,2026-07-20T15:47:03.618501+00:00
1378160,completed,46,2026-07-20T15:45:12.459020+00:00
1378161,completed,45,2026-07-20T15:41:23.756377+00:00
1378165,completed,45,2026-07-20T15:45:28.845911+00:00
1378166,completed,47,2026-07-20T15:47:28.114885+00:00
1378168,completed,46,2026-07-20T15:36:23.418167+00:00
1378169,completed,41,2026-07-20T15:37:36.251239+00:00
1378170,completed,49,2026-07-20T15:48:21.376881+00:00
1378171,completed,49,2026-07-20T15:48:19.946944+00:00
1378172,completed,44,2026-07-20T15:50:30.465537+00:00
1378174,completed,45,2026-07-20T15:35:23.127594+00:00
1378177,completed,49,2026-07-20T15:41:16.315960+00:00
1378179,completed,47,2026-07-20T15:48:08.928539+00:00
1378180,completed,47,2026-07-20T15:46:48.611421+00:00
1378181,completed,43,2026-07-20T15:48:52.492877+00:00
1378182,completed,48,2026-07-20T15:48:53.921717+00:00
1378185,completed,46,2026-07-20T15:50:12.649185+00:00
1378186,completed,45,2026-07-20T15:37:48.535043+00:00
1378188,completed,46,2026-07-20T15:49:06.926598+00:00
1378190,completed,44,2026-07-20T15:36:14.937777+00:00
1378191,completed,46,2026-07-20T15:45:30.772501+00:00
1378193,completed,47,2026-07-20T15:45:27.407026+00:00
1378195,completed,48,2026-07-20T15:36:56.837078+00:00
1378196,completed,46,2026-07-20T15:48:19.469808+00:00
1378197,completed,48,2026-07-20T15:51:10.107079+00:00
1378199,completed,46,2026-07-20T15:37:28.807574+00:00
1378200,completed,46,2026-07-20T15:49:07.881240+00:00
1378202,completed,48,2026-07-20T15:45:34.168033+00:00
1378204,completed,46,2026-07-20T15:36:56.310323+00:00
1378206,completed,45,2026-07-20T15:45:48.173980+00:00
1378208,completed,49,2026-07-20T15:47:27.158809+00:00
1378209,completed,45,2026-07-20T15:45:50.095457+00:00
1378211,completed,44,2026-07-20T15:48:53.444703+00:00
1378212,completed,47,2026-07-20T15:41:14.720915+00:00
1378217,completed,50,2026-07-20T15:47:39.669060+00:00
1378218,completed,48,2026-07-20T15:45:52.967145+00:00
1378219,completed,44,2026-07-20T15:09:52.313827+00:00
1378220,completed,45,2026-07-20T15:50:14.568173+00:00
1378221,completed,45,2026-07-20T15:48:52.015514+00:00
1378222,completed,50,2026-07-20T15:46:15.443071+00:00
1378223,completed,49,2026-07-20T15:51:21.600919+00:00
1378224,completed,46,2026-07-20T15:34:36.675708+00:00
1378226,completed,47,2026-07-20T16:20:47.966162+00:00
1378227,completed,47,2026-07-20T15:47:58.371782+00:00
1378228,completed,52,2026-07-20T15:48:58.693723+00:00
1378229,completed,48,2026-07-20T15:46:14.006296+00:00
1378230,completed,46,2026-07-20T15:46:35.632579+00:00
1378232,completed,50,2026-07-20T15:48:24.244448+00:00
1378234,completed,45,2026-07-20T15:47:00.582159+00:00
1378235,completed,48,2026-07-20T16:19:56.568232+00:00
1378236,completed,45,2026-07-20T15:39:15.200327+00:00
1378239,completed,52,2026-07-20T15:45:27.887994+00:00
