league_id,league_name,league_type,country,season,coverage_events,coverage_lineups,coverage_fixture_statistics,coverage_player_statistics,coverage_players,coverage_injuries,coverage_predictions,coverage_odds,coverage_standings,season_start,season_end
239,Primera A,League,Colombia,2026,True,True,True,True,True,False,True,True,True,2026-01-16,2026-11-08
242,Liga Pro,League,Ecuador,2025,True,True,True,True,True,False,True,False,True,2025-02-15,2025-12-21
242,Liga Pro,League,Ecuador,2026,True,True,True,True,True,False,True,True,True,2026-02-21,2026-09-13
244,Veikkausliiga,League,Finland,2025,True,True,True,True,True,True,True,False,True,2025-04-05,2025-11-09
244,Veikkausliiga,League,Finland,2026,True,True,True,True,True,False,True,True,True,2026-04-04,2026-08-31
250,Division Profesional - Apertura,League,Paraguay,2025,True,True,False,False,True,False,True,False,True,2025-01-24,2025-05-30
251,Division Intermedia,League,Paraguay,2025,True,True,False,False,True,False,True,False,True,2025-03-28,2025-10-05
252,Division Profesional - Clausura,League,Paraguay,2026,False,False,False,False,True,False,True,False,True,2026-07-24,2026-08-03
253,Major League Soccer,League,USA,2025,True,True,True,True,True,True,True,False,True,2025-02-22,2025-12-06
253,Major League Soccer,League,USA,2026,True,True,True,True,True,True,True,True,True,2026-02-21,2026-11-08
255,USL Championship,League,USA,2025,True,True,False,False,True,True,True,False,True,2025-03-09,2025-11-22
257,US Open Cup,Cup,USA,2025,True,True,False,False,True,False,True,False,False,2025-03-18,2025-10-02
257,US Open Cup,Cup,USA,2026,True,True,False,False,True,False,True,False,False,2026-03-17,2026-09-16
259,Canadian Championship,Cup,Canada,2025,True,True,False,False,True,False,True,False,False,2025-04-29,2025-10-02
262,Liga MX,League,Mexico,2025,True,True,True,True,True,True,True,False,True,2025-07-12,2026-05-24
262,Liga MX,League,Mexico,2026,True,True,True,True,True,False,True,True,True,2026-07-17,2026-11-23
265,Primera División,League,Chile,2025,True,True,True,True,True,True,True,False,True,2025-02-15,2025-12-07
265,Primera División,League,Chile,2026,True,True,True,True,True,False,True,True,True,2026-01-30,2026-12-06
267,Copa Chile,Cup,Chile,2025,True,True,False,False,True,False,True,False,False,2025-01-26,2025-12-10
270,Primera División - Clausura,League,Uruguay,2025,True,True,False,False,True,True,True,False,True,2025-07-06,2025-11-30
271,NB I,League,Hungary,2025,True,True,True,True,True,False,True,False,True,2025-07-25,2026-05-16
273,Magyar Kupa,Cup,Hungary,2025,True,True,False,False,True,False,True,False,False,2025-08-02,2026-05-09
283,Liga I,League,Romania,2025,True,True,True,True,True,True,True,False,True,2025-07-11,2026-06-01
286,Super Liga,League,Serbia,2025,True,True,True,True,True,False,True,False,True,2025-07-19,2026-05-23
288,Premier Soccer League,League,South-Africa,2025,True,True,True,True,True,True,True,False,True,2025-08-09,2026-06-13
290,Persian Gulf Pro League,League,Iran,2025,True,True,False,False,True,True,True,False,True,2025-08-18,2026-07-22
292,K League 1,League,South-Korea,2025,True,True,True,True,True,True,True,False,True,2025-02-15,2025-12-07
292,K League 1,League,South-Korea,2026,True,True,True,True,True,False,True,True,True,2026-02-28,2026-12-30
294,FA Cup,Cup,South-Korea,2025,True,True,False,False,True,False,True,False,False,2025-03-08,2025-12-06
296,Thai League 1,League,Thailand,2025,True,True,True,True,True,False,True,False,True,2025-08-15,2026-05-10
299,Primera División,League,Venezuela,2025,True,True,False,False,True,False,True,False,True,2025-01-24,2025-12-06
301,Pro League,League,United-Arab-Emirates,2025,True,True,True,True,True,True,True,False,True,2025-08-16,2026-05-16
302,League Cup,Cup,United-Arab-Emirates,2025,True,True,True,False,True,False,True,False,False,2025-08-30,2026-05-01
304,Liga Panameña de Fútbol,League,Panama,2025,True,True,True,False,True,False,True,False,True,2025-01-18,2025-11-29
305,Stars League,League,Qatar,2025,True,True,True,True,True,True,True,False,True,2025-08-14,2026-05-08
307,Pro League,League,Saudi-Arabia,2025,True,True,True,True,True,True,True,False,True,2025-08-28,2026-05-21
318,1. Division,League,Cyprus,2025,True,True,True,True,True,True,True,False,True,2025-08-22,2026-05-22
321,Cup,Cup,Cyprus,2025,True,True,False,False,True,False,True,False,False,2025-10-01,2026-05-29
332,Super Liga,League,Slovakia,2025,True,True,True,True,True,True,True,False,True,2025-07-26,2026-05-16
345,Czech Liga,League,Czech-Republic,2025,True,True,True,True,True,True,True,False,True,2025-07-18,2026-05-31
346,FNL,League,Czech-Republic,2025,True,True,False,False,True,True,True,False,True,2025-07-18,2026-05-23
357,Premier Division,League,Ireland,2025,True,True,True,True,True,True,True,False,True,2025-02-14,2025-11-07
357,Premier Division,League,Ireland,2026,True,True,True,True,True,False,True,True,True,2026-02-06,2026-10-30
359,FAI Cup,Cup,Ireland,2025,True,True,False,False,True,False,True,False,False,2025-05-11,2025-11-09
369,Super League,League,Uzbekistan,2025,True,True,False,False,True,False,True,False,True,2025-03-07,2025-12-16
373,1. SNL,League,Slovenia,2025,True,True,False,False,True,True,True,False,True,2025-07-18,2026-05-31
379,Ligue Haïtienne,League,Haiti,2025,False,False,False,False,True,False,True,False,True,2025-03-23,2025-05-30
383,Ligat Ha'al,League,Israel,2025,True,True,True,True,True,True,True,False,True,2025-08-23,2026-05-19
385,Toto Cup Ligat Al,Cup,Israel,2025,True,True,False,False,True,False,True,False,False,2025-07-19,2025-10-28
387,League,League,Jordan,2025,True,True,False,False,True,False,True,False,True,2025-07-31,2026-05-07
389,Premier League,League,Kazakhstan,2025,True,True,False,False,True,True,True,False,True,2025-03-01,2025-10-26
475,Paulista - A1,League,Brazil,2025,True,True,True,True,True,False,True,False,True,2025-01-15,2025-03-27
475,Paulista - A1,League,Brazil,2026,True,True,True,True,True,False,True,False,True,2026-01-10,2026-03-08
477,Gaúcho - 1,League,Brazil,2025,True,True,False,False,True,False,True,False,True,2025-01-22,2025-03-16
477,Gaúcho - 1,League,Brazil,2026,True,True,False,False,True,False,True,False,True,2026-01-10,2026-03-08
490,World Cup - U20,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-09-27,2025-10-19
493,UEFA U19 Championship,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-06-13,2025-06-26
495,Hazfi Cup,Cup,Iran,2025,True,True,False,False,True,False,True,False,False,2025-11-20,2026-01-12
504,King's Cup,Cup,Saudi-Arabia,2025,True,True,True,True,True,False,True,False,False,2024-09-22,2025-05-08
508,League Cup,Cup,South-Africa,2025,True,True,False,False,True,False,True,False,False,2025-10-03,2025-12-06
509,8 Cup,Cup,South-Africa,2025,True,True,False,False,True,False,True,False,False,2025-08-02,2025-09-13
516,Super Cup,Cup,Algeria,2025,True,True,False,False,True,False,True,False,False,2026-01-17,2026-01-17
517,Trofeo de Campeones de la Superliga,Cup,Argentina,2025,True,True,False,False,True,False,True,False,False,2024-12-21,2024-12-21
526,Trophée des Champions,Cup,France,2025,True,True,True,True,True,False,True,False,False,2026-01-08,2026-01-08
528,Community Shield,Cup,England,2025,True,True,True,True,True,True,True,False,False,2025-08-10,2025-08-10
529,Super Cup,Cup,Germany,2025,True,True,True,True,True,True,True,False,False,2025-08-16,2025-08-16
531,UEFA Super Cup,Cup,World,2025,True,True,True,True,True,True,True,False,False,2025-08-13,2025-08-13
533,CAF Super Cup,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-10-18,2025-10-18
539,Super Cup,Cup,Egypt,2025,True,True,False,False,True,False,True,False,False,2024-10-20,2024-10-24
547,Super Cup,Cup,Italy,2025,True,True,True,True,True,False,True,False,False,2025-12-18,2025-12-22
548,Super Cup,Cup,Japan,2025,True,True,False,False,True,False,True,False,False,2025-02-08,2025-02-08
550,Super Cup,Cup,Portugal,2025,True,True,False,False,True,False,True,False,False,2025-07-31,2025-07-31
551,Super Cup,Cup,Turkey,2025,True,True,True,True,True,False,True,False,False,2026-01-05,2026-01-10
556,Super Cup,Cup,Spain,2025,True,True,True,True,True,False,True,False,False,2026-01-07,2026-01-11
560,Presidents Cup,Cup,United-Arab-Emirates,2025,True,True,False,False,True,False,True,False,False,2025-09-13,2026-05-22
602,Baiano - 1,League,Brazil,2025,True,True,False,False,True,False,True,False,True,2025-01-11,2025-03-22
606,Paranaense - 1,League,Brazil,2025,True,True,False,False,True,False,True,False,True,2025-01-11,2025-03-29
612,Copa do Nordeste,Cup,Brazil,2025,True,True,False,False,True,False,True,False,False,2025-01-04,2025-09-07
624,Carioca - 1,League,Brazil,2025,True,True,True,True,True,False,True,False,True,2025-01-11,2025-03-16
624,Carioca - 1,League,Brazil,2026,True,True,True,True,True,False,True,False,True,2026-01-11,2026-03-08
628,Goiano - 1,League,Brazil,2025,True,True,False,False,True,False,True,False,True,2025-01-15,2025-03-30
629,Mineiro - 1,League,Brazil,2025,True,True,False,False,True,False,True,False,True,2025-01-18,2025-03-15
630,Matogrossense,League,Brazil,2025,True,False,False,False,True,False,True,False,True,2025-01-11,2025-03-29
632,Supercopa do Brasil,Cup,Brazil,2025,True,True,False,False,True,False,True,False,False,2025-02-02,2025-02-02
663,Super Cup,Cup,Russia,2025,True,True,False,False,True,False,True,False,False,2025-07-12,2025-07-12
667,Friendlies Clubs,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-01-03,2025-12-30
713,Superliga,Cup,Colombia,2025,True,True,False,False,True,False,True,False,False,2025-01-30,2025-02-07
714,Cup,Cup,Egypt,2025,True,True,False,False,True,False,True,False,False,2025-11-27,2026-05-10
727,Super Cup,Cup,Poland,2025,True,True,False,False,True,False,True,False,False,2025-07-13,2025-07-13
772,Leagues Cup,Cup,World,2025,True,True,True,True,True,True,True,False,False,2025-07-29,2025-09-01
773,Sudamericano U20,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-01-23,2025-02-16
802,Cup,Cup,Uzbekistan,2025,True,True,False,False,True,False,True,False,False,2025-04-01,2025-10-29
816,Shield Cup,Cup,Jordan,2025,True,False,False,False,True,False,True,False,False,2025-08-28,2025-12-20
824,Emir Cup,Cup,Qatar,2025,True,True,False,False,True,False,True,False,False,2025-04-21,2025-05-24
824,Emir Cup,Cup,Qatar,2026,True,True,False,False,True,False,True,False,False,2026-01-10,2026-05-09
826,Super Cup,Cup,Saudi-Arabia,2025,True,True,False,False,True,False,True,False,False,2024-08-13,2024-08-17
848,UEFA Europa Conference League,Cup,World,2025,True,True,True,True,True,True,True,False,True,2025-07-08,2026-05-27
850,UEFA U21 Championship - Qualification,Cup,World,2025,True,True,False,False,True,False,True,False,True,2023-03-24,2024-11-19
851,Carioca A2,League,Brazil,2026,True,False,False,False,True,False,True,False,True,2026-04-29,2026-07-04
852,Super Cup,Cup,Cyprus,2025,True,True,False,False,True,False,True,False,False,2025-10-30,2025-10-30
857,Campeón de Campeones,Cup,Mexico,2025,True,False,False,False,True,False,True,False,False,2025-07-21,2025-07-21
860,Arab Cup,Cup,World,2025,True,True,False,False,True,False,True,False,True,2025-11-25,2025-12-18
874,Australia Cup,Cup,Australia,2025,True,True,False,False,True,False,True,False,False,2025-05-13,2025-10-04
886,UEFA U17 Championship - Qualification,Cup,World,2025,True,True,False,False,True,False,True,False,False,2024-10-09,2025-06-10
893,UEFA U19 Championship - Qualification,Cup,World,2025,True,True,False,False,True,False,True,False,False,2024-10-09,2025-11-18
899,League Cup,Cup,Finland,2025,True,True,False,False,True,False,True,False,False,2025-01-11,2025-03-29
905,Super Cup,Cup,Iran,2025,True,True,False,False,True,False,True,False,False,2025-08-11,2025-08-11
909,MLS Next Pro,League,USA,2025,True,True,False,False,True,False,True,False,True,2025-03-07,2025-11-09
914,Tournoi Maurice Revello,Cup,World,2025,True,False,False,False,True,False,True,False,False,2025-06-03,2025-06-10
937,Emirates Cup,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-08-09,2025-08-09
965,AFC U20 Asian Cup,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-02-12,2025-03-01
1008,CAFA Nations Cup,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-08-29,2025-09-08
1022,Premier League - Summer Series,League,England,2025,False,False,False,False,True,False,True,False,False,2026-07-25,2026-08-02
1028,CONCACAF Central American Cup,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-07-30,2025-12-04
1038,King's Cup,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-09-04,2025-09-07
1087,Ykkösliiga,League,Finland,2025,True,True,False,False,True,False,True,False,True,2025-04-21,2025-10-26
1089,UAE-Qatar - Super Shield,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-01-18,2025-01-18
1095,USL League One Cup,League,USA,2025,True,True,False,False,True,False,True,False,False,2025-04-25,2025-10-05
1123,UAE-Qatar - Super Cup,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-01-17,2025-01-17
1123,UAE-Qatar - Super Cup,Cup,World,2026,True,True,False,False,True,False,True,False,False,2026-01-22,2026-01-25
1168,FIFA Intercontinental Cup,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-09-14,2025-12-17
1178,Super Copa International,Cup,Argentina,2025,True,True,False,False,True,False,True,False,False,2025-07-05,2025-07-05
1179,Copa do Brasil U17,Cup,Brazil,2025,True,False,False,False,True,False,True,False,False,2025-03-11,2025-05-05
1186,FIFA Club World Cup - Play-In,Cup,World,2025,True,True,False,False,True,False,True,False,False,2025-06-01,2025-06-01
1194,Super Cup,Cup,Tunisia,2025,True,True,False,False,True,False,True,False,False,2025-07-27,2025-08-03
1210,Super Cup,Cup,Greece,2026,True,True,False,False,True,False,True,False,False,2026-01-03,2026-01-03
