fixture_id,league_id,league_name,season,player_rows,lineup_rows,players_response_nonempty,lineups_response_nonempty
1469281,96,Taça de Portugal,2025,0,0,False,False
1542722,96,Taça de Portugal,2025,40,40,True,True
1324146,98,J1 League,2025,40,40,True,True
1324331,98,J1 League,2025,40,40,True,True
1501295,98,J1 League,2026,40,40,True,True
1546407,98,J1 League,2026,40,40,True,True
1342258,103,Eliteserien,2025,38,38,True,True
1342425,103,Eliteserien,2025,38,38,True,True
1494596,103,Eliteserien,2026,40,40,True,True
1494700,103,Eliteserien,2026,39,39,True,True
1380386,106,Ekstraklasa,2025,42,42,True,True
1380689,106,Ekstraklasa,2025,43,43,True,True
1342044,113,Allsvenskan,2025,40,40,True,True
1485785,113,Allsvenskan,2025,40,40,True,True
1494118,113,Allsvenskan,2026,40,40,True,True
1494215,113,Allsvenskan,2026,40,40,True,True
1497516,114,Superettan,2026,31,40,True,True
1497621,114,Superettan,2026,0,39,False,True
1379349,119,Superliga,2025,40,40,True,True
1545410,119,Superliga,2025,40,40,True,True
1374073,128,Liga Profesional Argentina,2025,46,46,True,True
1490750,128,Liga Profesional Argentina,2025,46,46,True,True
1491818,128,Liga Profesional Argentina,2026,44,44,True,True
1545443,128,Liga Profesional Argentina,2026,46,46,True,True
1377867,135,Serie A,2025,49,49,True,True
1378243,135,Serie A,2025,49,49,True,True
1419601,136,Serie B,2025,45,45,True,True
1419969,136,Serie B,2025,43,43,True,True
1393800,137,Coppa Italia,2025,51,51,True,True
1542548,137,Coppa Italia,2025,52,52,True,True
1390824,140,La Liga,2025,44,44,True,True
1391198,140,La Liga,2025,45,45,True,True
1391254,141,Segunda División,2025,46,46,True,True
1548054,141,Segunda División,2025,46,46,True,True
1480734,143,Copa del Rey,2025,0,43,False,True
1529694,143,Copa del Rey,2025,44,44,True,True
1382426,144,Jupiler Pro League,2025,40,40,True,True
1546340,144,Jupiler Pro League,2025,40,40,True,True
1392552,145,Challenger Pro League,2025,40,40,True,True
1392807,145,Challenger Pro League,2025,0,40,False,True
1523065,169,Super League,2026,46,46,True,True
1523197,169,Super League,2026,46,46,True,True
1388009,172,First League,2025,31,38,True,True
1546530,172,First League,2025,0,40,False,True
1382666,179,Premiership,2025,40,40,True,True
1540018,179,Premiership,2025,40,40,True,True
1469558,188,A-League,2025,36,36,True,True
1545369,188,A-League,2025,36,36,True,True
1400742,197,Super League 1,2025,44,44,True,True
1537107,197,Super League 1,2025,43,43,True,True
1394436,203,Süper Lig,2025,41,42,True,True
1394738,203,Süper Lig,2025,41,41,True,True
1398320,204,1. Lig,2025,42,42,True,True
1398691,204,1. Lig,2025,41,41,True,True
1484203,206,Türkiye Kupası,2025,0,0,False,False
1545069,206,Türkiye Kupası,2025,0,42,False,True
1382294,207,Super League,2025,40,40,True,True
1545231,207,Super League,2025,0,40,False,True
1383921,210,HNL,2025,46,46,True,True
1384094,210,HNL,2025,42,42,True,True
1390027,218,Bundesliga,2025,40,40,True,True
1545407,218,Bundesliga,2025,40,40,True,True
1418747,233,Premier League,2025,40,40,True,True
1533659,233,Premier League,2025,40,40,True,True
1400031,235,Premier League,2025,46,46,True,True
1545415,235,Premier League,2025,45,45,True,True
1377764,239,Primera A,2025,36,36,True,True
1490830,239,Primera A,2025,40,40,True,True
1498262,239,Primera A,2026,38,38,True,True
1546413,239,Primera A,2026,40,40,True,True
1338424,242,Liga Pro,2025,45,44,True,True
1479593,242,Liga Pro,2025,46,46,True,True
1519262,242,Liga Pro,2026,45,45,True,True
1519400,242,Liga Pro,2026,0,40,False,True
1342725,244,Veikkausliiga,2025,31,39,True,True
1457319,244,Veikkausliiga,2025,32,40,True,True
1495644,244,Veikkausliiga,2026,32,40,True,True
1495729,244,Veikkausliiga,2026,27,40,True,True
1326471,253,Major League Soccer,2025,40,40,True,True
1488536,253,Major League Soccer,2025,40,40,True,True
1490775,253,Major League Soccer,2026,40,40,True,True
1490328,253,Major League Soccer,2026,39,39,True,True
1379481,262,Liga MX,2025,42,42,True,True
1545451,262,Liga MX,2025,42,42,True,True
1550895,262,Liga MX,2026,40,40,True,True
1339110,265,Primera División,2025,36,36,True,True
1339245,265,Primera División,2025,36,36,True,True
1505354,265,Primera División,2026,40,41,True,True
1505465,265,Primera División,2026,0,40,False,True
1380175,271,NB I,2025,46,46,True,True
1380369,271,NB I,2025,46,46,True,True
1385757,283,Liga I,2025,42,42,True,True
1546371,283,Liga I,2025,45,45,True,True
1384891,286,Super Liga,2025,44,44,True,True
1540321,286,Super Liga,2025,44,44,True,True
1424021,288,Premier Soccer League,2025,40,40,True,True
1429711,288,Premier Soccer League,2025,40,40,True,True
1340803,292,K League 1,2025,0,40,False,True
1482497,292,K League 1,2025,40,40,True,True
1506896,292,K League 1,2026,40,40,True,True
1506997,292,K League 1,2026,0,40,False,True
1404268,296,Thai League 1,2025,0,46,False,True
1491304,296,Thai League 1,2025,0,46,False,True
1415916,301,Pro League,2025,0,44,False,True
1544969,301,Pro League,2025,0,44,False,True
1393729,305,Stars League,2025,0,46,False,True
1497478,305,Stars League,2025,46,46,True,True
1435914,307,Pro League,2025,39,39,True,True
1438977,307,Pro League,2025,40,40,True,True
1415589,318,1. Division,2025,0,46,False,True
1543784,318,1. Division,2025,0,46,False,True
1384101,332,Super Liga,2025,40,40,True,True
1528532,332,Super Liga,2025,0,38,False,True
1384652,345,Czech Liga,2025,43,43,True,True
1542836,345,Czech Liga,2025,38,38,True,True
1340613,357,Premier Division,2025,40,40,True,True
1340699,357,Premier Division,2025,40,40,True,True
1492620,357,Premier Division,2026,40,40,True,True
1492735,357,Premier Division,2026,30,40,True,True
1389594,383,Ligat Ha'al,2025,0,39,False,True
1540731,383,Ligat Ha'al,2025,40,40,True,True
1500511,475,Paulista - A1,2026,45,45,True,True
1528825,475,Paulista - A1,2026,46,46,True,True
1501283,526,Trophée des Champions,2025,40,40,True,True
1381189,528,Community Shield,2025,40,40,True,True
1377540,529,Super Cup,2025,40,40,True,True
1377400,531,UEFA Super Cup,2025,42,42,True,True
1482100,533,CAF Super Cup,2025,40,40,True,True
1491502,547,Super Cup,2025,49,49,True,True
1495114,547,Super Cup,2025,52,52,True,True
1502168,551,Super Cup,2025,42,42,True,True
1503186,551,Super Cup,2025,42,42,True,True
1405523,556,Super Cup,2025,44,44,True,True
1503770,556,Super Cup,2025,44,44,True,True
1500877,624,Carioca - 1,2026,43,46,True,True
1528849,624,Carioca - 1,2026,46,46,True,True
1351423,772,Leagues Cup,2025,38,46,True,True
1449981,772,Leagues Cup,2025,45,45,True,True
1383477,848,UEFA Europa Conference League,2025,0,43,False,True
1544608,848,UEFA Europa Conference League,2025,44,44,True,True
1467392,1168,FIFA Intercontinental Cup,2025,45,45,True,True
1491683,1168,FIFA Intercontinental Cup,2025,47,47,True,True
