league_id,season,league_name,league_type,country,usable_detailed,players,reported_minutes
239,2026,Primera A,League,Colombia,True,1,1086.0
937,2025,Emirates Cup,Cup,World,False,14,1081.0
296,2025,Thai League 1,League,Thailand,True,1,1003.0
80,2025,3. Liga,League,Germany,True,3,999.0
773,2025,Sudamericano U20,Cup,World,False,3,939.0
46,2025,EFL Trophy,Cup,England,True,6,791.0
244,2025,Veikkausliiga,League,Finland,True,1,727.0
857,2025,Campeón de Campeones,Cup,Mexico,False,8,684.0
1186,2025,FIFA Club World Cup - Play-In,Cup,World,False,6,577.0
602,2025,Baiano - 1,League,Brazil,False,1,478.0
886,2025,UEFA U17 Championship - Qualification,Cup,World,False,3,470.0
259,2025,Canadian Championship,Cup,Canada,False,12,441.0
101,2025,J-League Cup,Cup,Japan,False,6,437.0
893,2025,UEFA U19 Championship - Qualification,Cup,World,False,4,370.0
262,2026,Liga MX,League,Mexico,True,6,368.0
294,2025,FA Cup,Cup,South-Korea,False,12,315.0
874,2025,Australia Cup,Cup,Australia,False,15,270.0
114,2026,Superettan,League,Sweden,True,1,254.0
533,2025,CAF Super Cup,Cup,World,True,4,196.0
1089,2025,UAE-Qatar - Super Shield,Cup,World,False,4,195.0
899,2025,League Cup,Cup,Finland,False,1,180.0
244,2026,Veikkausliiga,League,Finland,True,1,180.0
237,2025,Cup,Cup,Russia,False,4,180.0
909,2025,MLS Next Pro,League,USA,False,1,114.0
663,2025,Super Cup,Cup,Russia,False,3,114.0
220,2025,Cup,Cup,Austria,False,2,106.0
359,2025,FAI Cup,Cup,Ireland,False,1,90.0
385,2025,Toto Cup Ligat Al,Cup,Israel,False,1,90.0
1178,2025,Super Copa International,Cup,Argentina,False,1,90.0
162,2025,Primera División,League,Costa-Rica,False,1,90.0
2,2026,UEFA Champions League,Cup,World,True,1,90.0
234,2025,Liga Nacional,League,Honduras,False,1,90.0
550,2025,Super Cup,Cup,Portugal,False,2,90.0
539,2025,Super Cup,Cup,Egypt,False,3,90.0
389,2025,Premier League,League,Kazakhstan,False,1,89.0
182,2025,Challenge Cup,Cup,Scotland,False,1,86.0
1087,2025,Ykkösliiga,League,Finland,False,1,83.0
1028,2025,CONCACAF Central American Cup,Cup,World,False,1,62.0
346,2025,FNL,League,Czech-Republic,False,1,38.0
1095,2025,USL League One Cup,League,USA,False,1,23.0
493,2025,UEFA U19 Championship,Cup,World,False,1,23.0
713,2025,Superliga,Cup,Colombia,False,1,21.0
200,2025,Botola Pro,League,Morocco,False,1,0.0
199,2025,Cup,Cup,Greece,False,3,0.0
202,2025,Ligue 1,League,Tunisia,False,2,0.0
186,2025,Ligue 1,League,Algeria,False,3,0.0
147,2025,Cup,Cup,Belgium,False,1,0.0
104,2025,1. Division,League,Norway,False,1,0.0
99,2025,J2 League,League,Japan,False,2,0.0
102,2025,Emperor Cup,Cup,Japan,False,1,0.0
67,2025,National 2 - Group A,League,France,False,1,0.0
63,2025,National 1,League,France,False,1,0.0
321,2025,Cup,Cup,Cyprus,False,1,0.0
302,2025,League Cup,Cup,United-Arab-Emirates,False,1,0.0
257,2026,US Open Cup,Cup,USA,False,1,0.0
251,2025,Division Intermedia,League,Paraguay,False,1,0.0
373,2025,1. SNL,League,Slovenia,False,1,0.0
273,2025,Magyar Kupa,Cup,Hungary,False,1,0.0
516,2025,Super Cup,Cup,Algeria,False,1,0.0
508,2025,League Cup,Cup,South-Africa,False,1,0.0
504,2025,King's Cup,Cup,Saudi-Arabia,True,3,0.0
495,2025,Hazfi Cup,Cup,Iran,False,1,0.0
477,2026,Gaúcho - 1,League,Brazil,False,1,0.0
379,2025,Ligue Haïtienne,League,Haiti,False,1,0.0
387,2025,League,League,Jordan,False,1,0.0
477,2025,Gaúcho - 1,League,Brazil,False,2,0.0
551,2025,Super Cup,Cup,Turkey,True,16,0.0
560,2025,Presidents Cup,Cup,United-Arab-Emirates,False,2,0.0
517,2025,Trofeo de Campeones de la Superliga,Cup,Argentina,False,1,0.0
727,2025,Super Cup,Cup,Poland,False,1,0.0
628,2025,Goiano - 1,League,Brazil,False,1,0.0
630,2025,Matogrossense,League,Brazil,False,1,0.0
606,2025,Paranaense - 1,League,Brazil,False,1,0.0
612,2025,Copa do Nordeste,Cup,Brazil,False,1,0.0
824,2025,Emir Cup,Cup,Qatar,False,1,0.0
816,2025,Shield Cup,Cup,Jordan,False,1,0.0
714,2025,Cup,Cup,Egypt,False,1,0.0
852,2025,Super Cup,Cup,Cyprus,False,1,0.0
824,2026,Emir Cup,Cup,Qatar,False,1,0.0
851,2026,Carioca A2,League,Brazil,False,1,0.0
860,2025,Arab Cup,Cup,World,False,7,0.0
826,2025,Super Cup,Cup,Saudi-Arabia,False,2,0.0
914,2025,Tournoi Maurice Revello,Cup,World,False,2,0.0
905,2025,Super Cup,Cup,Iran,False,2,0.0
1008,2025,CAFA Nations Cup,Cup,World,False,5,0.0
1123,2026,UAE-Qatar - Super Cup,Cup,World,False,1,0.0
1123,2025,UAE-Qatar - Super Cup,Cup,World,False,1,0.0
1179,2025,Copa do Brasil U17,Cup,Brazil,False,16,0.0
1194,2025,Super Cup,Cup,Tunisia,False,2,0.0
1210,2026,Super Cup,Cup,Greece,False,1,0.0
