player_id,player_name,world_cup_team_id,world_cup_team,squad_position,age,number,has_2025_statistics,has_2026_statistics,failed_2025_query,failed_2026_query,competition_stat_lines,reported_minutes_across_lines
264,T. Meunier,1,Belgium,Defender,34,15,True,True,False,False,6,3124.0
271,L. Paredes,26,Argentina,Midfielder,31,5,True,True,False,False,8,4285.0
272,A. Rabiot,2,France,Midfielder,30,14,True,True,False,False,6,3658.0
276,Neymar,6,Brazil,Attacker,33,10,True,True,False,False,9,3682.0
278,Kylian Mbappé,2,France,Attacker,27,10,True,True,False,False,7,4582.0
280,Alisson Becker,6,Brazil,Goalkeeper,33,1,True,True,False,False,8,4566.0
289,A. Robertson,1108,Scotland,Defender,31,3,True,True,False,False,9,2766.0
290,V. van Dijk,1118,Netherlands,Defender,34,4,True,True,False,False,7,5711.0
292,J. Henderson,10,England,Midfielder,35,14,True,True,False,False,6,2262.0
299,Fabinho,6,Brazil,Midfielder,32,17,True,True,False,False,6,5291.0
304,S. Mané,13,Senegal,Midfielder,33,10,True,True,False,False,7,4360.0
306,Mohamed Salah,32,Egypt,Attacker,33,10,True,True,False,False,8,4285.0
313,D. Ospina,8,Colombia,Goalkeeper,37,1,True,True,False,False,9,4820.0
318,K. Koulibaly,13,Senegal,Defender,34,3,True,True,False,False,6,3136.0
328,Fabián Ruiz,9,Spain,Midfielder,29,8,True,True,False,False,8,2715.0
369,Diogo Costa,27,Portugal,Goalkeeper,26,1,True,True,False,False,6,7705.0
375,C. Mbemba,1508,Congo DR,Defender,31,22,True,True,False,False,7,2621.0
399,A. Nübel,25,Germany,Goalkeeper,29,21,True,True,False,False,6,4641.0
409,N. Bentaleb,1532,Algeria,Midfielder,31,19,True,True,False,False,7,2702.0
415,W. McKennie,2384,USA,Midfielder,27,8,True,True,False,False,7,4961.0
417,A. Schöpf,775,Austria,Midfielder,31,26,True,True,False,False,6,2155.0
421,B. Embolo,15,Switzerland,Attacker,28,7,True,True,False,False,6,3139.0
427,H. Wright,2384,USA,Attacker,27,19,True,True,False,False,7,2923.0
429,F. Muslera,7,Uruguay,Goalkeeper,39,23,True,True,False,False,8,4102.0
440,Y. Nagatomo,12,Japan,Defender,39,5,True,True,False,False,9,2321.0
454,Y. Akgün,777,Türkiye,Midfielder,25,19,True,True,False,False,7,2658.0
497,M. Neuer,25,Germany,Goalkeeper,39,1,True,True,False,False,8,4320.0
502,J. Kimmich,25,Germany,Defender,30,6,True,True,False,False,8,5132.0
505,D. Alaba,775,Austria,Defender,33,8,True,True,False,False,7,941.0
509,A. Davies,5529,Canada,Defender,25,19,True,True,False,False,6,1076.0
511,L. Goretzka,25,Germany,Midfielder,30,8,True,True,False,False,8,2748.0
517,J. Rodríguez,8,Colombia,Attacker,34,10,True,True,False,False,7,3427.0
524,D. Kotarski,3,Croatia,Goalkeeper,25,23,True,True,False,False,5,4111.0
529,N. Tagliafico,26,Argentina,Defender,33,3,True,True,False,False,7,3844.0
538,F. de Jong,1118,Netherlands,Midfielder,28,21,True,True,False,False,7,3137.0
542,R. Gravenberch,1118,Netherlands,Midfielder,23,8,True,True,False,False,7,4785.0
544,N. Lang,1118,Netherlands,Attacker,26,17,True,True,False,False,10,2027.0
545,N. Mazraoui,31,Morocco,Defender,28,3,True,True,False,False,7,2775.0
563,Álex Grimaldo,9,Spain,Defender,30,3,True,True,False,False,6,4263.0
567,Rúben Dias,27,Portugal,Defender,28,3,True,True,False,False,8,3579.0
583,João Félix,27,Portugal,Midfielder,26,11,True,True,False,False,4,3587.0
617,Ederson,6,Brazil,Goalkeeper,32,23,True,True,False,False,10,4226.0
618,Danilo,6,Brazil,Defender,34,13,True,True,False,False,16,7942.0
619,Eric García,9,Spain,Defender,24,4,True,True,False,False,6,3998.0
622,Aymeric Laporte,9,Spain,Defender,31,14,True,True,False,False,6,3198.0
624,N. Otamendi,26,Argentina,Defender,37,19,True,True,False,False,9,6580.0
626,J. Stones,10,England,Defender,31,5,True,True,False,False,9,1685.0
629,K. De Bruyne,1,Belgium,Midfielder,34,7,True,True,False,False,4,2036.0
635,R. Mahrez,1532,Algeria,Midfielder,34,7,True,True,False,False,7,3891.0
636,Bernardo Silva,27,Portugal,Midfielder,31,10,True,True,False,False,8,4452.0
637,F. Nmecha,25,Germany,Midfielder,25,23,True,True,False,False,7,4103.0
644,L. Sané,25,Germany,Midfielder,30,19,True,True,False,False,8,3782.0
658,H. Aouar,1532,Algeria,Attacker,27,8,True,True,False,False,5,2930.0
667,M. Depay,1118,Netherlands,Attacker,31,10,True,True,False,False,10,4158.0
702,O. Baumann,25,Germany,Goalkeeper,35,12,True,True,False,False,4,3540.0
706,J. Brenet,5530,Curaçao,Defender,31,20,True,True,False,False,7,2731.0
711,S. Posch,775,Austria,Defender,28,5,True,True,False,False,7,2744.0
714,N. Amiri,25,Germany,Midfielder,29,20,True,True,False,False,5,2899.0
719,F. Grillitsch,775,Austria,Midfielder,30,10,True,True,False,False,4,1951.0
726,A. Kramaric,3,Croatia,Midfielder,34,9,True,True,False,False,4,2555.0
730,T. Courtois,1,Belgium,Goalkeeper,33,1,True,True,False,False,6,5280.0
732,L. Zidane,1532,Algeria,Goalkeeper,27,23,True,True,False,False,5,3273.0
744,Brahim Díaz,31,Morocco,Midfielder,26,10,True,True,False,False,8,3132.0
747,Casemiro,6,Brazil,Midfielder,33,5,True,True,False,False,9,4863.0
750,Álvaro Fidalgo,16,Mexico,Midfielder,28,8,True,True,False,False,11,3372.0
753,Marcos Llorente,9,Spain,Midfielder,30,5,True,True,False,False,7,4249.0
754,L. Modric,3,Croatia,Midfielder,40,10,True,True,False,False,7,3574.0
756,F. Valverde,7,Uruguay,Midfielder,27,8,True,True,False,False,7,5892.0
762,Vinícius Júnior,6,Brazil,Midfielder,25,7,True,True,False,False,9,6562.0
790,E. Dzeko,1113,Bosnia & Herzegovina,Attacker,39,11,True,True,False,False,6,5088.0
792,J. Kluivert,1118,Netherlands,Attacker,26,7,True,True,False,False,5,1165.0
794,P. Schick,770,Czech Republic,Attacker,29,10,True,True,False,False,6,3159.0
818,T. Chorý,770,Czech Republic,Attacker,30,19,True,True,False,False,4,2423.0
842,N. Vlasic,3,Croatia,Midfielder,28,13,True,True,False,False,4,3616.0
855,João Cancelo,27,Portugal,Defender,31,20,True,True,False,False,8,2865.0
860,Alex Sandro,6,Brazil,Defender,34,6,True,True,False,False,15,6694.0
863,R. Bentancur,7,Uruguay,Midfielder,28,6,True,True,False,False,8,3803.0
874,Cristiano Ronaldo,27,Portugal,Attacker,40,7,True,True,False,False,5,3861.0
886,Diogo Dalot,27,Portugal,Defender,26,5,True,True,False,False,5,3039.0
889,V. Lindelöf,5,Sweden,Midfielder,31,3,True,True,False,False,6,2303.0
903,S. McTominay,1108,Scotland,Attacker,29,4,True,True,False,False,7,4242.0
906,T. Chong,5530,Curaçao,Midfielder,26,21,True,True,False,False,7,1362.0
907,R. Lukaku,1,Belgium,Attacker,32,9,True,True,False,False,6,355.0
909,M. Rashford,10,England,Attacker,28,11,True,True,False,False,8,3099.0
925,Gonçalo Guedes,27,Portugal,Attacker,29,19,True,True,False,False,4,2411.0
927,Lee Kang-In,17,South Korea,Attacker,24,19,True,True,False,False,9,3738.0
931,Ferran Torres,9,Spain,Midfielder,25,7,True,True,False,False,7,3088.0
951,M. Aebischer,15,Switzerland,Midfielder,28,20,True,True,False,False,6,3771.0
952,C. Fassnacht,15,Switzerland,Midfielder,32,16,True,True,False,False,4,2821.0
957,D. Sow,15,Switzerland,Midfielder,28,15,True,True,False,False,5,2785.0
972,J. Tah,25,Germany,Defender,29,4,True,True,False,False,8,5066.0
978,K. Havertz,25,Germany,Attacker,26,7,True,True,False,False,8,1652.0
1084,M. Pongracic,3,Croatia,Defender,28,3,True,True,False,False,6,5594.0
1095,X. Schlager,775,Austria,Midfielder,28,4,True,True,False,False,4,2446.0
1100,E. Haaland,1090,Norway,Attacker,25,9,True,True,False,False,9,5118.0
1106,C. Gordon,1108,Scotland,Goalkeeper,43,21,True,True,False,False,4,843.0
1111,J. Hendry,1108,Scotland,Defender,30,13,True,True,False,False,4,3103.0
1115,A. Ralston,1108,Scotland,Defender,27,24,True,True,False,False,6,1772.0
1117,K. Tierney,1108,Scotland,Midfielder,28,6,True,True,False,False,6,3708.0
1119,K. Ajer,1090,Norway,Defender,27,3,True,True,False,False,6,3030.0
1125,R. Christie,1108,Scotland,Midfielder,30,11,True,True,False,False,6,1956.0
1138,T. Weah,2384,USA,Attacker,25,21,True,True,False,False,9,3633.0
1142,Y. Mvogo,15,Switzerland,Goalkeeper,31,12,True,True,False,False,5,3015.0
1145,I. Konaté,2,France,Defender,26,15,True,True,False,False,7,4547.0
1149,D. Upamecano,2,France,Defender,27,4,True,True,False,False,8,4452.0
1150,T. Adams,2384,USA,Midfielder,27,4,True,True,False,False,7,2773.0
1157,K. Laimer,775,Austria,Defender,28,20,True,True,False,False,8,4131.0
1159,M. Sabitzer,775,Austria,Midfielder,31,9,True,True,False,False,7,3419.0
1165,Matheus Cunha,6,Brazil,Attacker,26,9,True,True,False,False,9,3681.0
1231,V. Coufal,770,Czech Republic,Midfielder,33,5,True,True,False,False,4,3727.0
1237,J. Zelený,770,Czech Republic,Midfielder,33,20,True,True,False,False,4,2496.0
1243,T. Soucek,770,Czech Republic,Midfielder,30,22,True,True,False,False,5,2700.0
1257,J. Koundé,2,France,Defender,27,5,True,True,False,False,7,4340.0
1271,A. Tchouaméni,2,France,Midfielder,25,8,True,True,False,False,7,5020.0
1290,G. Varela,7,Uruguay,Defender,32,13,True,True,False,False,15,5704.0
1305,D. Livakovic,3,Croatia,Goalkeeper,31,1,True,True,False,False,9,2271.0
1322,N. Moro,3,Croatia,Midfielder,27,7,True,True,False,False,6,2779.0
1323,Dani Olmo,9,Spain,Midfielder,27,10,True,True,False,False,7,3408.0
1324,I. Sunjic,1113,Bosnia & Herzegovina,Midfielder,29,14,True,True,False,False,4,2938.0
1361,F. Kadioglu,777,Türkiye,Defender,26,20,True,True,False,False,4,3676.0
1411,H. Delcroix,2386,Haiti,Defender,26,5,True,True,False,False,5,1750.0
1417,A. Saelemaekers,1,Belgium,Attacker,26,22,True,True,False,False,6,3316.0
1422,J. Doku,1,Belgium,Midfielder,23,11,True,True,False,False,8,4019.0
1424,E. Kayembe,1508,Congo DR,Midfielder,27,25,True,True,False,False,6,2973.0
1442,S. Kolasinac,1113,Bosnia & Herzegovina,Defender,32,5,True,True,False,False,5,2790.0
1460,B. Saka,10,England,Midfielder,24,7,True,True,False,False,9,3928.0
1464,G. Xhaka,15,Switzerland,Midfielder,33,10,True,True,False,False,5,3946.0
1485,Bruno Fernandes,27,Portugal,Midfielder,31,8,True,True,False,False,7,4783.0
1494,Jovane Cabral,1533,Cape Verde Islands,Midfielder,27,7,True,True,False,False,4,3320.0
1496,Raphinha,6,Brazil,Midfielder,29,11,True,True,False,False,8,3660.0
1567,A. Mandi,1532,Algeria,Defender,34,2,True,True,False,False,7,4294.0
1578,G. Lo Celso,26,Argentina,Midfielder,29,11,True,True,False,False,7,2394.0
1590,José Sá,27,Portugal,Goalkeeper,32,12,True,True,False,False,4,2248.0
1631,R. Rodríguez,15,Switzerland,Defender,33,13,True,True,False,False,6,3273.0
1640,H. Çalhanoglu,777,Türkiye,Midfielder,31,10,True,True,False,False,9,2898.0
1642,F. Kessié,1501,Ivory Coast,Midfielder,29,8,True,True,False,False,7,4046.0
1646,Lucas Paquetá,6,Brazil,Midfielder,28,20,True,True,False,False,10,3851.0
1719,M. Müldür,777,Türkiye,Defender,26,18,True,True,False,False,9,2516.0
1725,D. Ljubičić,775,Austria,Midfielder,26,19,True,True,False,False,4,2706.0
1741,N. Katic,1113,Bosnia & Herzegovina,Defender,29,18,True,True,False,False,4,3129.0
1807,E. Ndicka,1501,Ivory Coast,Defender,26,21,True,True,False,False,8,7332.0
1864,Pedro Neto,27,Portugal,Midfielder,25,18,True,True,False,False,9,5367.0
1902,D. Caleta-Car,3,Croatia,Defender,29,5,True,True,False,False,4,2541.0
1929,J. Lucumí,8,Colombia,Defender,27,3,True,True,False,False,8,5780.0
1934,S. Berge,1090,Norway,Midfielder,27,8,True,True,False,False,6,3916.0
1942,J. Ito,12,Japan,Attacker,32,14,True,True,False,False,6,3139.0
1946,L. Trossard,1,Belgium,Midfielder,31,10,True,True,False,False,8,3560.0
2001,C. Larin,5529,Canada,Attacker,30,9,True,True,False,False,11,2043.0
2032,J. Strand Larsen,1090,Norway,Attacker,25,11,True,True,False,False,8,3340.0
2098,G. Ochoa,16,Mexico,Goalkeeper,40,13,True,True,False,False,4,777.0
2120,N. Raskin,1,Belgium,Midfielder,24,23,True,True,False,False,7,5697.0
2194,R. Bensebaïni,1532,Algeria,Defender,30,21,True,True,False,False,9,4235.0
2218,I. Sarr,13,Senegal,Midfielder,27,18,True,True,False,False,8,4521.0
2252,T. Holes,770,Czech Republic,Defender,32,3,True,True,False,False,4,2436.0
2285,A. Rüdiger,25,Germany,Defender,32,2,True,True,False,False,6,2847.0
2290,N. Kanté,2,France,Midfielder,34,13,True,True,False,False,10,4147.0
2291,M. Kovacic,3,Croatia,Midfielder,31,8,True,True,False,False,8,681.0
2331,Stopira,1533,Cape Verde Islands,Defender,37,2,True,True,False,False,4,848.0
2410,Weverton,6,Brazil,Goalkeeper,38,12,True,True,False,False,13,7181.0
2465,J. Musso,26,Argentina,Goalkeeper,31,1,True,True,False,False,7,1739.0
2467,Lisandro Martínez,26,Argentina,Defender,27,6,True,True,False,False,6,2534.0
2468,G. Montiel,26,Argentina,Defender,28,4,True,True,False,False,10,4694.0
2472,R. De Paul,26,Argentina,Midfielder,31,7,True,True,False,False,9,5168.0
2481,Á. Montero,8,Colombia,Goalkeeper,30,24,True,True,False,False,9,4277.0
2482,C. Vargas,8,Colombia,Goalkeeper,36,12,True,True,False,False,6,4992.0
2483,D. Machado,8,Colombia,Defender,32,22,True,True,False,False,7,2026.0
2484,Y. Mina,8,Colombia,Defender,31,13,True,True,False,False,6,2834.0
2489,L. Díaz,8,Colombia,Midfielder,28,7,True,True,False,False,8,6514.0
2490,J. Lerma,8,Colombia,Midfielder,31,16,True,True,False,False,8,4489.0
2499,J. Alonso,2380,Paraguay,Defender,32,6,True,True,False,False,11,8456.0
2500,F. Balbuena,2380,Paraguay,Defender,34,5,True,True,False,False,7,1843.0
2502,G. Gómez,2380,Paraguay,Defender,32,15,True,True,False,False,13,9607.0
2507,M. Almirón,2380,Paraguay,Midfielder,31,10,True,True,False,False,7,5522.0
2514,A. Romero,2380,Paraguay,Attacker,30,17,True,True,False,False,5,1595.0
2522,A. Sanabria,2380,Paraguay,Attacker,29,9,True,True,False,False,5,1912.0
2530,Pedro Miguel,1569,Qatar,Defender,35,2,True,True,False,False,7,2728.0
2532,Boualem Khoukhi,1569,Qatar,Defender,35,16,True,True,False,False,6,2697.0
2533,Abdulaziz Hatem,1569,Qatar,Midfielder,35,6,True,True,False,False,5,1047.0
2535,Assim Madibo,1569,Qatar,Midfielder,29,23,True,True,False,False,6,1161.0
2537,Karim Boudiaf,1569,Qatar,Midfielder,35,12,True,True,False,False,6,899.0
2539,Ahmed Fathi,1569,Qatar,Midfielder,32,20,True,True,False,False,5,2174.0
2542,Ahmed Alaa,1569,Qatar,Attacker,32,7,True,True,False,False,5,706.0
2543,Almoez Ali,1569,Qatar,Attacker,29,19,True,True,False,False,6,1920.0
2544,Akram Afif,1569,Qatar,Attacker,29,11,True,True,False,False,7,3842.0
2545,Hassan Al Haydos,1569,Qatar,Attacker,35,10,True,True,False,False,7,505.0
2575,J. Porozo,2382,Ecuador,Defender,25,25,True,True,False,False,6,3784.0
2583,A. Preciado,2382,Ecuador,Defender,27,17,True,True,False,False,9,3039.0
2597,T. Tomiyasu,12,Japan,Defender,27,22,True,True,False,False,4,680.0
2598,R. Doan,12,Japan,Attacker,27,10,True,True,False,False,7,4566.0
2601,D. Kamada,12,Japan,Attacker,29,15,True,True,False,False,8,4544.0
2612,G. de Arrascaeta,7,Uruguay,Midfielder,31,10,True,True,False,False,16,7761.0
2639,Sultan Mandash,23,Saudi Arabia,Midfielder,31,20,True,True,False,False,6,1627.0
2649,Ahmed Fatouh,32,Egypt,Defender,27,13,True,True,False,False,5,2382.0
2654,Mohamed Hany,32,Egypt,Defender,29,3,True,True,False,False,5,4015.0
2656,Karim Hafez,32,Egypt,Defender,29,15,True,True,False,False,8,1824.0
2660,Nabil Emad Dunga,32,Egypt,Midfielder,29,18,True,True,False,False,5,1817.0
2664,Trézéguet,32,Egypt,Attacker,31,7,True,True,False,False,9,3042.0
2676,Rúben Neves,27,Portugal,Midfielder,28,21,True,True,False,False,5,4096.0
2681,P. Niazmand,22,Iran,Goalkeeper,30,12,True,True,False,False,5,0.0
2682,A. Beiranvand,22,Iran,Goalkeeper,33,1,True,True,False,False,5,1946.0
2683,R. Cheshmi,22,Iran,Midfielder,32,15,True,True,False,False,3,256.0
2685,E. Hajisafi,22,Iran,Defender,35,3,True,True,False,False,4,550.0
2687,H. Kanani,22,Iran,Defender,31,13,False,True,False,False,2,531.0
2688,M. Mohammadi,22,Iran,Defender,32,5,True,True,False,False,6,1372.0
2691,R. Rezaeian,22,Iran,Midfielder,35,23,True,True,False,False,8,709.0
2697,M. Torabi,22,Iran,Midfielder,31,16,True,True,False,False,4,368.0
2699,S. Ghoddos,22,Iran,Midfielder,32,14,True,True,False,False,4,1842.0
2700,A. Jahanbakhsh,22,Iran,Midfielder,32,7,True,True,False,False,4,1372.0
2701,Y. Bounou,31,Morocco,Goalkeeper,34,1,True,True,False,False,7,5213.0
2702,M. Mohamedi,31,Morocco,Goalkeeper,36,12,True,True,False,False,7,270.0
2703,A. Tagnaouti,31,Morocco,Goalkeeper,29,22,True,True,False,False,3,999.0
2722,A. El Kaabi,31,Morocco,Attacker,32,20,True,True,False,False,8,3622.0
2724,L. Digne,2,France,Defender,32,3,True,True,False,False,7,3617.0
2741,M. Ryan,20,Australia,Goalkeeper,33,1,True,True,False,False,6,4411.0
2742,M. Degenek,20,Australia,Defender,31,2,True,True,False,False,6,2452.0
2749,J. Irvine,20,Australia,Midfielder,32,22,True,True,False,False,6,3334.0
2751,M. Leckie,20,Australia,Midfielder,34,7,True,True,False,False,6,637.0
2755,A. Mabil,20,Australia,Midfielder,30,11,True,True,False,False,5,1791.0
2763,Mario Pasalic,3,Croatia,Midfielder,30,15,True,True,False,False,5,2983.0
2803,N. Elvedi,15,Switzerland,Defender,29,4,True,True,False,False,5,4148.0
2807,R. Freuler,15,Switzerland,Midfielder,33,8,True,True,False,False,6,4049.0
2810,D. Zakaria,15,Switzerland,Defender,29,6,True,True,False,False,7,5608.0
2851,K. Nordfeldt,5,Sweden,Goalkeeper,36,23,True,True,False,False,6,3870.0
2860,K. Sema,5,Sweden,Midfielder,32,13,True,True,False,False,5,1257.0
2864,A. Isak,5,Sweden,Attacker,26,9,True,True,False,False,6,1644.0
2869,E. Álvarez,16,Mexico,Defender,28,4,True,True,False,False,8,2102.0
2873,C. Montes,16,Mexico,Defender,28,3,True,True,False,False,5,3588.0
2878,J. Sánchez,16,Mexico,Defender,28,2,True,True,False,False,10,3941.0
2879,R. Alvarado,16,Mexico,Attacker,27,25,True,True,False,False,7,4012.0
2881,J. Gallardo,16,Mexico,Defender,31,23,True,True,False,False,8,5035.0
2887,R. Jiménez,16,Mexico,Attacker,34,9,True,True,False,False,7,3693.0
2889,A. Vega,16,Mexico,Attacker,28,10,True,True,False,False,8,2659.0
2890,Jo Hyeon-Woo,17,South Korea,Goalkeeper,34,21,True,True,False,False,10,4702.0
2892,Kim Seung-Gyu,17,South Korea,Goalkeeper,35,1,True,True,False,False,6,3475.0
2897,Kim Min-Jae,17,South Korea,Defender,29,4,True,True,False,False,10,3693.0
2901,Hwang In-Beom,17,South Korea,Midfielder,29,6,True,True,False,False,9,3073.0
2906,Lee Jae-Sung,17,South Korea,Attacker,33,10,True,True,False,False,7,4217.0
2909,Paik Seung-Ho,17,South Korea,Midfielder,28,8,True,True,False,False,7,4329.0
2912,Kim Moon-Hwan,17,South Korea,Midfielder,30,15,True,True,False,False,8,2198.0
2920,T. Castagne,1,Belgium,Defender,30,21,True,True,False,False,5,3035.0
2926,Y. Tielemans,1,Belgium,Midfielder,28,8,True,True,False,False,6,3751.0
2932,J. Pickford,10,England,Goalkeeper,31,1,True,True,False,False,7,5413.0
2937,D. Rice,10,England,Midfielder,26,4,True,True,False,False,9,5332.0
2945,D. Bronn,28,Tunisia,Defender,30,6,True,True,False,False,7,1880.0
2962,F. Chaouat,28,Tunisia,Attacker,29,19,True,True,False,False,4,313.0
2967,L. Mejía,11,Panama,Goalkeeper,34,1,True,True,False,False,7,2619.0
2968,O. Mosquera,11,Panama,Goalkeeper,31,22,True,True,False,False,5,4112.0
2970,É. Davis,11,Panama,Defender,34,15,True,True,False,False,6,737.0
2971,F. Escobar,11,Panama,Defender,30,4,True,True,False,False,7,1381.0
2973,A. Murillo,11,Panama,Midfielder,29,23,True,True,False,False,10,3931.0
2975,C. Blackman,11,Panama,Midfielder,27,2,True,True,False,False,7,2655.0
2977,A. Godoy,11,Panama,Midfielder,35,20,True,True,False,False,9,3987.0
2978,A. Quintero,11,Panama,Midfielder,38,19,True,True,False,False,4,685.0
2979,J. Rodríguez,11,Panama,Attacker,27,7,True,True,False,False,7,4088.0
2983,J. Fajardo,11,Panama,Attacker,32,17,True,True,False,False,8,3495.0
2986,É. Mendy,13,Senegal,Goalkeeper,33,16,True,True,False,False,6,4203.0
2990,I. Gueye,13,Senegal,Midfielder,36,5,True,True,False,False,6,3395.0
3033,C. Bakambu,1508,Congo DR,Attacker,34,17,True,True,False,False,8,1666.0
3034,M. Elia,1508,Congo DR,Attacker,28,13,True,True,False,False,7,1221.0
3243,J. Seri,1501,Ivory Coast,Midfielder,34,4,True,True,False,False,4,235.0
3246,N. Pépé,1501,Ivory Coast,Midfielder,30,19,True,True,False,False,7,3709.0
3275,R. Williams,1531,South Africa,Goalkeeper,33,1,True,True,False,False,7,5506.0
3287,T. Mokoena,1531,South Africa,Midfielder,28,4,True,True,False,False,7,4078.0
3289,T. Zwane,1531,South Africa,Midfielder,36,11,True,True,False,False,4,730.0
3412,L. Zigi,1504,Ghana,Goalkeeper,29,1,True,True,False,False,5,6144.0
3428,J. Ayew,1504,Ghana,Attacker,34,9,True,True,False,False,6,2952.0
3608,K. Sibo,1504,Ghana,Midfielder,27,8,True,True,False,False,5,2397.0
4399,H. Boudaoui,1532,Algeria,Midfielder,26,14,True,True,False,False,9,2797.0
4414,O. Benbot,1532,Algeria,Goalkeeper,31,16,True,True,False,False,7,1014.0
4561,Z. Belaïd,1532,Algeria,Defender,27,5,True,True,False,False,7,924.0
4569,M. Tougai,1532,Algeria,Defender,26,4,True,True,False,False,9,829.0
5994,J. Carrascal,8,Colombia,Midfielder,27,8,True,True,False,False,12,3100.0
5995,N. de la Cruz,7,Uruguay,Midfielder,28,7,True,True,False,False,14,4843.0
5996,E. Fernández,26,Argentina,Midfielder,24,24,True,True,False,False,10,7468.0
6002,E. Palacios,26,Argentina,Defender,27,14,True,True,False,False,6,2009.0
6005,J. Quintero,8,Colombia,Midfielder,32,20,True,True,False,False,11,3936.0
6009,J. Álvarez,26,Argentina,Midfielder,25,9,True,True,False,False,9,5662.0
6067,T. Almada,26,Argentina,Midfielder,24,16,True,True,False,False,10,2644.0
6168,O. Alderete,2380,Paraguay,Defender,29,3,True,True,False,False,6,4731.0
6231,F. Medina,26,Argentina,Defender,26,25,True,True,False,False,8,2601.0
6236,A. Cubas,2380,Paraguay,Midfielder,29,14,True,True,False,False,8,5691.0
6483,G. Ávalos,2380,Paraguay,Attacker,35,21,True,True,False,False,7,6934.0
6503,N. Molina,26,Argentina,Defender,27,26,True,True,False,False,9,4360.0
6610,M. Senesi,26,Argentina,Midfielder,28,2,True,True,False,False,8,3677.0
6716,A. Mac Allister,26,Argentina,Midfielder,27,20,True,True,False,False,10,5945.0
6808,J. Italiano,20,Australia,Defender,24,4,True,True,False,False,4,2476.0
6832,C. Devlin,20,Australia,Midfielder,27,14,True,True,False,False,6,4438.0
6865,K. Barbarouses,4673,New Zealand,Attacker,35,17,True,True,False,False,8,1664.0
6870,P. Izzo,20,Australia,Goalkeeper,30,12,True,True,False,False,5,2703.0
6904,C. Metcalfe,20,Australia,Midfielder,26,8,True,True,False,False,6,2254.0
6931,L. Cacace,4673,New Zealand,Defender,25,13,True,True,False,False,7,1579.0
6932,C. Elliot,4673,New Zealand,Defender,26,24,True,True,False,False,5,1834.0
6934,A. Rufer,4673,New Zealand,Midfielder,29,14,True,True,False,False,7,2486.0
6935,S. Singh,4673,New Zealand,Midfielder,26,10,True,True,False,False,6,2011.0
6938,B. Waine,4673,New Zealand,Attacker,24,18,True,True,False,False,8,2078.0
7050,A. O Neill,20,Australia,Midfielder,27,13,True,True,False,False,7,4547.0
7090,M. Svoboda,775,Austria,Defender,27,25,True,True,False,False,4,2613.0
7197,A. Andrade,11,Panama,Defender,27,16,True,True,False,False,6,3958.0
7318,A. Dedic,1113,Bosnia & Herzegovina,Defender,23,7,True,True,False,False,6,4567.0
