player_id,player_name,world_cup_team_id,world_cup_team,squad_position,age,number,profile_name,season_query,season,team_id,team_name,league_id,league_name,league_country,appearances,lineups,minutes,provider_position,provider_rating
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2025,2025,31.0,Morocco,6,Africa Cup of Nations,World,5.0,4.0,446.0,Defender,7.44
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2025,2025,85.0,Paris Saint Germain,61,Ligue 1,France,18.0,15.0,1374.0,Defender,6.79
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2025,2025,85.0,Paris Saint Germain,2,UEFA Champions League,World,13.0,13.0,1154.0,Defender,6.75
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2026,2026,31.0,Morocco,1,World Cup,World,6.0,6.0,570.0,Defender,7.08
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2026,2026,31.0,Morocco,10,Friendlies,World,3.0,3.0,221.0,Defender,7.33
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2025,2025,489.0,AC Milan,667,Friendlies Clubs,World,2.0,2.0,180.0,Midfielder,7.650000
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2025,2025,2384.0,USA,10,Friendlies,World,4.0,3.0,169.0,Midfielder,6.75
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2025,2025,489.0,AC Milan,547,Super Cup,Italy,1.0,1.0,90.0,Attacker,6.3
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2025,2025,489.0,AC Milan,137,Coppa Italia,Italy,3.0,1.0,104.0,Attacker,7.37
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2025,2025,489.0,AC Milan,135,Serie A,Italy,30.0,18.0,1619.0,Attacker,6.99
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2026,2026,2384.0,USA,1,World Cup,World,4.0,3.0,224.0,Midfielder,7
17,C. Pulisic,2384,USA,Midfielder,27,10,C. Pulišić,2026,2026,2384.0,USA,10,Friendlies,World,4.0,4.0,221.0,Midfielder,6.93
20,A. Witsel,1,Belgium,Midfielder,36,6,A. Witsel,2025,2025,547.0,Girona,140,La Liga,Spain,32.0,30.0,2533.0,Defender,6.85
20,A. Witsel,1,Belgium,Midfielder,36,6,A. Witsel,2026,2026,1.0,Belgium,1,World Cup,World,2.0,0.0,31.0,Midfielder,6.5
20,A. Witsel,1,Belgium,Midfielder,36,6,A. Witsel,2026,2026,1.0,Belgium,10,Friendlies,World,4.0,1.0,114.0,Defender,6.55
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,1179,Copa do Brasil U17,Brazil,,,0.0,Defender,
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,612,Copa do Nordeste,Brazil,0.0,0.0,0.0,Defender,
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,602,Baiano - 1,Brazil,6.0,5.0,478.0,Defender,
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,11,CONMEBOL Sudamericana,World,1.0,1.0,180.0,Defender,6.9
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,13,CONMEBOL Libertadores,World,2.0,2.0,169.0,Defender,7.1
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,71,Serie A,Brazil,21.0,15.0,1450.0,Defender,6.78
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,8.0,Colombia,10,Friendlies,World,2.0,2.0,194.0,Defender,7.5
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2025,2025,118.0,Bahia,73,Copa Do Brasil,Brazil,1.0,1.0,193.0,Defender,7.85
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2026,2026,8.0,Colombia,34,World Cup - Qualification South America,World,4.0,4.0,373.0,Defender,7.18
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2026,2026,453.0,Independiente,128,Liga Profesional Argentina,Argentina,13.0,9.0,943.0,Defender,6.78
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2026,2026,8.0,Colombia,1,World Cup,World,1.0,1.0,87.0,Defender,7.3
30,S. Arias,8,Colombia,Defender,33,4,S. Arias,2026,2026,8.0,Colombia,10,Friendlies,World,3.0,1.0,48.0,Defender,6.7
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2025,2025,7.0,Uruguay,10,Friendlies,World,1.0,1.0,90.0,Defender,7.2
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2025,2025,530.0,Atletico Madrid,556,Super Cup,Spain,0.0,0.0,0.0,Defender,
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2025,2025,530.0,Atletico Madrid,143,Copa del Rey,Spain,3.0,0.0,67.0,Defender,6.93
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2025,2025,530.0,Atletico Madrid,140,La Liga,Spain,16.0,13.0,1177.0,Defender,6.99
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2025,2025,530.0,Atletico Madrid,2,UEFA Champions League,World,6.0,3.0,293.0,Defender,7.02
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2026,2026,7.0,Uruguay,34,World Cup - Qualification South America,World,9.0,8.0,778.0,Defender,6.87
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2026,2026,7.0,Uruguay,1,World Cup,World,0.0,0.0,0.0,Defender,
31,J. Giménez,7,Uruguay,Defender,30,2,J. Giménez,2026,2026,7.0,Uruguay,10,Friendlies,World,2.0,1.0,164.0,Defender,7.2
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,531,UEFA Super Cup,World,1.0,0.0,0.0,Defender,
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,15,FIFA Club World Cup,World,3.0,1.0,88.0,Defender,6.066666
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,1168,FIFA Intercontinental Cup,World,0.0,0.0,0.0,Defender,
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,526,Trophée des Champions,France,0.0,0.0,0.0,Defender,
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,66,Coupe de France,France,1.0,1.0,90.0,Defender,7.3
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,61,Ligue 1,France,25.0,20.0,1751.0,Defender,7.07
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2025,2025,85.0,Paris Saint Germain,2,UEFA Champions League,World,10.0,0.0,243.0,Defender,6.61
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2026,2026,2.0,France,1,World Cup,World,0.0,0.0,0.0,Defender,
33,L. Hernández,2,France,Defender,29,21,L. Hernández,2026,2026,2.0,France,10,Friendlies,World,2.0,1.0,119.0,Defender,6.95
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2025,2025,50.0,Manchester City,15,FIFA Club World Cup,World,3.0,1.0,143.0,Midfielder,7.166666
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2025,2025,50.0,Manchester City,48,League Cup,England,2.0,1.0,137.0,Midfielder,6.83
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2025,2025,50.0,Manchester City,45,FA Cup,England,4.0,3.0,187.0,Midfielder,7.4
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2025,2025,50.0,Manchester City,39,Premier League,England,21.0,17.0,1513.0,Midfielder,7.46
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2025,2025,50.0,Manchester City,2,UEFA Champions League,World,5.0,5.0,347.0,Midfielder,7.1
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2026,2026,9.0,Spain,1,World Cup,World,7.0,7.0,627.0,Midfielder,7.7
44,Rodri,9,Spain,Midfielder,29,16,Rodri,2026,2026,9.0,Spain,10,Friendlies,World,3.0,2.0,122.0,Midfielder,6.95
49,T. Partey,1504,Ghana,Midfielder,32,5,T. Partey,2025,2025,1504.0,Ghana,10,Friendlies,World,13.0,11.0,899.0,Midfielder,6.975000
49,T. Partey,1504,Ghana,Midfielder,32,5,T. Partey,2025,2025,533.0,Villarreal,143,Copa del Rey,Spain,2.0,1.0,116.0,Midfielder,6.85
49,T. Partey,1504,Ghana,Midfielder,32,5,T. Partey,2025,2025,533.0,Villarreal,140,La Liga,Spain,25.0,8.0,930.0,Midfielder,6.58
49,T. Partey,1504,Ghana,Midfielder,32,5,T. Partey,2025,2025,533.0,Villarreal,2,UEFA Champions League,World,5.0,4.0,286.0,Midfielder,6.46
49,T. Partey,1504,Ghana,Midfielder,32,5,T. Partey,2026,2026,1504.0,Ghana,1,World Cup,World,3.0,3.0,270.0,Midfielder,6.73
49,T. Partey,1504,Ghana,Midfielder,32,5,T. Partey,2026,2026,1504.0,Ghana,10,Friendlies,World,3.0,3.0,221.0,Midfielder,6.6
69,B. Mechele,1,Belgium,Defender,32,4,B. Mechele,2025,2025,569.0,Club Brugge KV,2,UEFA Champions League,World,14.0,14.0,1258.0,Defender,6.96
69,B. Mechele,1,Belgium,Defender,32,4,B. Mechele,2025,2025,569.0,Club Brugge KV,144,Jupiler Pro League,Belgium,39.0,39.0,3442.0,Defender,7.3
69,B. Mechele,1,Belgium,Defender,32,4,B. Mechele,2026,2026,1.0,Belgium,1,World Cup,World,6.0,6.0,570.0,Defender,6.93
69,B. Mechele,1,Belgium,Defender,32,4,B. Mechele,2026,2026,1.0,Belgium,10,Friendlies,World,3.0,2.0,178.0,Defender,6.9
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,611.0,Fenerbahçe,667,Friendlies Clubs,World,3.0,3.0,225.0,Midfielder,6.833333
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,31.0,Morocco,6,Africa Cup of Nations,World,3.0,3.0,194.0,Midfielder,6.633333
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,31.0,Morocco,10,Friendlies,World,4.0,,0.0,Midfielder,
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,611.0,Fenerbahçe,203,Süper Lig,Turkey,2.0,1.0,102.0,Midfielder,6.7
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,543.0,Real Betis,3,UEFA Europa League,World,6.0,5.0,317.0,Midfielder,6.78
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,543.0,Real Betis,140,La Liga,Spain,17.0,14.0,1296.0,Midfielder,6.98
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2025,2025,611.0,Fenerbahçe,2,UEFA Champions League,World,4.0,4.0,315.0,Midfielder,7.18
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2026,2026,31.0,Morocco,1,World Cup,World,3.0,1.0,145.0,Midfielder,6.6
74,S. Amrabat,31,Morocco,Midfielder,29,4,S. Amrabat,2026,2026,31.0,Morocco,10,Friendlies,World,2.0,1.0,127.0,Midfielder,7.1
78,H. Vanaken,1,Belgium,Midfielder,33,20,H. Vanaken,2025,2025,569.0,Club Brugge KV,2,UEFA Champions League,World,14.0,14.0,1260.0,Midfielder,7.73
78,H. Vanaken,1,Belgium,Midfielder,33,20,H. Vanaken,2025,2025,569.0,Club Brugge KV,144,Jupiler Pro League,Belgium,39.0,38.0,3373.0,Midfielder,7.45
78,H. Vanaken,1,Belgium,Midfielder,33,20,H. Vanaken,2026,2026,1.0,Belgium,1,World Cup,World,6.0,3.0,324.0,Midfielder,6.8
78,H. Vanaken,1,Belgium,Midfielder,33,20,H. Vanaken,2026,2026,1.0,Belgium,10,Friendlies,World,2.0,0.0,50.0,Midfielder,6.75
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2025,2025,13.0,Senegal,10,Friendlies,World,2.0,2.0,153.0,Defender,6.85
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2025,2025,13.0,Senegal,6,Africa Cup of Nations,World,6.0,6.0,540.0,Defender,7.68
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2025,2025,91.0,Monaco,66,Coupe de France,France,1.0,0.0,45.0,Midfielder,7
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2025,2025,91.0,Monaco,61,Ligue 1,France,18.0,10.0,1026.0,Midfielder,6.9
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2025,2025,91.0,Monaco,2,UEFA Champions League,World,3.0,2.0,179.0,Midfielder,6.67
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2026,2026,13.0,Senegal,1,World Cup,World,4.0,4.0,390.0,Defender,6.75
81,K. Diatta,13,Senegal,Defender,26,15,K. Diatta,2026,2026,13.0,Senegal,10,Friendlies,World,4.0,4.0,184.0,Defender,7
130,Nélson Semedo,27,Portugal,Defender,32,2,Nélson Semedo,2025,2025,611.0,Fenerbahçe,203,Süper Lig,Turkey,26.0,25.0,1942.0,Defender,6.89
130,Nélson Semedo,27,Portugal,Defender,32,2,Nélson Semedo,2025,2025,611.0,Fenerbahçe,3,UEFA Europa League,World,9.0,8.0,731.0,Midfielder,6.59
130,Nélson Semedo,27,Portugal,Defender,32,2,Nélson Semedo,2025,2025,611.0,Fenerbahçe,206,Türkiye Kupası,Turkey,1.0,1.0,120.0,Defender,5.9
130,Nélson Semedo,27,Portugal,Defender,32,2,Nélson Semedo,2025,2025,611.0,Fenerbahçe,2,UEFA Champions League,World,4.0,3.0,228.0,Defender,6.8
130,Nélson Semedo,27,Portugal,Defender,32,2,Nélson Semedo,2026,2026,27.0,Portugal,1,World Cup,World,4.0,0.0,124.0,Defender,6.63
130,Nélson Semedo,27,Portugal,Defender,32,2,Nélson Semedo,2026,2026,27.0,Portugal,10,Friendlies,World,2.0,2.0,90.0,Defender,6.75
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,531,UEFA Super Cup,World,4.0,4.0,208.0,Attacker,8.466666
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,15,FIFA Club World Cup,World,4.0,2.0,197.0,Attacker,7.375000
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,1168,FIFA Intercontinental Cup,World,1.0,0.0,42.0,Attacker,7
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,526,Trophée des Champions,France,1.0,1.0,97.0,Attacker,8.3
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,66,Coupe de France,France,2.0,1.0,87.0,Attacker,7.75
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,61,Ligue 1,France,22.0,11.0,1062.0,Attacker,7.41
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2025,2025,85.0,Paris Saint Germain,2,UEFA Champions League,World,13.0,11.0,827.0,Attacker,7.16
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2026,2026,2.0,France,1,World Cup,World,7.0,7.0,552.0,Midfielder,7.84
153,O. Dembélé,2,France,Midfielder,28,7,O. Dembélé,2026,2026,2.0,France,10,Friendlies,World,2.0,2.0,120.0,Midfielder,6.95
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2025,2025,9568.0,Inter Miami,772,Leagues Cup,World,2.0,2.0,101.0,Attacker,6.250000
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2025,2025,9568.0,Inter Miami,15,FIFA Club World Cup,World,3.0,3.0,270.0,Attacker,7.733333
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2025,2025,9568.0,Inter Miami,16,CONCACAF Champions League,World,7.0,7.0,556.0,Attacker,7.900000
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2025,2025,9568.0,Inter Miami,253,Major League Soccer,USA,31.0,29.0,2978.0,Attacker,8.6
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2025,2025,9568.0,Inter Miami,667,Friendlies Clubs,World,5.0,5.0,73.0,Attacker,7.3
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2025,2025,26.0,Argentina,10,Friendlies,World,2.0,2.0,176.0,Attacker,8.7
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2026,2026,26.0,Argentina,34,World Cup - Qualification South America,World,12.0,10.0,956.0,Attacker,8.03
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2026,2026,9568.0,Inter Miami,16,CONCACAF Champions League,World,2.0,2.0,180.0,Midfielder,7.65
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2026,2026,26.0,Argentina,1,World Cup,World,7.0,6.0,620.0,Attacker,9.07
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2026,2026,26.0,Argentina,10,Friendlies,World,3.0,1.0,35.0,Attacker,7.25
154,L. Messi,26,Argentina,Attacker,38,10,L. Messi,2026,2026,9568.0,Inter Miami,253,Major League Soccer,USA,14.0,14.0,1250.0,Midfielder,8.67
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2025,2025,645.0,Galatasaray,667,Friendlies Clubs,World,1.0,1.0,90.0,Defender,5.700000
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2025,2025,645.0,Galatasaray,551,Super Cup,Turkey,2.0,,0.0,Defender,
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2025,2025,8.0,Colombia,10,Friendlies,World,2.0,2.0,180.0,Defender,7.550000
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2025,2025,645.0,Galatasaray,203,Süper Lig,Turkey,30.0,29.0,2424.0,Defender,7.1
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2025,2025,645.0,Galatasaray,206,Türkiye Kupası,Turkey,2.0,1.0,0.0,Defender,
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2025,2025,645.0,Galatasaray,2,UEFA Champions League,World,11.0,11.0,1020.0,Defender,6.99
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2026,2026,8.0,Colombia,34,World Cup - Qualification South America,World,12.0,11.0,1060.0,Defender,6.89
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2026,2026,8.0,Colombia,1,World Cup,World,5.0,5.0,480.0,Defender,7.12
168,D. Sánchez,8,Colombia,Defender,29,23,D. Sánchez,2026,2026,8.0,Colombia,10,Friendlies,World,4.0,4.0,212.0,Defender,7.03
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,157.0,Bayern München,15,FIFA Club World Cup,World,4.0,4.0,314.0,Attacker,7.525000
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,157.0,Bayern München,529,Super Cup,Germany,1.0,1.0,90.0,Attacker,7.5
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,157.0,Bayern München,667,Friendlies Clubs,World,3.0,3.0,45.0,Attacker,6.9
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,10.0,England,10,Friendlies,World,1.0,1.0,59.0,Attacker,7
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,157.0,Bayern München,81,DFB Pokal,Germany,6.0,6.0,537.0,Attacker,8.05
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,157.0,Bayern München,78,Bundesliga,Germany,31.0,25.0,2382.0,Attacker,7.87
184,H. Kane,10,England,Attacker,32,9,H. Kane,2025,2025,157.0,Bayern München,2,UEFA Champions League,World,13.0,12.0,1039.0,Attacker,8
184,H. Kane,10,England,Attacker,32,9,H. Kane,2026,2026,10.0,England,1,World Cup,World,7.0,7.0,654.0,Attacker,7.19
184,H. Kane,10,England,Attacker,32,9,H. Kane,2026,2026,10.0,England,10,Friendlies,World,2.0,2.0,108.0,Attacker,7.3
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2025,2025,47.0,Tottenham,667,Friendlies Clubs,World,,,0.0,Attacker,
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2025,2025,1616.0,Los Angeles FC,253,Major League Soccer,USA,11.0,10.0,1103.0,Attacker,8.18
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2025,2025,17.0,South Korea,10,Friendlies,World,6.0,5.0,361.0,Attacker,7.1
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2026,2026,17.0,South Korea,30,World Cup - Qualification Asia,World,13.0,12.0,891.0,Attacker,7.81
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2026,2026,1616.0,Los Angeles FC,16,CONCACAF Champions League,World,8.0,8.0,646.0,Attacker,7.04
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2026,2026,17.0,South Korea,1,World Cup,World,3.0,2.0,171.0,Attacker,6.7
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2026,2026,17.0,South Korea,10,Friendlies,World,4.0,2.0,203.0,Attacker,7.08
186,Son Heung-Min,17,South Korea,Attacker,33,7,Son Heung-Min,2026,2026,1616.0,Los Angeles FC,253,Major League Soccer,USA,14.0,13.0,1120.0,Attacker,7.21
207,I. Perisic,3,Croatia,Defender,36,14,I. Perišić,2025,2025,197.0,PSV Eindhoven,667,Friendlies Clubs,World,1.0,1.0,90.0,Attacker,6.700000
207,I. Perisic,3,Croatia,Defender,36,14,I. Perišić,2025,2025,197.0,PSV Eindhoven,90,KNVB Beker,Netherlands,4.0,2.0,214.0,Attacker,7.33
207,I. Perisic,3,Croatia,Defender,36,14,I. Perišić,2025,2025,197.0,PSV Eindhoven,88,Eredivisie,Netherlands,30.0,27.0,2218.0,Attacker,7.23
207,I. Perisic,3,Croatia,Defender,36,14,I. Perišić,2025,2025,197.0,PSV Eindhoven,2,UEFA Champions League,World,8.0,7.0,538.0,Midfielder,6.59
207,I. Perisic,3,Croatia,Defender,36,14,I. Perišić,2026,2026,3.0,Croatia,1,World Cup,World,4.0,4.0,360.0,Midfielder,7
207,I. Perisic,3,Croatia,Defender,36,14,I. Perišić,2026,2026,3.0,Croatia,10,Friendlies,World,4.0,4.0,158.0,Midfielder,6.97
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,505.0,Inter,15,FIFA Club World Cup,World,4.0,4.0,343.0,Attacker,7.525000
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,505.0,Inter,667,Friendlies Clubs,World,4.0,4.0,343.0,Attacker,7.525000
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,26.0,Argentina,10,Friendlies,World,3.0,2.0,204.0,Attacker,7.8
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,505.0,Inter,547,Super Cup,Italy,1.0,0.0,25.0,Attacker,6.9
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,505.0,Inter,137,Coppa Italia,Italy,2.0,1.0,111.0,Attacker,6.4
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,505.0,Inter,135,Serie A,Italy,30.0,27.0,2178.0,Attacker,7.08
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2025,2025,505.0,Inter,2,UEFA Champions League,World,8.0,7.0,465.0,Attacker,7.11
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2026,2026,26.0,Argentina,34,World Cup - Qualification South America,World,14.0,8.0,756.0,Attacker,6.94
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2026,2026,26.0,Argentina,1,World Cup,World,7.0,4.0,311.0,Attacker,6.79
217,Lautaro Martínez,26,Argentina,Attacker,28,22,Lautaro Martínez,2026,2026,26.0,Argentina,10,Friendlies,World,2.0,1.0,108.0,Attacker,7.25
221,E. Room,5530,Curaçao,Goalkeeper,36,1,E. Room,2025,2025,741.0,Cercle Brugge,144,Jupiler Pro League,Belgium,,,0.0,Goalkeeper,
221,E. Room,5530,Curaçao,Goalkeeper,36,1,E. Room,2025,2025,5530.0,Curaçao,10,Friendlies,World,,,0.0,Goalkeeper,
221,E. Room,5530,Curaçao,Goalkeeper,36,1,E. Room,2025,2025,5530.0,Curaçao,22,CONCACAF Gold Cup,World,,,0.0,Goalkeeper,
221,E. Room,5530,Curaçao,Goalkeeper,36,1,E. Room,2026,2026,5530.0,Curaçao,31,World Cup - Qualification CONCACAF,World,10.0,10.0,934.0,Goalkeeper,7.21
221,E. Room,5530,Curaçao,Goalkeeper,36,1,E. Room,2026,2026,5530.0,Curaçao,1,World Cup,World,3.0,3.0,270.0,Goalkeeper,7.23
221,E. Room,5530,Curaçao,Goalkeeper,36,1,E. Room,2026,2026,5530.0,Curaçao,10,Friendlies,World,2.0,1.0,90.0,Goalkeeper,7.9
225,A. Behich,20,Australia,Midfielder,35,16,A. Behich,2025,2025,20.0,Australia,10,Friendlies,World,,,0.0,Defender,
225,A. Behich,20,Australia,Midfielder,35,16,A. Behich,2025,2025,945.0,Melbourne City,17,AFC Champions League Elite,World,9.0,9.0,786.0,Defender,6.66
