league_id,league_name,rows,players,minutes,league_effect,estimable,factor_estimated
128,Liga Profesional Argentina,280,16,23379.0,0.060860598292340085,True,0.9298040455286705
1168,FIFA Intercontinental Cup,37,27,3257.0,0.06197384698360142,False,
46,EFL Trophy,6,3,493.0,0.06583613490873395,False,
16,CONCACAF Champions League,97,25,7751.0,0.06681493445718327,True,0.9268268774462489
62,Ligue 2,155,8,12809.0,0.07008135019264003,True,0.9251936695785206
12,CAF Champions League,151,22,13239.0,0.07436233759756178,True,0.9230531758760596
253,Major League Soccer,831,44,69594.0,0.07784591791524131,True,0.9213113857172199
17,AFC Champions League Elite,342,55,29367.0,0.08387008532785259,True,0.9182993020109143
271,NB I,46,3,3770.0,0.0845346450843176,False,
307,Pro League,1041,46,87799.0,0.08821535535085026,True,0.9161266669994154
475,Paulista - A1,60,11,4706.0,0.10056465496323899,True,0.909952017193221
318,1. Division,50,5,4057.0,0.10290625299776122,False,
292,K League 1,137,9,11685.0,0.10372397110580918,True,0.9083723591219359
218,Bundesliga,193,8,15930.0,0.10754318570812332,True,0.9064627518207788
233,Premier League,299,19,24929.0,0.11421173211123578,True,0.9031284786192226
34,World Cup - Qualification South America,113,82,9120.0,0.11754065619875513,True,0.9014640165754629
40,Championship,933,38,75187.0,0.12550980264147102,True,0.897479443354105
624,Carioca - 1,37,8,2762.0,0.1363370487956245,False,
73,Copa Do Brasil,73,26,6166.0,0.13865260982836938,True,0.8909080397606558
242,Liga Pro,106,5,8557.0,0.14352239721053658,False,
71,Serie A,631,31,50769.0,0.15098646282135156,True,0.8847411132641647
11,CONMEBOL Sudamericana,94,25,7731.0,0.15712239153607285,True,0.8816731489068041
89,Eerste Divisie,113,8,9044.0,0.16034604316517995,True,0.8800613230922506
179,Premiership,291,13,22815.0,0.16706365344438592,True,0.8767025179526475
88,Eredivisie,690,34,54742.0,0.17660900951777583,True,0.8719298399159526
332,Super Liga,16,1,1393.0,0.17805424435610026,False,
37,World Cup - Qualification Intercontinental Play-offs,14,14,1242.0,0.18968213511462464,False,
345,Czech Liga,469,22,37298.0,0.20383262413970765,True,0.8583180326049867
20,CAF Confederation Cup,39,6,3356.0,0.21696124376712086,False,
288,Premier Soccer League,375,17,30873.0,0.22905638597227654,True,0.8457061516887023
239,Primera A,28,1,2529.0,0.23033417193379907,False,
18,AFC Champions League Two,75,19,6239.0,0.2530776433698994,True,0.8336955229898908
286,Super Liga,71,5,5605.0,0.25335068626257135,False,
188,A-League,313,16,26004.0,0.2583800858328052,True,0.8310443017584379
13,CONMEBOL Libertadores,175,31,14445.0,0.26059419150762886,True,0.8299372489210262
207,Super League,167,8,13563.0,0.2639599855002811,True,0.8282543519247
66,Coupe de France,138,62,11221.0,0.2643489336680053,True,0.8280598778408379
172,First League,34,2,2787.0,0.275729115643759,False,
113,Allsvenskan,101,7,8558.0,0.29264926670962,False,
79,2. Bundesliga,155,9,12383.0,0.2960317682447567,True,0.8122184605524622
305,Stars League,169,22,14168.0,0.32378795769148144,True,0.7983403658290998
106,Ekstraklasa,60,4,5084.0,0.3575449972686595,False,
30,World Cup - Qualification Asia,70,35,5563.0,0.36579283421650677,True,0.7773379275665872
31,World Cup - Qualification CONCACAF,167,43,13344.0,0.38232120156585003,True,0.7690737438919155
90,KNVB Beker,66,30,5278.0,0.40908704707460264,True,0.7556908211375393
357,Premier Division,52,2,4678.0,0.44467839514523844,False,
103,Eliteserien,170,8,14307.0,0.4543141172496886,True,0.7330772860499962
114,Superettan,3,1,254.0,0.5015906156325131,False,
80,3. Liga,11,2,968.0,1.0778968483856237,False,
