simulation_id,match_seed,home_team,away_team,home_goals,away_goals,total_goals,scoreline,outcome,home_xg,away_xg,total_xg,home_shots,away_shots,total_shots,home_shots_on_target,away_shots_on_target,total_shots_on_target,home_possessions,away_possessions,home_possession_share,is_zero_zero
11,1553379835,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,2,4,2-2,draw,1.2718412298969788,1.621019531187079,2.8928607610840578,9,11,20,4,6,10,52,56,0.48148148148148145,0
12,529564898,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,2,5,3-2,synthetic_win,1.3968469789833882,1.678654144407475,3.075501123390863,9,10,19,5,5,10,55,49,0.5288461538461539,0
13,4136825541,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,2,5,3-2,synthetic_win,2.6937183947358836,1.8805990261557797,4.5743174208916635,15,11,26,5,5,10,60,56,0.5172413793103449,0
14,2201615100,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,1.053130317632141,1.5693832833771633,2.622513601009304,8,9,17,3,4,7,62,49,0.5585585585585585,0
15,2900690537,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,3,6,3-3,draw,1.2802727391413782,1.4186313124053864,2.698904051546765,9,7,16,5,4,9,41,60,0.40594059405940597,0
16,1314890337,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.9068086540802438,1.780211374618459,2.6870200286987025,7,11,18,1,8,9,36,53,0.4044943820224719,0
17,3435934645,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,0.4896260224703307,2.2578430424516,2.7474690649219307,4,11,15,3,6,9,38,61,0.3838383838383838,0
18,1054675304,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,1,4,3-1,synthetic_win,1.815497457828089,1.9411662697915202,3.756663727619609,11,13,24,7,6,13,56,53,0.5137614678899083,0
19,407266772,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,1.7551015029402681,2.1821452893686084,3.9372467923088763,9,13,22,4,8,12,51,60,0.4594594594594595,0
20,153393700,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.334483007540328,1.9627304565786563,3.2972134641189843,10,11,21,5,7,12,48,61,0.44036697247706424,0
21,2530332221,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,0.6205249630032006,2.724825795737654,3.345350758740855,4,13,17,4,7,11,45,51,0.46875,0
22,1905150203,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,0.7197946141117281,1.869341713088069,2.589136327199797,4,10,14,2,4,6,37,44,0.4567901234567901,0
23,2983630295,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,1.1044573580351755,2.605404302558742,3.7098616605939174,6,15,21,2,8,10,46,60,0.4339622641509434,0
24,1557039922,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,0.7948262141212205,1.6601592385697348,2.454985452690955,7,9,16,4,8,12,42,40,0.5121951219512195,0
25,3525013335,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.0647977919067961,0.2977073827840953,1.3625051746908914,9,2,11,5,1,6,54,45,0.5454545454545454,0
26,3629853603,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,0.9729654907147962,2.1351086833241615,3.1080741740389577,5,10,15,3,3,6,43,53,0.4479166666666667,0
27,1112389213,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,2.7634087528737825,0.8633132992377367,3.626722052111519,16,6,22,4,5,9,51,60,0.4594594594594595,0
28,2080779105,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.41177612630747,1.8202865168169198,3.2320626431243897,11,11,22,2,3,5,58,52,0.5272727272727272,0
29,554773590,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,2.031241741403483,2.132252484743148,4.163494226146631,12,13,25,6,8,14,52,52,0.5,0
30,3380660456,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,2,5,3-2,synthetic_win,0.9552236678622623,2.1531225543465835,3.108346222208846,6,13,19,5,7,12,43,70,0.3805309734513274,0
31,1103571,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,1.185832833552799,1.8161781820680247,3.0020110156208237,9,12,21,4,6,10,55,51,0.5188679245283019,0
32,652092076,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.6607088788137025,1.701075951633618,2.361784830447321,5,10,15,3,6,9,43,46,0.48314606741573035,0
33,603245331,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,2,5,3-2,synthetic_win,1.3834727355580678,2.149770874944392,3.53324361050246,11,14,25,6,7,13,65,58,0.5284552845528455,0
34,2150001320,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,0,3,3-0,synthetic_win,1.4807150869503138,1.300499615994637,2.7812147029449505,11,7,18,4,2,6,62,38,0.62,0
35,902950166,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.1985538262493016,2.1325211087313165,3.3310749349806184,7,11,18,4,7,11,42,55,0.4329896907216495,0
36,2587473343,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,1.0397973101592137,1.7727521803683133,2.812549490527527,7,10,17,3,6,9,48,63,0.43243243243243246,0
37,165893278,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.0319483722342333,1.409308815789604,2.4412571880238376,6,7,13,3,4,7,41,56,0.422680412371134,0
38,1600821005,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,0.8696752480643465,1.97812060094883,2.8477958490131763,6,12,18,3,8,11,52,64,0.4482758620689655,0
39,4038220803,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,2.2935095289811476,1.7418018502424129,4.03531137922356,14,8,22,8,5,13,62,50,0.5535714285714286,0
40,3033104167,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,0.8624921408396844,2.160454469366107,3.0229466102057914,5,12,17,2,7,9,50,50,0.5,0
41,3811799115,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,0,0,0-0,draw,0.9175117853791259,1.3290786732679083,2.2465904586470344,7,8,15,3,5,8,50,60,0.45454545454545453,1
42,4214065758,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,0,3,3-0,synthetic_win,1.9744843897356414,1.3792159685051504,3.3537003582407916,11,7,18,6,2,8,54,46,0.54,0
43,1638904748,Synthetic XI — exploratorio,Real Best XI — exploratorio,5,1,6,5-1,synthetic_win,2.1228310413726392,1.7410738601933204,3.8639049015659594,12,10,22,8,4,12,54,55,0.4954128440366973,0
44,3998091896,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,1.3526940393264568,1.648074940172573,3.0007689794990298,9,10,19,3,3,6,51,52,0.49514563106796117,0
45,23054845,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,0.9568419687605249,1.616680246817,2.573522215577525,6,9,15,3,7,10,55,44,0.5555555555555556,0
46,1063825445,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,2,4,2-2,draw,1.1702329402292655,2.4915037140376217,3.661736654266887,10,14,24,7,5,12,44,52,0.4583333333333333,0
47,2737097569,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,0.8977354557808299,1.04623652368299,1.94397197946382,6,6,12,4,3,7,42,57,0.42424242424242425,0
48,2989431909,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.2195529976788313,1.6706019075541303,2.8901549052329614,8,10,18,2,2,4,53,47,0.53,0
49,3789031472,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,1.612335807687341,2.2046291815787993,3.8169649892661406,9,12,21,5,6,11,49,59,0.4537037037037037,0
50,3982721453,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.322955112543166,2.036056648822455,3.359011761365621,9,13,22,4,6,10,58,46,0.5576923076923077,0
51,2576861564,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,1.2408006407033658,2.2984549322950643,3.53925557299843,8,13,21,4,6,10,48,58,0.4528301886792453,0
52,775351530,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,1.3442756835628311,2.778475619810772,4.122751303373603,8,12,20,3,7,10,46,57,0.44660194174757284,0
53,3014558891,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,5,6,1-5,real_win,1.057600903526688,2.7835800385219964,3.8411809420486844,8,15,23,3,12,15,41,53,0.43617021276595747,0
54,3775890708,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,0,3,3-0,synthetic_win,1.3717780861028372,1.1974515846246119,2.569229670727449,9,6,15,4,1,5,60,55,0.5217391304347826,0
55,1394506125,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,1.3301865182407404,1.1619561539967578,2.492142672237498,7,7,14,4,5,9,53,43,0.5520833333333334,0
56,2178383715,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,0.6404036205969015,1.1798921425676023,1.8202957631645038,4,9,13,1,5,6,52,58,0.4727272727272727,0
57,1196687605,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.45125198178458387,0.5972557155400069,1.0485076973245908,3,4,7,3,1,4,49,46,0.5157894736842106,0
58,3662471389,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.5542642109043492,2.871669716786852,4.425933927691201,11,15,26,8,10,18,53,56,0.48623853211009177,0
59,2126699689,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,4,6,2-4,real_win,0.3828798281109742,1.4903487864119658,1.87322861452294,3,8,11,3,5,8,42,54,0.4375,0
60,3307774457,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,0.8775496645747092,1.2416172406885424,2.119166905263252,7,8,15,5,4,9,42,58,0.42,0
61,3278683532,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,0.9159813905174539,1.9843339635331643,2.900315354050618,6,12,18,2,7,9,56,64,0.4666666666666667,0
62,37128539,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.0333121391876772,0.7713901149255219,1.8047022541131992,8,6,14,4,4,8,58,60,0.4915254237288136,0
63,1233040302,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,0,0,0-0,draw,0.2441561462546043,1.3106028204979823,1.5547589667525865,2,7,9,1,3,4,57,43,0.57,1
64,1804299087,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.5497108711981435,0.49632885180753317,1.0460397230056766,5,3,8,2,2,4,41,44,0.4823529411764706,0
65,384453331,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,0,0,0-0,draw,1.2831314706303707,1.4548579037320297,2.7379893743624004,10,9,19,2,4,6,58,53,0.5225225225225225,1
66,4119096438,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.20996899554061896,1.3804768527738158,1.5904458483144348,2,8,10,1,5,6,46,57,0.44660194174757284,0
67,4072292041,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.7746880203565473,1.6061416902361627,2.38082971059271,5,10,15,2,2,4,52,59,0.46846846846846846,0
68,1132109217,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.148873477775716,1.6752550487911475,2.8241285265668634,7,11,18,2,5,7,55,52,0.514018691588785,0
69,788686300,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,0.7450336636489936,0.7956975377794763,1.54073120142847,4,4,8,2,3,5,39,54,0.41935483870967744,0
70,2293161955,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.3128175904132782,1.7531418964085992,3.0659594868218774,9,10,19,8,7,15,47,68,0.40869565217391307,0
71,3926676865,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,3,6,3-3,draw,1.2970116082016157,1.5197909910320888,2.8168025992337045,8,9,17,4,6,10,50,52,0.49019607843137253,0
72,236963462,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,1.7455096913300623,0.8074508687812675,2.55296056011133,13,6,19,6,3,9,49,54,0.47572815533980584,0
73,2515590372,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.8901437484299182,1.9242599678518018,3.8144037162817197,12,11,23,5,6,11,51,49,0.51,0
74,3149874903,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,1,4,3-1,synthetic_win,0.9513471529265471,1.8585425610950759,2.8098897140216232,6,12,18,5,8,13,50,60,0.45454545454545453,0
75,1945640570,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,0.7249154561174204,1.3219495095709535,2.046864965688374,5,9,14,3,4,7,53,59,0.4732142857142857,0
76,1517786603,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,2,4,2-2,draw,1.0411697396500583,1.5828845291688813,2.6240542688189397,6,8,14,3,6,9,55,49,0.5288461538461539,0
77,3610729348,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.2964031416676196,1.1988381961281633,2.495241337795783,8,9,17,5,6,11,59,49,0.5462962962962963,0
78,2041666927,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,1.6644307922014048,1.397153167573351,3.061583959774756,9,8,17,4,6,10,44,48,0.4782608695652174,0
79,1667247885,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,0.35307531232088796,1.65920322581463,2.012278538135518,2,8,10,2,2,4,48,58,0.4528301886792453,0
80,3992567706,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.8712355364091102,1.9146453504912069,2.7858808869003173,7,11,18,3,2,5,54,64,0.4576271186440678,0
81,3844123652,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.355460544944102,1.5924041827970117,2.9478647277411136,8,9,17,3,4,7,46,57,0.44660194174757284,0
82,1392195214,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,1.135647434047264,1.1363558847800717,2.272003318827336,7,6,13,2,1,3,46,64,0.41818181818181815,0
83,4170921907,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.0354485091585006,2.091416293502038,3.1268648026605383,8,12,20,3,5,8,41,53,0.43617021276595747,0
84,1674142911,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,0.8374943543440523,2.604085279052614,3.441579633396666,6,13,19,5,2,7,44,65,0.4036697247706422,0
85,4000952059,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,0,0,0-0,draw,2.4169551558867544,1.161675372991757,3.578630528878511,14,7,21,5,2,7,61,48,0.5596330275229358,1
86,3733787868,Synthetic XI — exploratorio,Real Best XI — exploratorio,4,4,8,4-4,draw,1.9253857931574236,1.805419077332649,3.730804870490073,10,10,20,7,5,12,50,51,0.49504950495049505,0
87,1509231102,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,1.4459762290279667,1.851916297419474,3.297892526447441,10,11,21,5,7,12,55,52,0.514018691588785,0
88,2556079598,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,1.81963481003714,1.9566704448059107,3.7763052548430505,10,12,22,7,6,13,52,71,0.42276422764227645,0
89,4208980117,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,1.7197120723065449,1.4379081291669495,3.1576202014734944,11,9,20,4,2,6,45,46,0.4945054945054945,0
90,466189526,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,4,6,2-4,real_win,1.7660151581011312,2.277727116485983,4.043742274587114,9,13,22,3,8,11,42,58,0.42,0
91,1476877543,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,1,4,3-1,synthetic_win,1.1362536806070889,2.449115054720506,3.5853687353275947,7,15,22,5,8,13,46,62,0.42592592592592593,0
92,2553896262,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,5,5,0-5,real_win,0.8820755930184615,2.3209661405536934,3.203041733572155,6,14,20,2,10,12,44,69,0.3893805309734513,0
93,2524869785,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,0,3,3-0,synthetic_win,1.0261294342450817,1.4722860858763334,2.498415520121415,7,7,14,5,3,8,53,47,0.53,0
94,1619739208,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,0,3,3-0,synthetic_win,1.5302413128780572,1.2020017602309476,2.7322430731090046,10,6,16,5,3,8,52,38,0.5777777777777777,0
95,742676677,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,0.7148341583147972,1.4299675399018859,2.144801698216683,5,9,14,3,4,7,42,63,0.4,0
96,3876196299,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.2934385220067244,1.9080088945523002,3.2014474165590245,7,10,17,0,5,5,49,40,0.550561797752809,0
97,2633004635,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,0.9266286459958176,1.535618675367435,2.4622473213632525,7,10,17,5,6,11,55,59,0.4824561403508772,0
98,271335843,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,0.72492667218512,0.9204369531035227,1.6453636252886428,5,7,12,2,3,5,54,53,0.5046728971962616,0
99,1503593228,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,0.7640072495642671,1.7364661274250246,2.5004733769892917,4,9,13,1,2,3,45,49,0.4787234042553192,0
100,3711220762,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,0.8025754941597063,1.6941960031088585,2.496771497268565,5,9,14,2,6,8,42,58,0.42,0
101,2947095983,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,1.1513843496757334,1.6931587588070482,2.8445431084827817,8,9,17,1,5,6,52,53,0.49523809523809526,0
102,2610845056,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,0.6926500162366004,2.062369715058776,2.7550197312953766,6,13,19,4,7,11,59,64,0.4796747967479675,0
103,1907321261,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,0.6444542100087173,0.8489482945533194,1.4934025045620367,3,7,10,2,3,5,52,46,0.5306122448979592,0
104,2692849848,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.7536092020228181,1.1512014887553939,1.9048106907782119,5,7,12,3,5,8,47,54,0.46534653465346537,0
105,2251165520,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,1.0671094151148361,0.6757686162317811,1.7428780313466172,7,5,12,4,3,7,48,48,0.5,0
106,1024399226,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,1,3,2-1,synthetic_win,1.3160602050486452,1.5402770786130877,2.856337283661733,8,8,16,6,3,9,56,52,0.5185185185185185,0
107,1732871781,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.539234893042402,1.7173613544201505,3.2565962474625527,10,10,20,6,5,11,49,57,0.46226415094339623,0
108,2515813010,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.7923027572210475,1.0077706133686128,2.8000733705896605,10,7,17,5,3,8,57,49,0.5377358490566038,0
109,887760678,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.1017504334127959,1.9665981888525454,3.0683486222653413,8,12,20,3,8,11,43,55,0.4387755102040816,0
110,622708233,Synthetic XI — exploratorio,Real Best XI — exploratorio,4,1,5,4-1,synthetic_win,1.7666058595706833,1.5743220246402558,3.340927884210939,12,9,21,7,2,9,53,54,0.4953271028037383,0
111,3771622459,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,1.0867570016277797,2.954517182069913,4.041274183697693,9,15,24,4,8,12,54,67,0.4462809917355372,0
112,3211379787,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,2,4,2-2,draw,1.6048638663150714,1.6361371373863078,3.2410010037013794,10,9,19,5,7,12,58,45,0.5631067961165048,0
113,3558393276,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.9200551879130319,1.3129113001667163,3.2329664880797484,11,6,17,3,2,5,54,56,0.4909090909090909,0
114,1078506962,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.9181287142810726,2.147973010792575,3.066101725073648,5,14,19,1,3,4,47,68,0.40869565217391307,0
115,2324413539,Synthetic XI — exploratorio,Real Best XI — exploratorio,4,1,5,4-1,synthetic_win,1.1885566320048526,1.8978545956869948,3.0864112276918476,8,11,19,6,5,11,46,64,0.41818181818181815,0
116,1895777823,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,3,6,3-3,draw,2.0965647034591797,2.785925449302505,4.882490152761685,15,15,30,6,11,17,55,54,0.5045871559633027,0
117,2914002765,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,2,4,2-2,draw,1.577735274679855,2.8271543337194234,4.404889608399278,11,14,25,4,7,11,60,53,0.5309734513274337,0
118,2523700197,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,0,3,3-0,synthetic_win,1.4302651931988852,2.340445384450014,3.770710577648899,10,13,23,5,4,9,48,57,0.45714285714285713,0
119,1985884248,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,1.0194684345854392,1.0672966674677544,2.0867651020531937,7,7,14,2,4,6,50,54,0.4807692307692308,0
120,2497189863,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.2884618289511962,1.9241086810435961,2.2125705099947925,2,11,13,2,4,6,34,70,0.3269230769230769,0
121,3997160324,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.2303609781231166,2.106954786121515,3.3373157642446314,8,13,21,4,6,10,59,62,0.48760330578512395,0
122,3223473223,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.327491527806351,1.7384684614306316,3.0659599892369824,9,9,18,1,4,5,61,41,0.5980392156862745,0
123,1605110433,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,1.0339379631712105,1.0115197612794002,2.0454577244506105,7,5,12,3,0,3,49,51,0.49,0
124,109083334,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.9291430506111156,1.7269009482580593,3.656043998869175,12,12,24,7,7,14,44,60,0.4230769230769231,0
125,519240469,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,0.2512403286434763,1.0306425554014145,1.2818828840448908,2,6,8,0,3,3,52,57,0.47706422018348627,0
126,3417313901,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.4428153656102136,2.23773394271717,3.6805493083273837,10,13,23,5,6,11,62,64,0.49206349206349204,0
127,1981464966,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,0.7698067036180158,2.4219800931679356,3.1917867967859515,6,14,20,3,6,9,44,55,0.4444444444444444,0
128,971577670,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,1.5973320343524684,1.9025380453780296,3.4998700797304982,11,8,19,3,5,8,61,48,0.5596330275229358,0
129,4128892424,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,0,2,2-0,synthetic_win,1.2725195603773147,1.7346822753337594,3.007201835711074,8,9,17,4,4,8,57,50,0.5327102803738317,0
130,4089098310,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,0.7058283120554296,0.9767574268273966,1.6825857388828263,4,5,9,0,3,3,49,48,0.5051546391752577,0
131,1218047907,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,1.068931664256938,2.2659760006749887,3.3349076649319267,8,13,21,4,6,10,48,62,0.43636363636363634,0
132,2494080135,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,0.6941616322495178,2.481347371978816,3.175509004228334,5,14,19,3,4,7,51,75,0.40476190476190477,0
133,446785821,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.7551805965180314,2.2653418313899474,4.020522427907979,10,12,22,3,8,11,53,66,0.44537815126050423,0
134,1975867367,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.010572840154375,1.4420511468778767,2.4526239870322515,7,10,17,3,6,9,43,53,0.4479166666666667,0
135,3955725066,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,1,1,0-1,real_win,1.5421645176970158,1.9243132817676438,3.4664777994646596,9,12,21,5,6,11,50,53,0.4854368932038835,0
136,1685253728,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,0,1,1-0,synthetic_win,0.755829482346463,0.8901213157226574,1.6459507980691204,5,5,10,4,3,7,51,53,0.49038461538461536,0
