position_group,player_id,player_name,world_cup_team,overall
CM,39064,Patrick Berg,Norway,0.6507119191575486
CM,336657,Warren Zaïre-Emery,France,0.64746039847573
CM,6002,Exequiel Palacios,Argentina,0.6472171555533244
CM,2937,Declan Rice,England,0.6456593764502178
CM,116117,Moisés Caicedo,Ecuador,0.6448316600398268
CM,2901,In-Beom Hwang,South Korea,0.6426663592291395
CM,1578,Giovani Lo Celso,Argentina,0.6416203416753546
CM,284322,Kobbie Mainoo,England,0.6367552755736442
CM,10135,Bruno Guimarães,Brazil,0.6361229184808075
CM,335051,João Neves,Portugal,0.6340885553997603
AM,386828,Lamine Yamal,Spain,0.8227051597194196
AM,6005,Juan Fernando Quintero,Colombia,0.7789936724714601
AM,1496,Raphinha,Brazil,0.7716231750784568
AM,1485,Bruno Fernandes,Portugal,0.7630442973479398
AM,629,Kevin De Bruyne,Belgium,0.7386240573291947
AM,129678,Azzedine Ounahi,Morocco,0.7342134022284724
AM,414149,Relebohile Mofokeng,South Africa,0.7326202510254494
AM,181812,Jamal Musiala,Germany,0.7322535943170481
AM,37155,Orkun Kökçü,Türkiye,0.7283482518676538
AM,39073,Jens Petter Hauge,Norway,0.7224511799693665
AM,714,Nadiem Amiri,Germany,0.7096002010430041
AM,350850,Besfort Zeneli,Sweden,0.7059478964451271
AM,201713,Sebastian Berhalter,USA,0.7047631481387898
AM,339887,Can Uzun,Türkiye,0.6937287474302328
AM,212233,Brian Gutierrez,Mexico,0.6797655101167874
AM,263228,Parfait Guiagon,Ivory Coast,0.6776245664607101
AM,362400,Maximilian Arfsten,USA,0.6775696463615043
AM,395559,Kerim Alajbegović,Bosnia & Herzegovina,0.6751468208892758
AM,1864,Pedro Neto,Portugal,0.675112457251453
AM,5994,Jorge Carrascal,Colombia,0.6747808103212051
W,154,Lionel Messi,Argentina,0.8322314692550343
W,19617,Michael Olise,France,0.8287826297819757
W,1422,Jérémy Doku,Belgium,0.8154891364532025
W,513776,Yan Diomande,Ivory Coast,0.802016077781343
W,295026,Martin Baturina,Croatia,0.7861253044449796
W,343027,Désiré Doué,France,0.7807672854512899
W,535046,Ayoube Amaimouni Echghouyab,Morocco,0.7765794653890568
W,927,Kang-in Lee,South Korea,0.7746804017141705
W,762,Vinícius Júnior,Brazil,0.7705517765599295
W,2489,Luis Díaz,Colombia,0.7666951689847886
W,51618,Brian Rodríguez,Uruguay,0.7609900313436893
W,583,João Félix,Portugal,0.7609448513284869
W,1460,Bukayo Saka,England,0.7481649206382103
W,276,Neymar,Brazil,0.74794072532405
W,339883,Kenan Yıldız,Türkiye,0.7476574791362659
W,377122,Endrick,Brazil,0.7447467695780197
W,25414,John Yeboah,Ecuador,0.7445740190233683
W,291964,Arda Güler,Türkiye,0.7413020073127572
W,17,Christian Pulišić,USA,0.7354955020786409
W,108563,Rodrigo Zalazar,Uruguay,0.7349499143424831
ST,278,Kylian Mbappé,France,0.7893944460969375
ST,184,Harry Kane,England,0.7614422425546755
ST,350799,Jeremy Arevalo,Ecuador,0.7518022124263974
ST,153,Ousmane Dembélé,France,0.7425922647283145
ST,295513,José López,Argentina,0.7074510610748574
ST,42315,Mehdi Taremi,Iran,0.7063486238509185
ST,44701,Khalid Al-Ghannam,Saudi Arabia,0.7053231860534203
ST,217,Lautaro Martínez,Argentina,0.7051972304297632
ST,978,Kai Havertz,Germany,0.6996000871002878
ST,51530,Federico Viñas,Uruguay,0.6989536459688072
ST,47323,Mikel Oyarzabal,Spain,0.6979765732204176
ST,47237,Luis Javier Suárez,Colombia,0.696996644719187
ST,1165,Matheus Cunha,Brazil,0.6968355837552667
ST,202696,Igor Matanović,Croatia,0.6943672540425269
ST,2889,Alexis Vega,Mexico,0.6915764034500882
ST,1494,Jovane Cabral,Cape Verde Islands,0.6907119728138421
ST,73868,Ricardo Pepi,USA,0.6899253116050805
ST,21613,Lenny Joseph,Haiti,0.6886300581193088
ST,301528,Andreas Schjelderup,Norway,0.688355403326424
ST,6009,Julián Alvarez,Argentina,0.6830312071896625
