review_id,player_name,national_team,provider_squad_group,annual_minutes,classified_position_minutes,complete_lineup_observations,reviewer_primary_role,reviewer_secondary_role,confidence_1_3,evidence_or_rationale
V31-0093,J. Sa,Portugal,Goalkeeper,2160,1890,21,,,,
V31-0094,Fabinho,Brazil,Midfielder,3600,2449,28,,,,
V31-0095,L. Digne,France,Defender,3205,2998,36,,,,
V31-0096,S. Adingra,Ivory Coast,Attacker,1750,1412,20,,,,
V31-0097,M. Chavez Garcia,Mexico,Defender,1814,309,4,,,,
V31-0098,I. Perisic,Croatia,Defender,3330,3089,39,,,,
V31-0099,Y. Medina,Ecuador,Midfielder,2164,600,8,,,,
V31-0100,A. Dedic,Bosnia & Herzegovina,Defender,3532,3189,36,,,,
V31-0101,H. Mejbri,Tunisia,Attacker,2012,1151,16,,,,
V31-0102,C. Yirenkyi,Ghana,Midfielder,2886,590,7,,,,
V31-0103,R. Mahrez,Algeria,Midfielder,3761,3645,44,,,,
V31-0104,R. Rangel,Mexico,Goalkeeper,3734,3007,34,,,,
V31-0105,Cho Gue-Sung,South Korea,Attacker,2009,1539,21,,,,
V31-0106,D. Kamada,Japan,Attacker,3539,3225,40,,,,
V31-0107,T. Bindon,New Zealand,Defender,2171,1080,12,,,,
V31-0108,F. Wirtz,Germany,Attacker,3865,3636,44,,,,
V31-0109,L. Foster,South Africa,Attacker,1861,1567,20,,,,
V31-0110,R. Veiga,Portugal,Defender,3809,3549,40,,,,
V31-0111,A. Abdi,Tunisia,Midfielder,2316,771,10,,,,
V31-0112,J. Leweling,Germany,Attacker,3563,3065,36,,,,
V31-0113,M. McKenzie,USA,Defender,2855,1038,12,,,,
V31-0114,I. Yuksek,Türkiye,Midfielder,2742,2081,27,,,,
V31-0115,N. Jackson,Senegal,Attacker,1977,1718,23,,,,
V31-0116,R. Ait-Nouri,Algeria,Defender,2260,1836,25,,,,
V31-0117,G. Yassine,Morocco,Attacker,1785,1228,16,,,,
V31-0118,Y. Sugawara,Japan,Midfielder,2735,2302,28,,,,
V31-0119,L. Geertruida,Netherlands,Defender,1882,1661,19,,,,
V31-0120,A. Bardakci,Türkiye,Defender,3960,3960,46,,,,
V31-0121,L. Suarez,Colombia,Attacker,4490,4200,48,,,,
V31-0122,J. Osorio,Canada,Midfielder,2189,1374,15,,,,
V31-0123,D. Bobadilla,Paraguay,Midfielder,4366,805,10,,,,
V31-0124,P. Schick,Czech Republic,Attacker,3043,2619,33,,,,
V31-0125,V. Munoz,Spain,Attacker,2764,2423,29,,,,
V31-0126,O. Watkins,England,Midfielder,3849,3489,43,,,,
V31-0127,M. Akanji,Switzerland,Defender,4307,2850,31,,,,
V31-0128,M. Amoura,Algeria,Attacker,2462,1874,23,,,,
V31-0129,A. Robertson,Scotland,Defender,2248,1484,18,,,,
V31-0130,A. Saelemaekers,Belgium,Attacker,3162,2915,36,,,,
V31-0131,D. Visinsky,Czech Republic,Midfielder,2186,1804,25,,,,
V31-0132,A. Lafont,Ivory Coast,Goalkeeper,2963,1290,14,,,,
V31-0133,G. Lagerbielke,Sweden,Defender,3951,2242,25,,,,
V31-0134,A. Masuaku,Congo DR,Defender,1062,666,9,,,,
V31-0135,M. Abu Al Shamat,Saudi Arabia,Midfielder,2629,1335,16,,,,
V31-0136,P. Musa,Croatia,Attacker,2163,847,12,,,,
V31-0137,F. Conceicao,Portugal,Midfielder,2827,2340,36,,,,
V31-0138,G. Lo Celso,Argentina,Midfielder,1858,1509,21,,,,
V31-0139,M. van de Ven,Netherlands,Midfielder,4216,4216,48,,,,
V31-0140,E. Wahi,Ivory Coast,Attacker,1851,1077,14,,,,
V31-0141,C. De Ketelaere,Belgium,Attacker,3389,3139,41,,,,
V31-0142,Bono,Morocco,Goalkeeper,4091,4025,43,,,,
V31-0143,K. Lenini,Cape Verde Islands,Midfielder,1562,351,4,,,,
V31-0144,T. Holes,Czech Republic,Defender,2344,1721,20,,,,
V31-0145,C. Gakpo,Netherlands,Attacker,3972,3634,44,,,,
V31-0146,T. Courtois,Belgium,Goalkeeper,4556,4916,56,,,,
V31-0147,L. Paredes,Argentina,Midfielder,3687,386,5,,,,
V31-0148,F. de Jong,Netherlands,Midfielder,2906,2613,30,,,,
V31-0149,D. Svensson,Sweden,Defender,3559,3752,43,,,,
V31-0150,K. Thorstvedt,Norway,Midfielder,2541,2288,27,,,,
V31-0151,M. Sabitzer,Austria,Midfielder,2709,2714,32,,,,
V31-0152,D. Dalot,Portugal,Defender,2861,2667,31,,,,
V31-0153,E. Demirovic,Bosnia & Herzegovina,Attacker,2738,2532,30,,,,
V31-0154,C. Talbi,Morocco,Midfielder,1909,1497,19,,,,
V31-0155,Y. Titraoui,Algeria,Midfielder,2904,1209,14,,,,
V31-0156,M. Cucurella,Spain,Defender,4501,4665,55,,,,
V31-0157,I. Ndiaye,Senegal,Midfielder,3381,3299,39,,,,
V31-0158,J. Souttar,Scotland,Defender,2880,890,10,,,,
V31-0159,E. Martinez,Uruguay,Midfielder,1978,1295,16,,,,
V31-0160,R. Laryea,Canada,Defender,2278,1883,21,,,,
V31-0161,K. Rodriguez,Ecuador,Attacker,2362,1191,17,,,,
V31-0162,D. Kotarski,Croatia,Goalkeeper,4080,990,11,,,,
V31-0163,A. Al Khaibari,Saudi Arabia,Midfielder,2388,1056,13,,,,
V31-0164,H. Boudaoui,Algeria,Midfielder,2583,1562,19,,,,
V31-0165,M. Freese,USA,Goalkeeper,3525,1459,17,,,,
V31-0166,T. Oluwaseyi,Canada,Attacker,2299,1525,20,,,,
V31-0167,K. Koulibaly,Senegal,Defender,2476,2592,30,,,,
V31-0168,T. Adams,USA,Midfielder,2142,2352,29,,,,
V31-0169,M. De Cuyper,Belgium,Defender,1953,1673,23,,,,
V31-0170,M. Penders,Belgium,Goalkeeper,4639,4091,47,,,,
V31-0171,Y. Fofana,Ivory Coast,Goalkeeper,3150,1080,12,,,,
V31-0172,M. Ryan,Australia,Goalkeeper,3241,1440,16,,,,
V31-0173,P. Wanner,Austria,Midfielder,2499,2346,28,,,,
V31-0174,J. Rodriguez,Colombia,Attacker,1855,1606,21,,,,
V31-0175,J. Mojica,Colombia,Defender,3217,1671,19,,,,
V31-0176,P. Adu,Ghana,Midfielder,2215,1184,17,,,,
V31-0177,H. Diarra,Senegal,Attacker,1930,1740,22,,,,
V31-0178,A. Bouaddi,Morocco,Midfielder,3549,3335,41,,,,
V31-0179,Lee Jae-Sung,South Korea,Attacker,2906,2134,27,,,,
V31-0180,K. Jakic,Croatia,Midfielder,1841,1485,19,,,,
V31-0181,B. Silva,Portugal,Midfielder,3967,2801,35,,,,
V31-0182,J. Cordoba,Panama,Defender,2717,1609,18,,,,
V31-0183,A. Mandi,Algeria,Defender,4069,3742,42,,,,
V31-0184,M. Epolo,Congo DR,Goalkeeper,2610,1350,15,,,,
V31-0185,R. Sosa,Paraguay,Attacker,2850,1970,27,,,,
V31-0186,A. Circati,Australia,Defender,3196,1065,12,,,,
V31-0187,M. Salah,Egypt,Attacker,4145,3322,39,,,,
V31-0188,F. Kadioglu,Türkiye,Defender,3676,3565,41,,,,
V31-0189,A. Schlager,Austria,Goalkeeper,4140,720,8,,,,
V31-0190,J. Lucumi,Colombia,Defender,4155,2264,26,,,,
V31-0191,I. Maza,Algeria,Attacker,3625,3196,40,,,,
V31-0192,N. Vasilj,Bosnia & Herzegovina,Goalkeeper,3630,3540,39,,,,
V31-0193,Son Heung-Min,South Korea,Attacker,2965,1079,14,,,,
V31-0194,L. Martinez,Argentina,Defender,1898,1585,18,,,,
V31-0195,J. Quinones,Mexico,Midfielder,3138,1920,22,,,,
V31-0196,J. M. Gimenez,Uruguay,Defender,1537,1040,14,,,,
V31-0197,R. Williams,South Africa,Goalkeeper,4336,907,12,,,,
V31-0198,Samu Costa,Portugal,Midfielder,2828,1515,18,,,,
V31-0199,L. Camara,Senegal,Midfielder,2949,2653,33,,,,
V31-0200,D. Raya,Spain,Goalkeeper,4620,4620,51,,,,
V31-0201,S. Abdulhamid,Saudi Arabia,Defender,2232,1175,14,,,,
V31-0202,D. Doudera,Czech Republic,Midfielder,1961,1688,21,,,,
V31-0203,E. Agbadou,Ivory Coast,Defender,2928,1530,17,,,,
V31-0204,M. Merino,Spain,Midfielder,2081,1680,21,,,,
V31-0205,K. Tierney,Scotland,Midfielder,3486,2973,38,,,,
V31-0206,Casemiro,Brazil,Midfielder,3049,2962,38,,,,
V31-0207,G. Martinelli,Brazil,Midfielder,2608,1747,25,,,,
V31-0208,O. Kossounou,Ivory Coast,Defender,2534,2202,27,,,,
V31-0209,R. Gravenberch,Netherlands,Midfielder,4478,4405,51,,,,
V31-0210,J. Scally,USA,Defender,2879,2279,26,,,,
V31-0211,A. Ahmed,Canada,Midfielder,2614,2066,30,,,,
V31-0212,W. McKennie,USA,Midfielder,4364,4276,50,,,,
V31-0213,O. Mosquera,Panama,Goalkeeper,3699,900,10,,,,
V31-0214,T. Castagne,Belgium,Defender,2870,2444,28,,,,
V31-0215,I. Reyes,Mexico,Defender,3565,2725,32,,,,
V31-0216,M. Vina,Uruguay,Defender,1293,267,5,,,,
V31-0217,J. Musiala,Germany,Attacker,1452,1127,16,,,,
V31-0218,A. Robinson,USA,Midfielder,2136,1762,21,,,,
V31-0219,J. Alvarez,Argentina,Midfielder,4147,3481,47,,,,
V31-0220,R. Rodriguez,Switzerland,Defender,2889,2538,30,,,,
V31-0221,N. Mukau,Congo DR,Midfielder,2821,2378,33,,,,
V31-0222,H. Kadesh,Saudi Arabia,Defender,2745,2001,24,,,,
V31-0223,J. Alonso,Paraguay,Defender,4420,1236,15,,,,
V31-0224,G. Inacio,Portugal,Defender,3802,3622,42,,,,
V31-0225,M. De Roon,Netherlands,Midfielder,3928,3689,46,,,,
V31-0226,Kim Min-Jae,South Korea,Defender,2324,1895,23,,,,
V31-0227,W. Semedo,Cape Verde Islands,Midfielder,1530,141,2,,,,
V31-0228,M. Thiaw,Germany,Defender,4688,4486,51,,,,
V31-0229,W. Anton,Germany,Defender,3981,1080,12,,,,
V31-0230,N. Seiwald,Austria,Midfielder,3367,3165,37,,,,
V31-0231,E. Shomurodov,Uzbekistan,Attacker,3532,3037,37,,,,
V31-0232,C. Inao Oulai,Ivory Coast,Midfielder,2727,948,11,,,,
V31-0233,Y. Belammari,Morocco,Defender,910,0,0,,,,
V31-0234,T. Araujo,Portugal,Defender,2708,2291,26,,,,
V31-0235,R. Roefs,Netherlands,Goalkeeper,3360,3360,37,,,,
V31-0236,D. Gomez,Paraguay,Midfielder,2959,2856,38,,,,
V31-0237,S. Kalajdzic,Austria,Attacker,1430,45,1,,,,
V31-0238,Alisson,Brazil,Goalkeeper,3746,3566,40,,,,
V31-0239,Andres Gomez,Colombia,Midfielder,3764,1343,18,,,,
V31-0240,O. Marmoush,Egypt,Midfielder,2227,1155,17,,,,
V31-0241,T. Koopmeiners,Netherlands,Midfielder,2803,2305,28,,,,
V31-0242,E. Guessand,Ivory Coast,Attacker,2106,1702,22,,,,
V31-0243,F. Nmecha,Germany,Midfielder,3403,3456,43,,,,
V31-0244,T. Reijnders,Netherlands,Midfielder,3015,2399,31,,,,
V31-0245,S. Moutoussamy,Congo DR,Midfielder,3285,937,11,,,,
V31-0246,A. Freeman,USA,Defender,1752,2181,24,,,,
V31-0247,S. Berhalter,USA,Midfielder,3197,1875,24,,,,
V31-0248,R. Silva,Portugal,Goalkeeper,4215,4035,44,,,,
V31-0249,M. Beier,Germany,Attacker,2762,2500,33,,,,
V31-0250,M. Ben Ouanes,Tunisia,Midfielder,2307,1472,17,,,,
V31-0251,D. Burn,England,Defender,3516,3297,39,,,,
V31-0252,P. Beach,Australia,Goalkeeper,3554,389,4,,,,
V31-0253,M. Tillman,USA,Midfielder,2716,2740,33,,,,
V31-0254,A. Gordon,England,Midfielder,3291,3001,41,,,,
V31-0255,B. Nygren,Sweden,Midfielder,3496,2903,36,,,,
V31-0256,N. Vlasic,Croatia,Midfielder,3544,1756,21,,,,
V31-0257,J. Quansah,England,Defender,3829,3677,42,,,,
V31-0258,D. Castillo,Ecuador,Midfielder,2374,1914,25,,,,
V31-0259,J. Bae,South Korea,Attacker,3074,1444,17,,,,
V31-0260,V. Barco,Argentina,Midfielder,3378,2768,33,,,,
V31-0261,H. Tambakti,Saudi Arabia,Defender,3102,2831,34,,,,
V31-0262,D. Munoz,Colombia,Defender,4369,4186,50,,,,
V31-0263,V. Johansson,Sweden,Goalkeeper,2250,900,10,,,,
V31-0264,L. Martinez,Argentina,Attacker,3169,2957,40,,,,
V31-0265,E. Martinez,Argentina,Goalkeeper,4741,4581,51,,,,
V31-0266,Y. Suzuki,Japan,Midfielder,2864,2571,31,,,,
V31-0267,A. O'Neill,Australia,Midfielder,2722,990,12,,,,
V31-0268,S. Amrabat,Morocco,Midfielder,2369,1988,24,,,,
V31-0269,M. Al Juwayr,Saudi Arabia,Attacker,2816,1593,21,,,,
V31-0270,A. Kramaric,Croatia,Midfielder,2491,1962,25,,,,
V31-0271,D. Spence,England,Defender,3384,3083,37,,,,
V31-0272,N. Paz,Argentina,Attacker,3370,3075,36,,,,
V31-0273,M. Lacroix,France,Defender,4992,90,2,,,,
V31-0274,M. Diaw,Senegal,Goalkeeper,2892,1020,11,,,,
V31-0275,T. Heggem,Norway,Defender,3414,1689,19,,,,
V31-0276,N. Sibisi,South Africa,Defender,2135,1960,22,,,,
V31-0277,E. Anderson,England,Midfielder,4793,4248,48,,,,
V31-0278,P. Pentz,Austria,Goalkeeper,3358,720,8,,,,
V31-0279,M. Odegaard,Norway,Midfielder,2454,2121,28,,,,
V31-0280,I. Sangare,Ivory Coast,Midfielder,3440,3115,38,,,,
V31-0281,Y. Ayari,Sweden,Midfielder,2377,1903,22,,,,
V31-0282,G. Xhaka,Switzerland,Midfielder,3637,3569,39,,,,
V31-0283,H. Calhanoglu,Türkiye,Midfielder,2316,2230,29,,,,
V31-0284,I. Konate,France,Defender,4294,4241,49,,,,
V31-0285,C. Operi,Ivory Coast,Defender,2444,2059,26,,,,
V31-0286,M. Muldur,Türkiye,Defender,2261,1747,21,,,,
V31-0287,Endrick,Brazil,Attacker,1841,1638,20,,,,
V31-0288,K. Yildiz,Türkiye,Midfielder,3909,3739,45,,,,
V31-0289,A. Schjelderup,Norway,Attacker,2698,2310,31,,,,
V31-0290,Trincao,Portugal,Midfielder,4194,3928,45,,,,
V31-0291,T. Kubo,Japan,Attacker,1820,1577,20,,,,
V31-0292,B. Iglesias,Spain,Attacker,2718,1215,18,,,,
V31-0293,K. Alajbegovic,Bosnia & Herzegovina,Midfielder,2637,334,4,,,,
V31-0294,P. Estupinan,Ecuador,Midfielder,1492,1236,16,,,,
V31-0295,J. Tah,Germany,Defender,4147,4237,49,,,,
V31-0296,P. Izzo,Australia,Goalkeeper,2340,180,2,,,,
V31-0297,B. Fernandes,Portugal,Midfielder,3624,3579,41,,,,
V31-0298,L. Diaz,Colombia,Midfielder,4720,4424,52,,,,
V31-0299,J. Stanek,Czech Republic,Goalkeeper,2250,1890,21,,,,
V31-0300,R. Pepi,USA,Attacker,1913,1470,19,,,,
V31-0301,O. Baumann,Germany,Goalkeeper,3270,2820,31,,,,
V31-0302,D. Caleta-Car,Croatia,Defender,2541,2124,24,,,,
V31-0303,O. Vargas,Mexico,Midfielder,1958,1273,16,,,,
V31-0304,H. Aouar,Algeria,Attacker,2736,2684,32,,,,
V31-0305,D. Upamecano,France,Defender,3956,4025,48,,,,
V31-0306,L. Messi,Argentina,Attacker,3834,1920,23,,,,
V31-0307,M. Diouf,Senegal,Defender,3496,2863,32,,,,
V31-0308,V. Gyökeres,Sweden,Attacker,3863,3180,42,,,,
V31-0309,M. Pubill,Spain,Defender,2783,2488,29,,,,
V31-0310,I. Williams,Ghana,Midfielder,2836,2623,35,,,,
V31-0311,I. Jakobs,Senegal,Midfielder,2648,2393,30,,,,
V31-0312,Y. Diomande,Ivory Coast,Midfielder,3400,3173,38,,,,
V31-0313,P. David,Canada,Attacker,1946,1437,20,,,,
V31-0314,Mauricio,Paraguay,Midfielder,3703,2973,41,,,,
V31-0315,A. Memic,Bosnia & Herzegovina,Midfielder,3633,2728,32,,,,
V31-0316,E. Mendy,Senegal,Goalkeeper,4023,3843,42,,,,
V31-0317,B. Zeneli,Sweden,Midfielder,1991,1854,22,,,,
V31-0318,A. Gouiri,Algeria,Attacker,1955,1568,21,,,,
V31-0319,Jeremy Arevalo,Ecuador,Attacker,1033,0,0,,,,
V31-0320,B. Gutierrez,Mexico,Midfielder,2073,939,13,,,,
V31-0321,K. McLean,Scotland,Midfielder,3869,2018,23,,,,
V31-0322,J. Irvine,Australia,Midfielder,1973,1828,21,,,,
V31-0323,Bremer,Brazil,Defender,2569,980,13,,,,
V31-0324,R. Vargas,Switzerland,Attacker,1897,1222,16,,,,
V31-0325,A. Guler,Türkiye,Attacker,3531,3567,47,,,,
V31-0326,J. Opoku,Ghana,Defender,3154,2583,31,,,,
V31-0327,O. Kokcu,Türkiye,Midfielder,3163,1207,15,,,,
V31-0328,G. Kobel,Switzerland,Goalkeeper,4860,5220,57,,,,
V31-0329,J. Kayembe,Congo DR,Defender,3120,1558,18,,,,
V31-0330,J. Lopez,Argentina,Attacker,4771,3260,42,,,,
V31-0331,L. Cerv,Czech Republic,Midfielder,3966,3140,37,,,,
V31-0332,G. Mensah,Ghana,Defender,2783,2261,26,,,,
V31-0333,M. Senesi,Argentina,Midfielder,3461,3380,38,,,,
V31-0334,G. Til,Netherlands,Midfielder,2990,2671,33,,,,
V31-0335,R. Zalazar,Uruguay,Midfielder,2638,2252,29,,,,
V31-0336,A. Jones,Canada,Defender,1886,969,11,,,,
V31-0337,J. Lerma,Colombia,Midfielder,3137,2429,30,,,,
V31-0338,Z. Celik,Türkiye,Defender,3801,2488,29,,,,
V31-0339,J. Casimir,Haiti,Midfielder,2035,1532,20,,,,
V31-0340,F. Balogun,USA,Attacker,3565,3006,37,,,,
V31-0341,I. Diaz,Panama,Attacker,2349,867,11,,,,
V31-0342,T. Mbatha,South Africa,Midfielder,1931,1741,23,,,,
V31-0343,E. Elmali,Türkiye,Midfielder,2176,1838,22,,,,
V31-0344,A. Mac Allister,Argentina,Midfielder,4617,4050,48,,,,
V31-0345,M. Experience,Haiti,Defender,1847,630,7,,,,
V31-0346,Edmilson Junior,Qatar,Attacker,1945,1945,23,,,,
V31-0347,J. Neves,Portugal,Midfielder,3100,3213,38,,,,
V31-0348,S. Chaine,South Africa,Goalkeeper,2700,2610,29,,,,
V31-0349,R. Ade,Haiti,Defender,3760,815,9,,,,
V31-0350,J. Bellingham,England,Midfielder,3335,3403,42,,,,
V31-0351,A. Majrashi,Saudi Arabia,Defender,2723,2475,31,,,,
V31-0352,A. Zendejas,USA,Attacker,2378,2066,26,,,,
V31-0353,Ederson,Brazil,Midfielder,3189,2971,37,,,,
V31-0354,H. Tabakovic,Bosnia & Herzegovina,Attacker,2674,1850,23,,,,
V31-0355,G. Gudmundsson,Sweden,Midfielder,3271,3006,35,,,,
V31-0356,M. Murillo,Panama,Midfielder,3262,1686,20,,,,
V31-0357,K. Diatta,Senegal,Defender,2180,1744,20,,,,
V31-0358,J. Doku,Belgium,Midfielder,3271,2593,34,,,,
V31-0359,O. Dembele,France,Midfielder,2764,2510,34,,,,
V31-0360,M. Pongracic,Croatia,Defender,4083,1027,12,,,,
V31-0361,G. Gomez,Paraguay,Defender,5750,4826,54,,,,
V31-0362,Y. Pino,Spain,Midfielder,3417,2929,39,,,,
V31-0363,J. Gallardo,Mexico,Defender,3742,1524,17,,,,
V31-0364,Kim Seung-Gyu,South Korea,Goalkeeper,2886,0,0,,,,
V31-0365,A. Tchouameni,France,Midfielder,4300,4432,53,,,,
V31-0366,Raphinha,Brazil,Midfielder,2438,2171,29,,,,
V31-0367,J. Pickford,England,Goalkeeper,4213,3823,42,,,,
V31-0368,G. Varela,Uruguay,Defender,3574,3041,37,,,,
V31-0369,R. Dias,Portugal,Defender,3015,2016,23,,,,
V31-0370,M. Maignan,France,Goalkeeper,4291,4111,46,,,,
V31-0371,A. Wan-Bissaka,Congo DR,Defender,2889,2309,26,,,,
V31-0372,S. McTominay,Scotland,Attacker,3971,2743,31,,,,
V31-0373,A. Salah-Eddine,Morocco,Defender,2066,1751,22,,,,
V31-0374,R. Freuler,Switzerland,Midfielder,3701,2011,23,,,,
V31-0375,Joao Felix,Portugal,Midfielder,3478,2480,29,,,,
V31-0376,D. Ndoye,Switzerland,Midfielder,2422,2138,28,,,,
V31-0377,E. Ndicka,Ivory Coast,Defender,3840,865,10,,,,
V31-0378,T. Aasgaard,Norway,Midfielder,2409,791,11,,,,
V31-0379,A. Laporte,Spain,Defender,3063,2902,34,,,,
V31-0380,T. Chalobah,England,Defender,3722,3763,43,,,,
V31-0381,F. Vinas,Uruguay,Midfielder,2723,2325,28,,,,
V31-0382,E. Eze,England,Midfielder,3421,2812,38,,,,
V31-0383,E. Fernandez,Argentina,Midfielder,4949,5011,59,,,,
V31-0384,N. Madueke,England,Midfielder,2553,2110,32,,,,
V31-0385,W. Zaire-Emery,France,Midfielder,4243,4027,48,,,,
